age_ka,d18O,MgCa,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2,salinity,sal_min1,sal_plus1,sal_min2,sal_plus2,temp,temp_min1,temp_plus1,temp_min2,temp_plus2
2744.1,3.41,1,0.26138,-0.14644,0.68997,-0.59287,1.1329,33.857,32.347,35.444,30.693,37.085,0.15281,-1.8183,2.0799,-3.7666,4.1203
2744.1,3.37,1,0.18978,-0.22205,0.63079,-0.6715,1.0645,33.592,32.066,35.225,30.402,36.831,-0.16624,-2.2135,1.8117,-4.2747,3.6373
2746.8,3.5,0.85,0.34521,-0.11625,0.80206,-0.56743,1.1577,34.167,32.458,35.859,30.787,37.177,0.65106,-1.5278,2.7236,-3.7369,4.63
2746.8,3.37,0.85,0.52405,0.097936,0.9556,-0.33731,1.3742,34.83,33.252,36.428,31.64,37.978,-0.35676,-2.5846,1.8457,-4.4746,3.8908
2746.8,3.56,0.85,0.4833,0.050805,0.9197,-0.34806,1.3066,34.679,33.077,36.295,31.6,37.728,-0.3775,-2.4028,1.5725,-4.304,3.3664
2746.8,3.5,0.87,0.47143,-0.0067296,0.93821,-0.48308,1.3834,34.635,32.864,36.364,31.1,38.012,-0.35841,-2.4227,1.6374,-4.4015,3.5805
2746.8,3.37,0.87,0.53922,0.054841,1.0067,-0.36859,1.4616,34.886,33.092,36.617,31.524,38.302,-0.43291,-2.4158,1.5939,-4.3032,3.5805
2746.8,3.56,0.87,0.59976,0.19372,1.0418,-0.21791,1.4757,35.11,33.606,36.748,32.082,38.355,0.12665,-1.7442,2.0858,-3.7886,4.1322
2752.2,3.67,0.92,0.16433,-0.35167,0.69066,-0.78693,1.227,33.498,31.586,35.447,29.974,37.433,-0.62077,-2.6229,1.4915,-4.4005,3.6874
2752.2,3.51,0.92,0.11168,-0.31545,0.55271,-0.73626,0.96364,33.303,31.721,34.936,30.162,36.458,0.034962,-1.9789,2.1317,-3.9683,4.1342
2752.2,3.85,0.92,0.15505,-0.26922,0.59382,-0.69591,1.0174,33.463,31.892,35.088,30.311,36.657,0.18557,-1.7384,2.2735,-3.8021,4.2171
2755,3.7,0.85,0.035631,-0.40222,0.46231,-0.83124,0.95072,33.021,31.399,34.601,29.81,36.41,-0.79975,-3.0245,1.3587,-4.9337,3.4914
2755,3.61,0.85,0.35859,-0.12911,0.87435,-0.61005,1.3313,34.217,32.411,36.127,30.629,37.82,-0.0054726,-2.1284,2.2583,-4.3946,4.5055
2755,3.53,0.85,0.51697,0.059954,1.0095,-0.43005,1.4224,34.804,33.111,36.628,31.296,38.157,0.54611,-1.5389,2.7853,-3.775,4.9101
2755,3.7,0.85,0.49742,0.061577,0.96567,-0.3631,1.4065,34.731,33.117,36.465,31.544,38.098,-0.0074162,-2.0117,2.282,-4.0576,4.5278
2755,3.61,0.85,0.29708,-0.13894,0.76133,-0.5632,1.1267,33.989,32.374,35.709,30.803,37.062,-0.91879,-2.8316,1.2316,-4.7372,3.0135
2755,3.53,0.85,0.47417,0.00071153,0.93889,-0.48188,1.3398,34.645,32.892,36.366,31.104,37.851,-0.45798,-2.5252,1.7042,-4.6174,3.3896
2762.3,3.83,0.93,0.5159,0.051952,0.95545,-0.36854,1.3389,34.8,33.081,36.428,31.524,37.848,-0.17852,-2.3402,1.8383,-4.2502,3.7211
2762.3,3.71,0.93,0.53467,0.073193,0.9691,-0.34792,1.3392,34.869,33.16,36.478,31.6,37.849,-0.068128,-2.198,1.9536,-4.101,3.7621
2762.3,3.59,0.93,0.57575,0.13564,1.0144,-0.26048,1.4376,35.021,33.391,36.646,31.924,38.213,1.1532,-0.88496,3.1918,-2.9253,5.2551
2766.1,3.64,0.9,0.2361,-0.23742,0.71166,-0.65356,1.2336,33.763,32.01,35.525,30.468,37.458,0.022709,-2.1907,2.2359,-4.1192,4.7812
2766.1,3.29,0.9,0.18832,-0.24774,0.62053,-0.64834,1.0308,33.586,31.971,35.187,30.488,36.707,-0.16766,-2.0209,1.8912,-3.9911,3.8067
2771,3.65,1.05,0.11237,-0.30306,0.5548,-0.75718,0.96157,33.305,31.766,34.944,30.085,36.45,-0.68844,-2.7092,1.3839,-4.8214,3.3024
2771,3.28,1.05,0.059205,-0.34484,0.4861,-0.76259,0.90212,33.108,31.612,34.689,30.064,36.23,-0.7122,-2.6368,1.2127,-4.6744,3.2953
2773.6,3.55,1.13,0.15368,-0.28216,0.57621,-0.68467,0.99936,33.458,31.844,35.023,30.353,36.59,0.10049,-1.902,2.1075,-3.8576,4.1215
2773.6,3.33,1.13,0.34028,-0.10685,0.79563,-0.50364,1.2115,34.149,32.493,35.836,31.024,37.376,1.0123,-1.0074,3.0513,-2.8092,5.1079
2773.6,3.48,1.13,0.17394,-0.3052,0.64539,-0.68518,1.1322,33.533,31.759,35.279,30.351,37.082,-0.1552,-2.3623,2.0984,-4.2936,4.4219
