mcd,age_ka,d13C,d18O,Notes,
125.86,2717.7,-1.42,4.19,1208 14-6 8-10 U,-0.52
125.86,2717.7,-1.45,4.23,1208 14-6 8-10U,-0.55
125.88,2718.1,-1.29,4.24,1208 14-6 10-12U,-0.39
125.98,2719.8,-1.29,4.17,1208 14-6 20-22U,-0.39
126,2720.1,-1.08,4.05,1208 14-6 22-24U,-0.18
126.05,2721.1,-1.29,3.94,1208 14-6 28-30U,-0.39
126.05,2721.1,-1.12,3.97,1208 14-6 28-30UR,-0.22
126.07,2721.4,-1.14,3.96,1208 14-6 30-32 U,-0.24
126.15,2722.7,-0.96,4.12,1208 14-6 38-40U,-0.06
126.17,2723.1,-1.24,3.85,1208 14-6 40-42 U,-0.34
126.19,2723.4,-1.14,3.98,1208 14-6 42-44U,-0.24
126.26,2724.7,-0.94,3.62,1208 14-6 50-52 U,-0.04
126.28,2725,-1.2,3.94,1208 14-6 52-54U,-0.3
126.28,2725,-0.86,3.89,1208 14-6 52-54UR,0.04
126.34,2726,-1.07,4,1208 14-6 58-60U,-0.17
126.34,2726,-0.81,3.78,1208 14-6 58-60UR,0.09
126.43,2727.6,-0.84,3.78,1208 14-6 68-70U,0.06
126.43,2727.6,-1.08,3.63,1208 14-6 68-70UR,-0.18
126.45,2728,-0.93,3.57,1208 14-6 70-72 U,-0.03
126.45,2728,-0.85,3.44,1208 14-6 70-72 U,0.05
126.45,2728,-0.98,3.56,1208 14-6 70-72 U R,-0.08
126.52,2730.1,-0.99,3.44,1208 14-6 78-80UR,-0.09
126.52,2730.1,-0.85,3.31,1208 14-6 78-80U,0.05
126.73,2736.1,-0.83,3.53,1208 14-6 100-102 U,0.07
126.95,2742.3,-0.67,3.41,1208 14-6 123-125U,0.23
126.95,2742.3,-0.79,3.34,1208 14-6 123-125 U,0.11
126.95,2742.3,-0.58,3.27,1208 14-6 123-125 U R,0.32
127.02,2744.1,-0.89,3.41,1208 14-6 130-132U,0.01
127.02,2744.1,-0.67,3.37,1208 14-6 130-132 U,0.23
127.11,2746.8,-0.99,3.5,1208 14-6 140-142U,-0.09
127.11,2746.8,-0.75,3.37,1208 14-6 140-142 U,0.15
127.11,2746.8,-0.98,3.56,1208 14-6 140-142 U R,-0.08
127.23,2750.3,-1.16,3.66,1208 14-7 3-5U,-0.26
127.23,2750.3,-1.13,3.39,1208 14-7 3-5 U,-0.23
127.23,2750.3,-0.85,3.19,1208 14-7 3-5 U R,0.05
127.3,2752.2,-1.13,3.67,1208 14-7 10-12U,-0.23
127.3,2752.2,-0.93,3.51,1208 14-7 10-12U,-0.03
127.3,2752.2,-0.72,3.85,1208 14-7 10-12UR,0.18
127.4,2755,-1.25,3.7,1208 14-7 20-22U,-0.35
127.4,2755,-1.08,3.61,1208 14-7 20-22 U,-0.18
127.4,2755,-1.15,3.53,1208 14-7 20-22 U R,-0.25
127.58,2762.3,-1.11,3.83,1208 14-7 40-42U,-0.21
127.58,2762.3,-0.96,3.71,1208 14-7 40-42 U,-0.06
127.58,2762.3,-0.98,3.59,1208 14-7 40-42UR,-0.08
127.68,2766.1,-0.8,3.64,1208 14-7 50-52U,0.1
127.68,2766.1,-0.74,3.29,1208 14-7 50-52 U,0.16
127.8,2771,-1.02,3.65,1208 14-7 63-65U,-0.12
127.8,2771,-0.78,3.28,1208 14-7 63-65 U,0.12
127.87,2773.6,-0.65,3.55,1208 14-7 70-72U,0.25
127.87,2773.6,-0.51,3.33,1208 14-7 70-72 U,0.39
127.87,2773.6,-0.76,3.48,1208 14-7 70-72 U R,0.14
127.93,2776.2,-0.57,3.49,1208 14-CC 0-2U,0.33
127.93,2776.2,-0.65,3.29,1208 14-CC 0-2 U,0.25
128.03,2780,-0.52,3.42,1208 14-CC 10-12U,0.38
128.03,2780,-0.79,3.38,1208 14-CC 10-12U,0.11
128.12,2785.4,-0.81,3.35,1208 14-CC 20-22U,0.09
128.12,2785.4,-0.6,3.46,1208 14-CC 20-22U,0.3
128.23,2791.4,-0.78,3.42,1208 15-1 3-5 U,0.12
128.23,2791.4,-0.79,3.39,1208 15-1 3-5U,0.11
128.29,2795,-0.86,3.34,1208 15-1 10-12 U,0.04
