age_ka,d18O,SL_m,V_LIS,V_EIS,V_AIS,V_GrIS,d18O_LIS,d18O_EIS,d18O_AIS,d18O_GrIS,d18Ow_IV,d18O_T,Tw
2475,3.624563061,-19.914,11.051,10.16,60.532,8.206,-24.004,-22.664,-52.767,-25.921,0.18,0.215,-0.859
2474,3.574060291,-17.223,9.25,9.457,60.411,8.097,-24.004,-22.664,-52.767,-25.921,0.16,0.184,-0.737
2473,3.519985022,-14.388,7.533,8.694,60.307,7.989,-24.004,-22.664,-52.767,-25.921,0.14,0.15,-0.599
2472,3.465597424,-11.586,5.811,7.787,60.215,7.876,-24.004,-22.664,-52.767,-25.921,0.12,0.116,-0.463
2471,3.415236291,-9.035,4.228,6.755,60.139,7.763,-24.004,-22.664,-52.767,-25.921,0.1,0.085,-0.342
2470,3.372503178,-6.904,2.925,5.664,60.085,7.661,-24.004,-22.664,-52.767,-25.921,0.082,0.061,-0.243
2469,3.329770065,-4.804,1.964,4.615,60.049,7.576,-24.004,-22.664,-52.767,-25.921,0.067,3.30E-02,-0.131
2468,3.317003359,-4.182,1.157,3.43,60.024,7.492,-24.004,-22.664,-52.767,-25.921,0.052,0.035,-0.138
2467,3.313118531,-3.994,0.949,3.047,60.018,7.467,-24.004,-22.664,-52.767,-25.921,0.048,0.035,-0.139
2466,3.305402214,-3.62,0.889,2.928,60.017,7.46,-24.004,-22.664,-52.767,-25.921,0.047,2.80E-02,-0.114
2465,3.282093243,-2.496,0.775,2.687,60.014,7.445,-24.004,-22.664,-52.767,-25.921,0.044,7.67E-03,-0.031
2464,3.258784273,-1.382,4.66E-01,1.924,60.006,7.4,-24.004,-22.664,-52.767,-25.921,0.037,-8.04E-03,0.032
2463,3.240316868,-0.506,2.19E-01,1.106,60.002,7.355,-24.004,-22.664,-52.767,-25.921,2.90E-02,-1.90E-02,0.076
2462,3.224777554,0.227,0.068,0.417,60,7.32,-24.004,-22.664,-52.767,-25.921,2.40E-02,-2.90E-02,0.115
2461,3.213427919,0.76,0,0,57.686,7.186,-24.004,-22.664,-52.767,-25.921,-0.015,-1.63E-03,6.51E-03
2460,3.283354832,-2.557,0,0,57.42,6.92,-15,-15,-52.767,-25.921,-0.02,0.074,-0.294
2459,3.353281744,-5.956,4.82E-01,1.966,60.007,7.402,-15.245,-15.614,-52.721,-25.609,2.90E-02,0.094,-0.375
2458,3.39,-7.773,1.581,4.1,60.037,7.538,-15.675,-16.39,-52.682,-25.417,0.042,0.118,-0.471
2457,3.39,-7.773,2.34,5.06,60.063,7.611,-16.108,-17.082,-52.65,-25.294,0.053,0.107,-0.428
2456,3.39,-7.773,2.34,5.06,60.063,7.611,-16.38,-17.574,-52.621,-25.203,0.057,0.103,-0.413
2455,3.410996465,-8.823,2.34,5.06,60.063,7.611,-16.55,-17.925,-52.596,-25.134,0.057,0.124,-0.495
2454,3.434305435,-9.996,2.823,5.566,60.081,7.653,-16.777,-18.263,-52.575,-25.095,0.064,0.141,-0.562
2453,3.480457624,-12.347,3.398,6.094,60.104,7.7,-17.055,-18.594,-52.557,-25.078,0.071,0.179,-0.717
