latitude,depth,salinity,Estimated-Measured Salinity [pss-78]
-4.9817,59.560,34.716900,0.285201
-4.9817,99.522,35.528900,-0.216803
-4.9817,147.725,35.767502,-0.219239
-4.9817,198.102,35.859600,-0.291541
-4.9817,396.410,34.668800,0.026936
-4.9817,596.015,34.549599,0.020316
-4.9817,794.339,34.524399,0.001092
-4.9817,993.265,34.542198,-0.006211
-4.9700,9.447,34.631500,-10000000000.000000
-4.9700,199.493,35.474400,0.089274
-4.9700,596.610,34.556099,0.014057
-4.9700,793.249,34.517700,0.007905
-4.9700,995.047,34.538200,-0.002197
-4.9700,995.839,34.537899,-0.001879
-4.9500,10.243,35.080101,-10000000000.000000
-4.9500,74.273,35.431000,-0.312046
-4.9500,149.315,35.709999,-0.166012
-4.9500,199.095,35.901699,-0.340861
-4.9500,298.819,34.912300,0.121388
-4.9500,395.517,34.727100,-0.028442
-4.9500,497.030,34.661301,-0.029366
-4.9500,597.503,34.606800,-0.036201
-4.9500,695.052,34.558498,-0.013513
-4.9500,793.943,34.524700,0.001059
-4.9500,893.380,34.523602,0.005591
-4.9500,992.870,34.530800,0.005121
-4.7492,68.607,34.960098,0.140345
-4.7492,93.459,35.100399,0.135586
-4.7492,119.302,35.296501,0.073883
-4.7492,142.160,35.512501,-0.044970
-4.7492,167.003,35.845901,-0.326262
-4.7492,192.837,35.536301,-0.032541
-4.7492,217.674,35.292400,0.136673
-4.7492,241.514,35.138401,0.186668
-4.7492,291.173,34.856201,0.181642
-4.7492,340.820,34.748001,0.075975
-4.7492,390.456,34.689201,0.023708
-4.7492,439.087,34.662899,0.008195
-4.7492,488.698,34.623299,0.010653
-4.7492,586.894,34.586399,-0.009044
-4.7492,688.017,34.556000,-0.005855
-4.7492,784.138,34.521500,0.007497
-4.7492,886.155,34.520401,0.009277
-4.7492,983.174,34.527802,0.007498
-4.7492,1082.126,34.539501,0.001931
-4.7492,1181.031,34.553101,-0.000812
-4.7492,1380.679,34.581799,0.002501
-4.7492,1578.163,34.603199,0.004025
-4.7492,1684.728,34.612301,0.003656
-4.7492,1817.859,34.624100,-0.000238
-4.7492,1817.859,34.624500,-0.000639
-4.7492,1817.859,34.625801,-0.001940
-4.7492,1817.859,34.619301,0.004561
-4.5007,10.143,35.208401,-10000000000.000000
-4.5007,19.391,35.207600,-0.184443
-4.5007,50.016,35.340900,-0.232711
-4.5007,73.976,35.496700,-0.295393
-4.5007,100.119,35.618301,-0.313303
-4.5007,148.620,35.872398,-0.413491
-4.5007,199.395,35.487701,-0.087332
-4.5007,249.461,34.969299,0.197124
-4.5007,299.019,34.798901,0.132688
-4.5007,398.298,34.663200,0.029410
-4.5007,497.827,34.608501,0.011237
