depth,d18O_cibs,d13C_cibs
120.15,2.64,-0.14
120.21,2.71,-0.22
120.31,2.98,-0.32
120.40,3.09,
120.52,3.13,-0.34
120.59,,-0.41
120.68,,
120.78,3.25,-0.59
120.87,3.08,-0.63
120.97,3.20,-0.67
121.06,2.85,-0.45
121.16,2.89,-0.07
121.28,2.94,0.00
121.35,2.86,0.06
121.44,2.63,0.09
121.56,2.61,0.13
121.63,2.67,0.06
121.72,2.63,-0.06
121.82,2.66,-0.22
121.91,2.70,-0.15
122.01,2.93,-0.28
122.13,2.94,-0.24
122.20,2.89,-0.21
122.29,3.34,-0.29
122.39,3.10,-0.24
122.48,3.01,-0.53
122.58,3.09,-0.32
122.70,3.11,-0.50
122.76,2.81,-0.41
122.86,2.72,-0.21
122.98,2.60,-0.05
123.05,2.57,0.09
123.14,2.52,0.08
123.24,2.59,-0.14
123.33,2.59,0.00
123.43,2.74,0.00
123.52,2.66,-0.10
123.61,2.56,0.06
123.71,2.75,-0.27
123.80,2.83,-0.32
123.90,3.10,-0.11
123.99,2.87,-0.40
124.12,3.04,-0.48
124.18,3.10,-0.33
124.28,,-0.35
124.40,3.31,-0.34
124.47,3.34,-0.36
124.56,3.24,-0.45
124.65,3.20,-0.50
124.75,3.00,-0.26
124.84,3.13,-0.43
124.94,3.01,-0.10
125.03,3.00,-0.16
125.13,3.16,-0.19
125.22,3.14,-0.45
125.32,3.16,-0.44
125.41,2.82,-0.59
125.53,3.20,-0.48
125.60,3.18,-0.50
125.69,2.99,-0.41
125.82,3.15,-0.42
125.88,3.22,-0.38
125.98,2.96,-0.23
126.07,3.12,-0.47
126.17,3.09,-0.16
126.26,3.10,-0.34
126.36,,
126.45,2.86,0.02
126.54,2.69,0.10
126.64,2.60,0.13
126.73,2.60,-0.08
126.83,2.51,-0.08
126.95,2.37,-0.06
127.02,2.49,-0.03
127.11,2.40,-0.29
127.23,2.60,-0.20
127.30,2.36,-0.42
127.40,2.50,-0.44
127.49,2.74,-0.25
127.58,2.61,-0.19
127.68,2.52,-0.20
127.80,2.59,-0.03
127.87,2.68,0.19
127.93,2.73,0.18
128.03,2.61,0.00
128.12,2.62,0.14
128.23,2.77,0.07
128.29,2.73,0.02
128.41,2.90,-0.41
128.48,,-0.35
128.58,,
128.67,3.04,-0.16
128.80,2.91,-0.11
128.86,2.90,0.01
128.96,2.84,0.14
129.05,2.64,0.15
129.15,2.67,0.00
129.24,2.56,0.19
129.36,2.52,0.10
129.43,2.82,-0.01
129.52,2.63,0.06
129.62,2.70,0.19
129.71,2.90,-0.18
129.81,2.89,-0.01
129.90,2.85,-0.03
130.02,2.89,-0.06
130.09,2.88,-0.03
130.18,2.93,-0.02
130.28,2.85,
130.37,2.78,-0.12
130.47,2.78,-0.24
130.56,2.67,0.00
130.66,2.54,0.16
130.78,2.65,0.05
130.85,2.62,0.18
130.94,2.59,
131.04,2.65,-0.18
131.13,2.75,-0.03
131.21,2.69,-0.12
131.32,2.85,0.03
131.41,2.82,0.06
131.51,3.01,-0.32
131.62,2.94,-0.31
131.70,2.84,-0.02
131.79,2.93,-0.05
131.89,2.84,-0.17
131.98,2.81,0.16
132.08,2.67,0.03
132.20,2.66,0.02
132.26,,0.08
132.36,2.66,0.12
132.45,2.67,-0.04
132.55,2.79,-0.03
132.64,2.70,-0.18
132.74,2.60,-0.35
132.83,2.70,-0.09
132.93,2.75,-0.26
133.02,,-0.26
133.11,2.90,-0.38
133.21,,
133.30,,
133.40,,-0.31
133.49,2.84,-0.63
133.62,2.57,-0.31
133.68,2.47,
133.78,2.47,0.02
133.87,2.37,-0.14
133.97,2.55,0.10
134.04,2.43,-0.10
134.15,2.26,0.10
134.25,2.23,-0.30
134.34,2.64,-0.06
134.44,2.54,
134.53,2.68,-0.11
134.63,2.74,0.03
134.72,2.75,-0.16
134.82,2.54,-0.06
134.91,2.87,0.00
135.03,2.86,0.03
135.10,3.06,0.01
135.19,2.91,-0.07
135.29,2.71,-0.01
135.38,2.78,0.14
135.48,2.38,-0.02
135.57,2.62,0.05
135.67,2.39,-0.08
135.76,2.57,-0.06
135.86,2.64,-0.13
135.95,2.92,-0.24
136.04,2.87,-0.26
136.14,2.94,-0.32
136.23,2.87,-0.34
136.33,2.93,-0.45
136.45,2.84,-0.63
136.52,2.89,-0.38
136.61,2.93,-0.30
136.71,2.98,-0.34
136.80,2.93,-0.25
136.90,2.74,-0.24
136.99,3.00,-0.40
137.08,2.72,-0.45
137.18,2.73,-0.31
137.27,2.39,-0.12
137.37,2.43,-0.37
137.41,2.50,-0.46
137.50,2.44,-0.29
137.60,2.66,-0.26
137.75,2.70,-0.45
137.78,,
137.91,2.73,-0.40
137.98,2.46,-0.31
138.09,2.64,-0.14
138.17,2.55,-0.14
138.28,2.49,-0.08
138.36,2.56,0.10
138.44,2.23,0.02
138.57,2.17,0.02
138.64,2.34,0.04
138.71,2.51,0.21
138.79,2.48,0.25
138.92,2.62,
139.01,2.42,
139.11,2.59,0.10
139.20,2.49,-0.05
139.30,2.60,0.22
139.39,2.45,-0.30
139.47,2.61,-0.11
139.58,2.62,0.01
139.67,2.80,0.05
139.77,2.63,0.02
139.86,2.60,0.14
139.95,2.85,0.12
140.05,2.47,0.05
140.14,2.56,0.12
140.25,2.61,0.11
140.33,2.66,0.07
140.42,2.54,0.04
140.52,2.70,-0.05
140.61,2.70,-0.11
140.72,2.79,-0.08
