,mcd_x,age_ka,MgCa,FeCa,AlCa,notes,Unnamed: 6,mcd_y,d13C,d18O,Notes,Unnamed: 5
98,127.58,2762.3,0.93,14.0,527.0,1208_14-7 40-42,,127.58,-1.11,3.83,1208 14-7 40-42U,-0.21
99,127.58,2762.3,0.93,14.0,527.0,1208_14-7 40-42,,127.58,-0.96,3.71,1208 14-7 40-42 U,-0.06
100,127.58,2762.3,0.93,14.0,527.0,1208_14-7 40-42,,127.58,-0.98,3.59,1208 14-7 40-42UR,-0.08
101,127.68,2766.1,0.9,67.0,59.0,1208_14-7 50-52,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text),127.68,-0.8,3.64,1208 14-7 50-52U,0.1
102,127.68,2766.1,0.9,67.0,59.0,1208_14-7 50-52,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text),127.68,-0.74,3.29,1208 14-7 50-52 U,0.16
103,127.8,2771.0,1.05,20.0,107.0,1208_14-7 63-65,,127.8,-1.02,3.65,1208 14-7 63-65U,-0.12
104,127.8,2771.0,1.05,20.0,107.0,1208_14-7 63-65,,127.8,-0.78,3.28,1208 14-7 63-65 U,0.12
105,127.87,2773.6,1.13,16.0,19.0,1208_14-7 70-72,,127.87,-0.65,3.55,1208 14-7 70-72U,0.25
106,127.87,2773.6,1.13,16.0,19.0,1208_14-7 70-72,,127.87,-0.51,3.33,1208 14-7 70-72 U,0.39
107,127.87,2773.6,1.13,16.0,19.0,1208_14-7 70-72,,127.87,-0.76,3.48,1208 14-7 70-72 U R,0.14
108,127.93,2776.2,0.95,25.0,,1208_14-CC 0-2,,127.93,-0.57,3.49,1208 14-CC 0-2U,0.33
109,127.93,2776.2,0.95,25.0,,1208_14-CC 0-2,,127.93,-0.65,3.29,1208 14-CC 0-2 U,0.25
110,128.03,2780.0,0.87,21.0,25.0,1208_14-CC 10-12,,128.03,-0.52,3.42,1208 14-CC 10-12U,0.38
111,128.03,2780.0,0.87,21.0,25.0,1208_14-CC 10-12,,128.03,-0.79,3.38,1208 14-CC 10-12U,0.11
112,128.12,2785.4,0.94,27.0,29.0,1208_14-CC 20-22,,128.12,-0.81,3.35,1208 14-CC 20-22U,0.09
113,128.12,2785.4,0.94,27.0,29.0,1208_14-CC 20-22,,128.12,-0.6,3.46,1208 14-CC 20-22U,0.3
114,128.23,2791.4,0.86,23.0,23.0,1208_15-1 3-5,,128.23,-0.78,3.42,1208 15-1 3-5 U,0.12
115,128.23,2791.4,0.86,23.0,23.0,1208_15-1 3-5,,128.23,-0.79,3.39,1208 15-1 3-5U,0.11
116,128.29,2795.0,1.01,18.0,26.0,1208_15-1 10-12,,128.29,-0.86,3.34,1208 15-1 10-12 U,0.04
117,128.29,2795.0,1.01,18.0,26.0,1208_15-1 10-12,,128.29,-1.09,3.39,1208 15-1 10-12U,-0.19
118,128.41,2799.3,0.8,16.0,32.0,1208_15-1 22-24,,128.41,-1.05,3.95,1208 15-1 22-24 U,-0.15
119,128.58,2805.4,0.88,12.0,43.0,1208_15-1 40-42,,128.58,-0.92,3.63,1208 15-1 40-42 U,-0.02
120,128.8,2813.3,0.84,13.0,25.0,1208_15-1 63-65,,128.8,-0.95,3.39,1208 15-1 63-65 U,-0.05
121,128.8,2813.3,0.84,13.0,25.0,1208_15-1 63-65,,128.8,-0.87,3.78,1208 15-1 63-65U,0.03
122,128.86,2815.7,0.88,19.0,20.0,1208_15-1 70-72,,128.86,-1.01,3.88,1208 15-1 70-72 U,-0.11
123,128.96,2819.1,0.93,15.0,56.0,1208_15-1 80-82,,128.96,-0.78,3.78,1208 15-1 80-82 U,0.12
124,128.96,2819.1,0.93,15.0,56.0,1208_15-1 80-82,,128.96,-0.87,3.6,1208 15-1 80-82U,0.03
125,129.05,2822.5,0.81,46.0,113.0,1208_15-1 90-92,,129.05,-0.66,3.33,1208 15-1 90-92 U,0.24
