age_ka,temp,temp_min1,temp_add1,temp_min2,temp_add2,d18O_sw,d18O_sw_min1,d18O_sw_add_1,d18O_sw_min2,d18O_sw_add2
2867.5,0.95768,-1.0292,3.0231,-3.1105,4.8863,0.67518,0.23037,1.1103,-0.18453,1.5655
2870,-0.1452,-2.3758,2.2092,-4.4795,4.1745,0.52632,0.049819,0.99634,-0.4032,1.431
2872.5,0.4515,-1.9362,2.6694,-4.1099,4.3832,0.75807,0.21678,1.2549,-0.2571,1.6739
2874.5,0.45916,-1.8028,2.7007,-3.8464,4.8007,0.97307,0.51427,1.4379,0.10589,1.8938
2879.6,-0.026716,-2.1958,2.1607,-4.15,4.6254,0.93485,0.49477,1.3855,0.097098,1.9149
2881.8,0.14922,-1.9277,2.2656,-4.0451,4.379,0.96325,0.52185,1.4341,0.10106,1.8519
2884.4,1.2874,-0.86482,3.3581,-2.7323,5.2408,1.1932,0.72443,1.6521,0.33693,2.0599
2886.1,1.2057,-0.90613,3.247,-2.754,5.1854,1.2451,0.80709,1.696,0.43997,2.0654
2888.2,0.40603,-1.7119,2.3707,-3.7378,4.3759,0.82004,0.34359,1.2795,-0.11032,1.8071
2892.5,0.38446,-1.7119,2.2272,-3.6476,4.257,0.74242,0.29265,1.1478,-0.11741,1.5393
2894.3,0.34327,-1.6048,2.3395,-3.7183,4.4423,0.59445,0.14583,1.0392,-0.31726,1.4804
2896.5,0.043721,-1.9925,2.0543,-3.9494,3.9862,0.57566,0.14287,1.0031,-0.30566,1.4133
2897.7,0.78046,-1.4036,2.8071,-3.5404,4.5507,0.75311,0.27811,1.1624,-0.1587,1.5603
2899.5,0.26682,-1.8059,2.4636,-3.9608,4.2647,0.58222,0.12704,1.087,-0.34925,1.4711
2901.2,0.7881,-1.2697,3.0147,-3.5599,5.1278,0.71275,0.24683,1.208,-0.20034,1.7055
2903,0.37206,-1.7916,2.5741,-3.6904,4.6102,0.68788,0.24184,1.1599,-0.19898,1.5783
2904.7,-1.0124,-3.1014,1.1655,-5.2556,3.3343,0.45714,0.020159,0.90932,-0.46982,1.3783
2906.4,-0.77847,-2.8192,1.2529,-4.8906,3.4678,0.57737,0.12627,1.0252,-0.304,1.481
2928.7,-0.91823,-2.8971,1.1041,-4.9776,3.0711,0.61231,0.18655,1.0581,-0.26428,1.4866
2932.4,-0.45534,-2.4647,1.5279,-4.4738,3.573,0.58623,0.1626,1.0143,-0.24933,1.4433
2938.9,0.20107,-1.8914,2.3665,-3.9118,4.3961,0.88199,0.4298,1.3442,-0.025774,1.8021
2967.8,0.28972,-1.7491,2.4995,-3.7541,4.5545,0.95247,0.52461,1.4052,0.07579,1.8455
2971.7,0.39471,-1.5873,2.4298,-3.5628,4.1819,0.92013,0.505,1.3427,0.062345,1.7513
2973.7,-0.2452,-2.3376,1.9329,-4.3733,3.853,0.82307,0.3824,1.2639,-0.05623,1.6862
2976.7,0.4806,-1.7346,2.684,-3.9241,4.5533,0.59466,0.1447,1.0514,-0.31871,1.4702
2982.5,0.54679,-1.5163,2.5511,-3.2589,4.7104,0.54516,0.13209,0.97353,-0.27273,1.4426
2985.5,0.27202,-1.6832,2.3237,-3.6356,4.3197,0.49388,0.067693,0.93047,-0.3711,1.4152
2991.3,0.059443,-1.7889,2.0616,-3.8173,4.0383,0.46248,0.062161,0.88067,-0.41438,1.337
2994.2,0.37533,-1.5281,2.3786,-3.6672,4.1772,0.4895,0.081909,0.9201,-0.40551,1.3563
2997.1,0.073634,-1.8815,2.0196,-4.1489,3.991,0.52326,0.10504,0.96588,-0.3512,1.3965
3000,0.64759,-1.5616,2.6551,-3.6749,4.5866,0.778,0.30509,1.2398,-0.18377,1.6753
3002.1,0.87315,-1.2107,2.7058,-2.9971,4.5855,0.97428,0.52569,1.3709,0.14791,1.8017
3004.2,1.1768,-0.88937,3.1157,-2.5804,5.1511,1.0263,0.59745,1.4521,0.22074,1.8661
3006.3,0.47879,-1.618,2.4781,-3.5202,4.5377,0.83771,0.35471,1.2681,-0.050541,1.7336
3008.4,0.11575,-1.9416,2.0443,-3.5911,3.983,0.83267,0.37051,1.2457,0.016895,1.6723
3011.1,-0.30537,-2.3905,1.7066,-4.3081,3.8846,0.68628,0.23957,1.1535,-0.22867,1.5794
3012.6,-1.011,-2.9997,1.1365,-5.0021,3.0533,0.55914,0.12032,1.0323,-0.29364,1.4157
3014.6,-0.37881,-2.393,1.7695,-4.6523,3.6388,0.7614,0.30051,1.2171,-0.16152,1.6827
3016.7,-0.12185,-2.12,1.9367,-4.1131,4.0184,0.69226,0.26366,1.1468,-0.1648,1.6052
3025,-0.13975,-2.1549,1.8948,-4.107,4.053,0.64421,0.22004,1.0709,-0.19904,1.5719
3027.9,-0.82664,-2.7787,1.3491,-4.6666,3.4087,0.44449,0.024025,0.91025,-0.40475,1.4012
3030.6,-1.1998,-3.0959,0.79033,-5.2025,2.8686,0.08891,-0.37677,0.56181,-0.87857,1.0325
3034.4,-0.77302,-2.7176,1.2277,-4.6737,3.4431,0.24153,-0.24659,0.70758,-0.70782,1.1536
