age_ka,SL_m,V_LIS,V_EIS,V_AIS,V_GrIS,d18O_LIS,d18O_EIS,d18O_AIS,d18O_GrIS,Dd18O_ice,Dd18O_temp,SeaTemp
4596.00000,3.68900,0.00000,0.00000,55.70800,5.20800,-15.00000,-15.00000,-50.41200,-21.49300,-0.15500,0.07500,-0.30100
4595.00000,3.41600,0.00000,0.00000,55.95600,5.45600,-15.00000,-15.00000,-50.50800,-21.74400,-0.14900,0.07500,-0.29900
4594.00000,5.19600,0.00000,0.00000,56.09200,5.59200,-15.00000,-15.00000,-50.59700,-21.97000,-0.14400,0.03100,-0.12500
4593.00000,6.95100,0.00000,0.00000,55.20200,4.70200,-15.00000,-15.00000,-50.59700,-21.97000,-0.16200,0.00977,-0.03900
4592.00000,8.68000,0.00000,0.00000,54.32500,3.82500,-15.00000,-15.00000,-50.59700,-21.97000,-0.17900,-0.01200,0.04900
4591.00000,10.38400,0.00000,0.00000,49.12000,2.96000,-15.00000,-15.00000,-50.59700,-21.97000,-0.25500,0.02500,-0.10000
4590.00000,11.47100,0.00000,0.00000,47.41600,2.10800,-15.00000,-15.00000,-50.59700,-21.97000,-0.28200,0.02700,-0.10900
4589.00000,11.93500,0.00000,0.00000,46.32900,1.56500,-15.00000,-15.00000,-50.59700,-21.97000,-0.30000,0.03400,-0.13700
4588.00000,12.39700,0.00000,0.00000,45.86500,1.33300,-15.00000,-15.00000,-50.59700,-21.97000,-0.30800,0.03100,-0.12300
4587.00000,12.85700,0.00000,0.00000,45.40300,1.10100,-15.00000,-15.00000,-50.59700,-21.97000,-0.31600,0.02800,-0.11100
4586.00000,13.31600,0.00000,0.00000,44.94300,0.87100,-15.00000,-15.00000,-50.59700,-21.97000,-0.32300,0.02400,-0.09800
4585.00000,12.64100,0.00000,0.00000,44.48400,0.64200,-15.00000,-15.00000,-50.59700,-21.97000,-0.33100,0.04800,-0.19200
4584.00000,11.81000,0.00000,0.00000,45.15900,0.97900,-15.00000,-15.00000,-50.24600,-19.21100,-0.32400,0.06100,-0.24500
4583.00000,10.97200,0.00000,0.00000,45.99000,1.39500,-15.00000,-15.00000,-49.98000,-18.24400,-0.31500,0.07100,-0.28400
4582.00000,10.12800,0.00000,0.00000,46.82800,1.81400,-15.00000,-15.00000,-49.78600,-17.98900,-0.30400,0.08000,-0.31900
4581.00000,9.82200,0.00000,0.00000,47.67200,2.23600,-15.00000,-15.00000,-49.65300,-18.07000,-0.29200,0.07500,-0.30100
4580.00000,10.94900,0.00000,0.00000,47.97800,2.38900,-15.00000,-15.00000,-49.55000,-18.19600,-0.28900,0.04600,-0.18300
4579.00000,12.06500,0.00000,0.00000,46.85100,1.82500,-15.00000,-15.00000,-49.55000,-18.19600,-0.30700,0.03800,-0.15100
4578.00000,13.17000,0.00000,0.00000,45.73500,1.26700,-15.00000,-15.00000,-49.55000,-18.19600,-0.32400,0.02900,-0.11700
4577.00000,14.26300,0.00000,0.00000,44.63000,0.71500,-15.00000,-15.00000,-49.55000,-18.19600,-0.34200,0.02100,-0.08200
4576.00000,14.74600,0.00000,0.00000,43.53700,0.16800,-15.00000,-15.00000,-49.55000,-18.19600,-0.35900,0.02600,-0.10500
4575.00000,14.92600,0.00000,0.00000,43.05400,0.00000,-15.00000,-15.00000,-49.55000,-18.19600,-0.36600,0.02900,-0.11600
4574.00000,15.10600,0.00000,0.00000,42.87400,0.00000,-15.00000,-15.00000,-49.55000,-15.00000,-0.36900,0.02700,-0.10800
4573.00000,15.28600,0.00000,0.00000,42.69400,0.00000,-15.00000,-15.00000,-49.55000,-15.00000,-0.37100,0.02500,-0.10000
4572.00000,15.49100,0.00000,0.00000,42.51400,0.00000,-15.00000,-15.00000,-49.55000,-15.00000,-0.37300,0.02200,-0.09000
4571.00000,16.11600,0.00000,0.00000,42.30900,0.00000,-15.00000,-15.00000,-49.55000,-15.00000,-0.37600,0.00998,-0.04000
4570.00000,16.73700,0.00000,0.00000,41.68400,0.00000,-15.00000,-15.00000,-49.55000,-15.00000,-0.38400,0.00317,-0.01300
4569.00000,17.35500,0.00000,0.00000,41.06300,0.00000,-15.00000,-15.00000,-49.55000,-15.00000,-0.39300,-0.00376,0.01500
4568.00000,17.96800,0.00000,0.00000,40.44500,0.00000,-15.00000,-15.00000,-49.55000,-15.00000,-0.40100,-0.01100,0.04300
4567.00000,18.06800,0.00000,0.00000,39.83200,0.00000,-15.00000,-15.00000,-49.55000,-15.00000,-0.40900,-0.00505,0.02000
4566.00000,17.54300,0.00000,0.00000,39.73200,0.00000,-15.00000,-15.00000,-49.55000,-15.00000,-0.41000,0.00923,-0.03700
4565.00000,17.01500,0.00000,0.00000,40.25700,0.00000,-15.00000,-15.00000,-49.10900,-15.00000,-0.40800,0.02000,-0.08000
4564.00000,16.48400,0.00000,0.00000,40.78500,0.00000,-15.00000,-15.00000,-48.76000,-15.00000,-0.40500,0.03000,-0.12000
4563.00000,15.95100,0.00000,0.00000,41.31600,0.00000,-15.00000,-15.00000,-48.48700,-15.00000,-0.40100,0.03900,-0.15600
4562.00000,14.19900,0.00000,0.00000,41.84900,0.00000,-15.00000,-15.00000,-48.28000,-15.00000,-0.39700,0.07700,-0.30700
4561.00000,12.18500,0.00000,0.00000,43.60100,0.20000,-15.00000,-15.00000,-48.18300,-15.25000,-0.37400,0.10200,-0.40800
4560.00000,10.13300,0.00000,0.00000,45.61500,1.20800,-15.00000,-15.00000,-48.18700,-15.95200,-0.34300,0.11900,-0.47700
4559.00000,8.04200,0.00000,0.00000,47.66700,2.23400,-15.00000,-15.00000,-48.27200,-16.80200,-0.31100,0.13400,-0.53700
4558.00000,6.53000,0.00000,0.00000,49.75800,3.27900,-15.00000,-15.00000,-48.42400,-17.73800,-0.27600,0.13400,-0.53500
4557.00000,7.01500,0.00000,0.00000,54.53500,4.03500,-15.00000,-15.00000,-48.72700,-18.62700,-0.20500,0.05100,-0.20600
4556.00000,7.49700,0.00000,0.00000,54.29300,3.79300,-15.00000,-15.00000,-48.72700,-18.62700,-0.21000,0.04600,-0.18400
4555.00000,7.97800,0.00000,0.00000,50.30300,3.55100,-15.00000,-15.00000,-48.72700,-18.62700,-0.26400,0.08900,-0.35500
4554.00000,8.45700,0.00000,0.00000,49.82200,3.31100,-15.00000,-15.00000,-48.72700,-18.62700,-0.27100,0.08500,-0.33900
4553.00000,8.81400,0.00000,0.00000,49.34300,3.07200,-15.00000,-15.00000,-48.72700,-18.62700,-0.27800,0.08400,-0.33700
4552.00000,9.10000,0.00000,0.00000,48.98600,2.89300,-15.00000,-15.00000,-48.72700,-18.62700,-0.28400,0.08300,-0.33300
4551.00000,9.38400,0.00000,0.00000,48.70000,2.75000,-15.00000,-15.00000,-48.72700,-18.62700,-0.22500,0.01800,-0.07200
4550.00000,9.66800,0.00000,0.00000,48.41600,2.60800,-15.00000,-15.00000,-48.72700,-18.62700,-0.23000,0.01600,-0.06500
4549.00000,9.98500,0.00000,0.00000,48.13200,2.46600,-15.00000,-15.00000,-48.72700,-18.62700,-0.23400,0.01400,-0.05400
4548.00000,12.04000,0.00000,0.00000,47.81500,2.30800,-15.00000,-15.00000,-48.72700,-18.62700,-0.24000,-0.02900,0.11600
4547.00000,14.05700,0.00000,0.00000,45.76000,1.28000,-15.00000,-15.00000,-48.72700,-18.62700,-0.27400,-0.04200,0.16800
4546.00000,16.03600,0.00000,0.00000,43.74300,0.27200,-15.00000,-15.00000,-48.72700,-18.62700,-0.30800,-0.05600,0.22500
4545.00000,17.97700,0.00000,0.00000,41.76400,0.00000,-15.00000,-15.00000,-48.72700,-18.62700,-0.33700,-0.07500,0.30000
4544.00000,18.39100,0.00000,0.00000,39.82300,0.00000,-15.00000,-15.00000,-48.72700,-15.00000,-0.36400,-0.05900,0.23400
4543.00000,16.63600,0.00000,0.00000,39.40900,0.00000,-15.00000,-15.00000,-48.72700,-15.00000,-0.36900,-0.00966,0.03900
4542.00000,14.84900,0.00000,0.00000,41.16400,0.00000,-15.00000,-15.00000,-48.45200,-15.00000,-0.34800,0.01300,-0.05300
4541.00000,13.03100,0.00000,0.00000,42.95100,0.00000,-15.00000,-15.00000,-48.30100,-15.00000,-0.32600,0.03400,-0.13600
4540.00000,11.18100,0.00000,0.00000,44.76900,0.78500,-15.00000,-15.00000,-48.25300,-15.61800,-0.29800,0.05000,-0.19800
4539.00000,11.26200,0.00000,0.00000,46.61900,1.71000,-15.00000,-15.00000,-48.28700,-16.38500,-0.26800,0.01800,-0.07100
4538.00000,11.82000,0.00000,0.00000,46.53800,1.66900,-15.00000,-15.00000,-48.28700,-16.38500,-0.27000,0.00631,-0.02500
4537.00000,12.37500,0.00000,0.00000,45.98000,1.39000,-15.00000,-15.00000,-48.28700,-16.38500,-0.27900,0.00213,-0.00851
4536.00000,12.92700,0.00000,0.00000,45.42500,1.11300,-15.00000,-15.00000,-48.28700,-16.38500,-0.28700,-0.00218,0.00870
4535.00000,13.12000,0.00000,0.00000,44.87300,0.83700,-15.00000,-15.00000,-48.28700,-16.38500,-0.29600,0.00193,-0.00772
4534.00000,11.82900,0.00000,0.00000,44.68000,0.74000,-15.00000,-15.00000,-48.28700,-16.38500,-0.29900,0.03500,-0.14100
4533.00000,10.52400,0.00000,0.00000,45.97100,1.38500,-15.00000,-15.00000,-48.29100,-16.66400,-0.27800,0.04400,-0.17800
4532.00000,9.20200,0.00000,0.00000,47.27600,2.03800,-15.00000,-15.00000,-48.34600,-17.15700,-0.25400,0.05100,-0.20500
4531.00000,7.86600,0.00000,0.00000,48.59800,2.69900,-15.00000,-15.00000,-48.44500,-17.75300,-0.23100,0.05800,-0.23200
4530.00000,7.02500,0.00000,0.00000,49.93400,3.36700,-15.00000,-15.00000,-48.58100,-18.40500,-0.20600,0.05200,-0.20800
