site,hole,core,section,top,bottom,mcd,age_ka,d18O,FeCa,MnCa,AlCa,MgCa,BWT,d18O_sw,RSL
1313,B,12,4,58,60,119.02,2507.01,2.99,0.113,0.374,1.230,2.31,7.90,-0.05,4.26
1313,B,12,4,64,66,119.08,2508.07,3.23,,,,,,,
1313,B,12,4,66,68,119.10,2508.42,,0.236,0.445,0.197,2.33,7.99,,
1313,B,12,4,68,70,119.12,2508.78,3.39,0.277,0.398,0.245,2.13,7.21,0.31,-28.51
1313,B,12,4,70,72,119.14,2509.13,2.92,0.160,0.453,0.806,2.50,8.62,-0.09,7.74
1313,B,12,4,72,74,119.16,2509.48,3.00,0.068,0.377,1.030,2.19,7.46,-0.06,5.35
1313,B,12,4,74,76,119.18,2509.83,3.08,0.076,0.284,1.097,1.80,5.75,-0.07,6.50
1313,B,12,4,76,78,119.20,2510.19,3.78,0.104,0.300,0.937,1.94,6.39,0.66,-60.13
1313,B,12,4,78,80,119.22,2510.54,3.44,0.262,0.290,0.890,2.35,8.08,0.41,-36.83
1313,B,12,4,80,82,119.24,2510.94,3.97,0.160,0.283,0.550,1.85,5.99,0.83,-75.85
1313,B,12,4,82,84,119.26,2511.34,4.11,0.086,0.251,0.407,1.92,6.28,0.99,-90.00
1313,B,12,4,84,86,119.28,2511.80,4.15,0.072,0.256,1.038,1.76,5.54,0.99,-89.75
1313,B,12,4,86,88,119.30,2512.27,4.05,0.023,0.368,0.649,1.83,5.87,0.91,-82.60
1313,B,12,4,88,90,119.32,2512.73,3.92,0.053,0.375,0.167,1.81,5.78,0.77,-70.19
1313,B,12,4,90,92,119.34,2513.20,4.11,0.069,0.319,1.194,1.94,6.40,1.00,-90.61
1313,B,12,4,92,94,119.36,2513.66,4.32,0.064,0.357,0.583,1.88,6.11,1.19,-108.23
1313,B,12,4,94,96,119.38,2514.12,4.21,0.114,0.319,1.516,1.91,6.25,1.08,-98.50
1313,B,12,4,96,98,119.40,2514.59,4.32,0.077,0.387,0.874,1.79,5.71,1.17,-106.48
1313,B,12,4,98,100,119.42,2515.05,4.23,0.139,0.430,0.145,1.73,5.37,1.06,-96.21
1313,B,12,4,100,102,119.44,2515.52,4.29,0.032,0.406,0.648,1.72,5.35,1.13,-102.39
1313,B,12,4,102,104,119.46,2515.98,4.30,0.099,0.379,0.238,1.90,6.21,1.18,-107.14
1313,B,12,4,104,106,119.48,2516.45,4.29,0.113,0.365,0.417,1.73,5.40,1.12,-102.20
1313,B,12,4,106,108,119.50,2516.91,4.43,0.051,0.338,0.886,1.75,5.50,1.27,-115.56
1313,B,12,4,108,110,119.52,2517.37,4.21,0.202,0.325,0.137,1.62,4.82,1.02,-92.65
1313,B,12,4,110,112,119.54,2517.84,4.39,0.093,0.372,0.584,1.88,6.14,1.26,-114.26
1313,B,12,4,112,114,119.56,2518.30,4.32,0.071,0.347,0.275,2.14,7.26,1.24,-113.00
1313,B,12,4,114,116,119.58,2518.77,4.53,0.054,0.349,0.504,1.54,4.39,1.31,-119.05
1313,B,12,4,116,118,119.60,2519.23,4.35,0.040,0.373,1.480,1.81,5.77,1.20,-109.51
1313,B,12,4,118,120,119.62,2519.70,4.30,0.018,0.450,0.788,1.58,4.62,1.10,-99.71
1313,B,12,4,120,122,119.64,2520.16,4.44,0.058,0.483,0.429,1.60,4.71,1.24,-112.66
1313,B,12,4,122,124,119.66,2520.63,4.23,0.073,0.420,0.257,1.58,4.59,1.02,-93.13
1313,B,12,4,124,126,119.68,2521.09,4.29,0.040,0.410,0.080,1.70,5.23,1.12,-101.69
1313,B,12,4,126,128,119.70,2521.55,4.24,0.089,0.398,0.632,1.64,4.92,1.05,-95.81
1313,B,12,4,128,130,119.72,2522.02,4.28,0.075,0.433,0.207,1.75,5.49,1.12,-101.58
1313,B,12,4,130,132,119.74,2522.48,4.20,0.137,0.449,0.128,1.76,5.55,1.04,-94.68
1313,B,12,4,132,134,119.76,2522.95,4.00,0.073,0.448,0.182,1.73,5.38,0.83,-75.74
1313,B,12,4,134,136,119.78,2523.41,4.08,0.116,0.405,0.191,1.61,4.79,0.89,-80.50
1313,B,12,4,136,138,119.80,2523.88,4.13,0.132,0.389,0.197,1.56,4.50,0.92,-83.53
1313,B,12,4,138,140,119.82,2524.34,4.21,0.100,0.395,0.541,1.62,4.80,1.02,-92.28
1313,B,12,4,140,142,119.84,2524.81,4.19,0.081,0.370,0.154,1.66,5.03,1.01,-91.76
1313,B,12,4,142,144,119.86,2525.27,4.19,0.094,0.346,0.243,1.67,5.09,1.01,-91.41
1313,B,12,4,144,146,119.88,2525.73,4.20,0.088,0.399,0.196,1.56,4.52,0.99,-90.07
1313,B,12,4,146,148,119.90,2526.20,4.09,0.082,0.426,0.192,1.71,5.31,0.92,-83.97
1313,B,12,4,148,150,119.92,2526.66,4.20,0.097,0.432,0.265,1.62,4.82,1.01,-91.57
1313,B,12,5,0,2,119.94,2527.13,4.01,0.083,0.429,0.158,1.61,4.77,0.81,-73.48
1313,B,12,5,2,4,119.96,2527.59,4.12,0.086,0.419,0.182,1.52,4.25,0.90,-81.95
1313,B,12,5,4,6,119.98,2528.06,4.13,0.127,0.400,0.310,1.75,5.49,0.97,-88.42
1313,B,12,5,6,8,120.00,2528.52,4.03,0.070,0.414,0.714,1.69,5.20,0.85,-77.26
1313,B,12,5,8,10,120.02,2528.99,4.22,0.107,0.503,0.408,1.46,3.91,0.98,-88.95
1313,B,12,5,10,12,120.04,2529.45,4.05,0.155,0.439,0.532,1.54,4.39,0.84,-75.95
1313,B,12,5,12,14,120.06,2529.91,4.00,0.107,0.386,0.928,1.45,3.83,0.76,-68.78
1313,B,12,5,14,16,120.08,2530.38,4.20,0.075,0.344,0.201,1.60,4.73,1.00,-90.68
1313,B,12,5,16,18,120.10,2530.84,4.08,0.126,0.351,0.254,1.75,5.53,0.92,-83.30
1313,B,12,5,18,20,120.12,2531.31,4.16,0.106,0.391,0.205,1.60,4.72,0.96,-87.45
1313,B,12,5,20,22,120.14,2531.77,3.98,0.050,0.477,0.937,1.72,5.36,0.81,-74.00
1313,B,12,5,22,24,120.16,2532.24,4.15,0.113,0.562,0.761,1.73,5.42,0.99,-89.80
1313,B,12,5,24,26,120.18,2532.70,3.97,0.219,0.366,0.450,1.89,6.17,0.85,-76.95
1313,B,12,5,26,28,120.20,2533.16,4.01,0.082,0.417,0.362,1.79,5.72,0.86,-77.80
1313,B,12,5,28,30,120.22,2533.63,3.97,0.073,0.405,0.221,1.87,6.07,0.84,-76.57
1313,B,12,5,30,32,120.24,2534.09,3.93,0.143,0.472,0.861,1.85,6.00,0.80,-72.30
1313,B,12,5,32,34,120.26,2534.56,3.95,0.076,0.386,0.428,2.01,6.72,0.85,-77.27
1313,B,12,5,34,36,120.28,2535.02,4.01,0.144,0.465,0.232,1.64,4.96,0.82,-74.73
1313,B,12,5,36,38,120.30,2535.49,3.89,0.123,0.504,0.198,2.11,7.16,0.81,-73.83
1313,B,12,5,38,40,120.32,2535.95,3.98,0.155,0.400,0.847,2.00,6.68,0.87,-79.53
1313,B,12,5,40,42,120.34,2536.42,3.93,0.134,0.413,0.430,1.94,6.39,0.81,-73.78
1313,B,12,5,42,44,120.36,2536.88,3.88,0.048,0.311,0.198,1.94,6.41,0.76,-69.41
1313,B,12,5,44,46,120.38,2537.34,3.84,,,,,,,
1313,B,12,5,46,48,120.40,2537.81,3.89,,,,,,,
1313,B,12,5,48,50,120.42,2538.27,3.82,0.041,0.371,1.420,1.77,5.62,0.67,-60.73
1313,B,12,5,50,52,120.44,2538.74,3.72,0.052,0.399,0.269,1.92,6.31,0.60,-54.21
1313,B,12,5,52,54,120.46,2539.17,3.32,0.157,0.541,,1.94,6.40,0.20,-18.63
1313,B,12,5,54,56,120.48,2539.59,3.41,0.133,0.503,0.022,1.84,5.95,0.27,-24.60
1313,B,12,5,56,58,120.50,2540.02,3.25,0.160,0.563,0.023,1.85,6.00,0.12,-10.75
1313,B,12,5,58,60,120.52,2540.45,3.25,0.124,0.420,0.087,1.99,6.64,0.15,-13.57
