depth,age_ka,d18O,d18O_adj
19.63,476.2,3.79,4.43
19.65,476.7,3.56,4.2
19.8,482.3,3.35,3.99
19.95,490,3.12,3.76
20.1,498.8,2.88,3.52
20.25,509.1,3.19,3.83
20.47,524.1,3.15,3.79
20.55,529.5,3.33,3.97
20.62,533.4,3.6,4.24
20.72,538.9,3.94,4.58
20.85,544.3,3.89,4.53
21,549.9,3.89,4.53
21.15,556.1,3.64,4.28
21.3,563.1,3.61,4.25
21.45,573.2,3.07,3.71
21.6,580.3,3.09,3.73
21.75,585.8,3.2,3.84
22.05,595.5,3.42,4.06
22.13,598,3.09,3.73
22.22,600.5,3.02,3.66
22.35,603,3.05,3.69
22.55,605.7,2.96,3.6
22.63,606.6,3.22,3.86
22.72,607.4,3.04,3.68
22.8,608.1,2.95,3.59
22.93,609.2,2.84,3.48
23,609.8,2.88,3.52
23.23,611.7,2.59,3.23
23.68,615.4,3.02,3.66
23.83,616.7,2.67,3.31
24.05,618.5,2.81,3.45
24.13,619.2,2.99,3.63
24.3,620.8,3.35,3.99
24.43,622.2,3.44,4.08
24.88,627.6,4.37,5.01
25.33,634,4.34,4.98
25.55,637.2,4.03,4.67
25.63,638.5,4.12,4.76
25.8,641.6,4.01,4.65
26.53,655.1,3.96,4.6
26.68,658.6,3.91,4.55
26.83,662.2,3.95,4.59
27.05,668.5,3.87,4.51
27.13,670.9,3.8,4.44
27.3,676,3.61,4.25
27.43,679.8,3.29,3.93
27.58,683.1,3.2,3.84
27.73,686.1,3.14,3.78
27.88,689.1,3.08,3.72
28.03,692.2,2.92,3.56
28.18,695.2,2.83,3.47
28.33,698.5,2.78,3.42
28.55,702.9,2.95,3.59
28.63,704.9,3,3.64
28.8,709.1,3.29,3.93
28.93,712.3,3.74,4.38
29.08,716,3.89,4.53
29.23,719.3,3.93,4.57
29.38,722.2,3.8,4.44
29.53,725.3,3.78,4.42
29.68,728.6,3.41,4.05
29.83,731.9,3.14,3.78
30.05,736.7,3.38,4.02
30.13,738.5,3.39,4.03
30.3,742.2,3.45,4.09
30.43,744.5,3.77,4.41
30.58,747.2,3.91,4.55
30.73,750.1,3.89,4.53
30.88,754.3,3.84,4.48
31.03,758.5,3.73,4.37
31.18,763.6,3.68,4.32
31.26,766.4,3.56,4.2
31.56,778.3,3.32,3.96
31.72,784.1,2.94,3.58
32.02,791.8,3.11,3.75
32.16,794.8,3.64,4.28
32.32,797.8,4.08,4.72
32.62,803.3,3.83,4.47
32.68,804.4,3.68,4.32
32.77,806,3.88,4.52
32.99,810.8,3.52,4.16
33.07,813.3,3.55,4.19
33.24,818.5,3.1,3.74
33.39,823.6,3.03,3.67
33.52,828.3,3.1,3.74
33.65,833.4,3.17,3.81
33.82,840.8,3.19,3.83
33.97,846.8,2.92,3.56
34.12,852.2,2.9,3.54
34.27,857.4,2.69,3.33
34.49,864.4,3.03,3.67
34.57,866.3,3.53,4.17
34.74,870.2,3.21,3.85
34.87,873.3,4,4.64
35.17,881.1,3.76,4.4
35.32,885.1,3.17,3.81
35.47,889.1,3.7,4.34
35.77,897,3.29,3.93
36.07,902.9,3.46,4.1
36.39,908.9,3.4,4.04
36.52,911.3,3.47,4.11
36.67,913.7,3.26,3.9
36.82,916.5,3.45,4.09
36.89,917.8,3.42,4.06
36.97,919.3,3.84,4.48
37.12,922.3,2.73,3.37
37.33,926.5,3.64,4.28
37.49,930.4,3.35,3.99
37.64,934.3,3.18,3.82
37.74,936.8,3.17,3.81
38.02,942.6,2.78,3.42
38.17,945.7,2.87,3.51
38.27,947.8,2.74,3.38
38.49,952,2.64,3.28
38.62,955.1,2.65,3.29
38.75,958.9,2.82,3.46
38.83,961.2,3.84,4.48
38.99,965.3,3.78,4.42
39.07,967.2,3.21,3.85
39.24,971.1,3.45,4.09
39.37,974.1,3.2,3.84
39.52,977.6,3.17,3.81
39.65,980.7,3.15,3.79
39.82,984.6,3.33,3.97
39.97,988.1,3.41,4.05
40.12,991.4,3.23,3.87
40.32,995.3,2.97,3.61
40.49,998.4,3.13,3.77
40.57,999.8,2.92,3.56
40.74,1004.2,3.48,4.12
40.84,1007,3.58,4.22
41.02,1011.7,3.26,3.9
41.17,1015,3.08,3.72
41.32,1018.1,3.13,3.77
41.47,1020.8,2.95,3.59
41.62,1023.7,2.74,3.38
41.67,1024.6,3.04,3.68
41.83,1027.3,2.9,3.54
41.97,1029.8,3.13,3.77
42.27,1035.1,3.62,4.26
42.33,1036.1,3.64,4.28
42.43,1038.1,3.82,4.46
42.57,1040.9,3.75,4.39
