depth,age_ka,d18O,d18O_adj
139.32,3334.6,2.75,3.39
139.4,3339.1,2.91,3.55
139.57,3347.4,2.42,3.06
139.85,3356.5,2.24,2.88
139.99,3360,2.55,3.19
140.15,3364,2.28,2.92
140.3,3367.7,2.51,3.15
140.45,3371.5,2.46,3.1
140.6,3375.7,2.66,3.3
140.82,3384.3,2.62,3.26
140.9,3387.3,2.56,3.2
141.07,3393.4,2.62,3.26
141.2,3396.8,2.64,3.28
141.35,3400.4,2.66,3.3
141.5,3404.1,2.64,3.28
141.65,3408.2,2.66,3.3
141.8,3412.3,2.49,3.13
141.95,3416.4,2.4,3.04
142.1,3420.4,2.49,3.13
142.11,3420.7,2.88,3.52
142.26,3425.1,2.8,3.44
142.41,3430.6,2.67,3.31
142.56,3436.9,2.47,3.11
142.71,3442.6,2.61,3.25
142.86,3448.3,2.47,3.11
143.01,3453.9,2.53,3.17
143.16,3459.6,2.56,3.2
143.3,3464.3,2.8,3.44
143.52,3469.6,2.64,3.28
143.6,3471.5,2.43,3.07
143.77,3475.3,2.36,3
143.9,3477.9,2.25,2.89
144.05,3481,2.57,3.21
144.2,3484,2.44,3.08
144.35,3487,2.29,2.93
144.5,3490,2.48,3.12
144.65,3493,2.54,3.18
145.02,3500.7,2.12,2.76
145.1,3502.4,2.24,2.88
145.27,3506.1,2.3,2.94
145.4,3509.2,2.25,2.89
145.55,3513,2.34,2.98
145.7,3516.9,2.44,3.08
145.85,3522.3,2.6,3.24
146,3528.1,2.58,3.22
146.15,3533.4,2.44,3.08
146.3,3539.5,2.43,3.07
146.52,3548.9,2.41,3.05
146.62,3552.7,2.37,3.01
146.77,3558.2,2.53,3.17
146.92,3563.8,2.5,3.14
147.05,3568.7,2.46,3.1
147.2,3574.2,2.41,3.05
147.35,3579.6,2.44,3.08
147.5,3584.8,2.48,3.12
147.52,3585.5,2.41,3.05
147.65,3590,2.52,3.16
147.8,3595.3,2.34,2.98
147.82,3596.1,2.28,2.92
147.95,3601,2.33,2.97
148.1,3606.6,2.45,3.09
148.13,3607.8,2.36,3
148.25,3611.1,2.42,3.06
148.4,3614.8,2.55,3.19
148.55,3618.4,2.55,3.19
148.7,3622,2.78,3.42
148.72,3622.5,2.77,3.41
148.85,3625.7,2.87,3.51
149,3629.3,2.77,3.41
149.02,3629.8,2.85,3.49
149.15,3632.9,2.74,3.38
149.3,3636.5,2.64,3.28
149.32,3636.9,2.7,3.34
149.45,3639.9,2.55,3.19
149.6,3643.3,2.44,3.08
149.64,3644.2,2.53,3.17
149.75,3646.7,2.26,2.9
149.9,3650.1,2.36,3
150.05,3653.5,2.47,3.11
150.2,3656.9,2.94,3.58
150.23,3657.5,2.6,3.24
150.35,3660.2,2.62,3.26
150.5,3663.5,2.81,3.45
150.53,3664.2,2.83,3.47
150.65,3666.8,2.85,3.49
150.8,3670.1,2.9,3.54
150.83,3670.7,2.86,3.5
150.95,3673.1,2.79,3.43
151.1,3675.7,2.69,3.33
151.14,3676.4,2.72,3.36
151.25,3678.4,2.57,3.21
151.4,3681.1,2.36,3
151.43,3681.6,2.41,3.05
151.55,3683.8,2.36,3
151.68,3686.2,2.34,2.98
151.7,3686.6,2.31,2.95
151.85,3689,2.22,2.86
152,3690.9,2.49,3.13
152.03,3691.3,2.38,3.02
152.15,3692.7,2.29,2.93
152.28,3694.3,2.4,3.04
152.3,3694.6,2.44,3.08
152.6,3699.1,2.34,2.98
152.64,3699.8,2.4,3.04
152.76,3701.9,2.36,3
152.9,3704.5,2.51,3.15
152.93,3705.1,2.43,3.07
153.05,3707.7,2.39,3.03
153.2,3711,2.73,3.37
153.23,3711.7,2.69,3.33
153.35,3714.4,2.73,3.37
153.48,3717.4,2.55,3.19
153.5,3717.9,2.58,3.22
153.65,3721.3,2.33,2.97
155,3752.9,2.48,3.12
155.3,3760.2,2.34,2.98
155.6,3767.7,2.43,3.07
155.9,3775.1,2.37,3.01
156.2,3782.6,2.49,3.13
156.5,3790.1,2.66,3.3
156.8,3798,2.68,3.32
157.1,3805.9,2.5,3.14
157.4,3813.7,2.38,3.02
157.7,3821.6,2.3,2.94
158,3829.1,2.54,3.18
158.3,3839.1,2.43,3.07
158.6,3850.4,2.4,3.04
158.9,3861.1,2.48,3.12
159.18,3870.3,2.61,3.25
159.64,3885.8,2.47,3.11
159.76,3889.8,2.39,3.03
159.92,3895.3,2.39,3.03
160.07,3900.3,2.3,2.94
160.2,3904.7,2.3,2.94
160.34,3909.4,2.35,2.99
160.49,3914.5,2.41,3.05
160.64,3919.1,2.46,3.1
160.75,3922.5,2.38,3.02
160.75,3922.5,2.5,3.14
160.94,3928.3,2.13,2.77
160.94,3928.3,2.25,2.89
161.14,3934.5,2.27,2.91
161.26,3937.8,2.26,2.9
161.42,3941.8,2.76,3.4
161.57,3945.6,2.68,3.32
161.57,3945.6,2.77,3.41
161.72,3949.5,2.45,3.09
161.72,3949.5,2.63,3.27
161.87,3953.7,2.35,2.99
161.97,3956.5,2.28,2.92
162.14,3961.2,2.16,2.8
162.27,3964.9,2.32,2.96
162.44,3969.6,2.32,2.96
162.55,3972.7,2.53,3.17
162.55,3972.7,2.56,3.2
162.64,3975.2,2.51,3.15
162.76,3978.5,2.5,3.14
162.92,3983,2.28,2.92
163.07,3987.1,2.53,3.17
163.23,3992.7,2.58,3.22
163.36,3996.4,2.75,3.39
163.45,3998.9,2.72,3.36
163.64,4004.1,2.39,3.03
163.77,4007.2,2.41,3.05
163.94,4011,2.38,3.02
164.05,4013.5,2.14,2.78
164.16,4016,2.32,2.96
164.25,4018,2.34,2.98
164.38,4020.9,2.4,3.04
164.64,4026.8,2.26,2.9
164.72,4028.6,2.44,3.08
164.85,4032.3,2.44,3.08
165.02,4038.2,2.56,3.2
165.15,4042.6,2.51,3.15
165.28,4046.7,2.36,3
165.45,4050.8,2.26,2.9
165.56,4053.1,2.2,2.84
165.66,4055.3,2.31,2.95
165.75,4057.3,2.43,3.07
165.88,4060.1,2.47,3.11
166.14,4065.7,2.15,2.79
166.23,4067.7,2.23,2.87
166.35,4070.4,2.29,2.93
166.52,4074.3,2.44,3.08
166.65,4077.2,2.42,3.06
166.65,4077.2,2.41,3.05
166.78,4080.1,2.39,3.03
166.95,4084,2.49,3.13
167.16,4088.7,2.54,3.18
167.25,4090.7,2.53,3.17
167.38,4093.7,2.61,3.25
167.64,4099.5,2.32,2.96
167.73,4101.5,2.34,2.98
167.85,4104.2,2.45,3.09
167.96,4106.8,2.47,3.11
169.84,4151.4,2.8,3.44
169.84,4151.4,2.61,3.25
170.02,4155.7,2.53,3.17
170.12,4158.3,2.59,3.23
170.3,4162.9,2.62,3.26
170.6,4170.5,2.45,3.09
170.65,4171.8,2.5,3.14
170.71,4173.3,2.31,2.95
170.85,4176.9,2.27,2.91
171.01,4181,2.27,2.91
171.15,4184.6,2.33,2.97
171.3,4188.6,2.36,3
171.42,4192.4,2.43,3.07
171.65,4199.8,2.49,3.13
171.75,4203.4,2.61,3.25
171.9,4208.3,2.37,3.01
172.05,4213,2.35,2.99
172.05,4213,2.43,3.07
172.15,4216.2,2.45,3.09
172.21,4218,2.41,3.05
172.35,4222.4,2.42,3.06
172.51,4227.4,2.44,3.08
172.65,4231.7,2.36,3
172.8,4236.4,2.37,3.01
172.95,4241.5,2.32,2.96
173.09,4246.4,2.36,3
173.25,4252,2.37,3.01
173.25,4252,2.56,3.2
173.25,4252,2.45,3.09
173.45,4259.4,2.38,3.02
173.55,4262.4,2.4,3.04
173.65,4265.4,2.33,2.97
173.74,4268.1,2.38,3.02
173.84,4271.8,2.4,3.04
174,4277.9,2.39,3.03
174.14,4282.7,2.26,2.9
174.3,4286.7,2.38,3.02
174.48,4291.3,2.44,3.08
174.6,4294.4,2.48,3.12
174.74,4298.3,2.62,3.26
174.9,4302.8,2.36,3
175.04,4306.7,2.39,3.03
175.15,4309.8,2.3,2.94
175.24,4312.5,2.3,2.94
175.35,4316.5,2.34,2.98
175.5,4322.8,2.24,2.88
175.64,4328.7,2.31,2.95
175.8,4335.4,2.38,3.02
175.95,4341.7,2.46,3.1
176.1,4348.4,2.26,2.9
176.24,4354.8,2.32,2.96
176.4,4361.9,2.48,3.12
176.53,4367.6,2.48,3.12
176.75,4377.4,2.31,2.95
176.85,4381.8,2.32,2.96
177,4388,2.26,2.9
177,4388,2.32,2.96
177.17,4394.1,2.45,3.09
177.3,4398.7,2.43,3.07
177.45,4404.1,2.49,3.13
178.9,4452.9,2.34,2.98
179.03,4457.2,2.42,3.06
179.16,4461.5,2.36,3
179.34,4467.5,2.38,3.02
179.5,4472.8,2.33,2.97
179.65,4477.8,2.39,3.03
179.76,4481.5,2.41,3.05
179.95,4487.8,2.38,3.02
180.07,4491.8,2.32,2.96
180.07,4491.8,2.55,3.19
180.18,4495,2.38,3.02
180.3,4498.5,2.32,2.96
180.45,4502.8,2.44,3.08
180.6,4507.6,2.31,2.95
180.68,4510.1,2.31,2.95
180.89,4516.8,2.3,2.94
181.05,4521.8,2.33,2.97
181.2,4526.6,2.47,3.11
181.35,4531.2,2.42,3.06
181.5,4535.8,2.42,3.06
181.66,4541.2,2.27,2.91
181.8,4545.9,2.25,2.89
181.95,4551.4,2.17,2.81
182.1,4557.6,2.24,2.88
182.18,4560.8,2.17,2.81
182.39,4569.7,2.43,3.07
182.56,4578.3,2.66,3.3
182.7,4588.7,2.51,3.15
182.7,4588.7,2.53,3.17
182.8,4597.2,2.38,3.02
182.8,4597.2,2.49,3.13
183,4613,2.65,3.29
183.15,4626.2,2.32,2.96
183.25,4634.7,2.52,3.16
183.34,4642.3,2.36,3
183.45,4649.6,2.53,3.17
183.6,4657.9,2.37,3.01
183.71,4663.2,2.36,3
183.9,4671.3,2.2,2.84
184.02,4676.3,2.48,3.12
184.2,4681.9,2.49,3.13
184.35,4685.8,2.62,3.26
184.5,4689.7,2.66,3.3
184.65,4693.7,2.75,3.39
184.76,4696.6,2.57,3.21
184.8,4697.6,2.53,3.17
184.95,4701.6,2.52,3.16
185.1,4705.5,2.39,3.03
185.25,4709.5,2.43,3.07
185.4,4713.4,2.35,2.99
185.55,4717.5,2.42,3.06
185.7,4721.6,2.43,3.07
185.85,4725.7,2.42,3.06
186,4729.9,2.44,3.08
186,4729.9,2.57,3.21
186.15,4734,2.44,3.08
186.25,4736.7,2.5,3.14
186.3,4738.1,2.48,3.12
186.45,4742.3,2.51,3.15
186.6,4746.3,2.32,2.96
186.73,4749.8,2.44,3.08
186.9,4754.3,2.36,3
187.07,4758.8,2.42,3.06
187.27,4764.1,2.44,3.08
187.45,4770,2.59,3.23
187.62,4777.1,2.57,3.21
187.74,4782.2,2.48,3.12
188.5,4811.7,2.47,3.11
188.67,4817.8,2.39,3.03
188.78,4821.5,2.52,3.16
188.96,4827.6,2.39,3.03
189.1,4832.4,2.54,3.18
189.25,4837.5,2.45,3.09
189.39,4842.3,2.41,3.05
189.55,4847.7,2.68,3.32
189.73,4853.8,2.53,3.17
189.84,4857.5,2.47,3.11
189.91,4859.8,2.46,3.1
190.05,4862.9,2.49,3.13
190.21,4866,2.32,2.96
190.36,4868.6,2.32,2.96
190.5,4871.1,2.28,2.92
190.65,4873.8,2.4,3.04
190.82,4876.9,2.37,3.01
190.95,4879.4,2.44,3.08
191.13,4882.9,2.47,3.11
191.25,4885.3,2.62,3.26
191.35,4887.2,2.49,3.13
191.41,4888.4,2.66,3.3
191.55,4891.9,2.62,3.26
191.71,4897.1,2.57,3.21
191.86,4902,2.56,3.2
192,4906.5,2.51,3.15
192.15,4911.4,2.25,2.89
192.32,4916.9,2.35,2.99
192.45,4921.3,2.36,3
192.63,4928.6,2.29,2.93
192.75,4933.8,2.52,3.16
192.85,4938.2,2.52,3.16
192.96,4943.1,2.57,3.21
193.1,4950.5,2.53,3.17
193.25,4959.4,2.44,3.08
193.44,4970.6,2.45,3.09
193.59,4977.5,2.45,3.09
193.73,4986.1,2.46,3.1
193.87,4995.7,2.42,3.06
194.01,5004.8,2.68,3.32
194.14,5010.9,2.58,3.22
194.3,5018.8,2.4,3.04
194.4,5023.7,2.09,2.73
194.55,5030.9,2.31,2.95
194.7,5036.9,2.25,2.89
194.86,5042.5,2.58,3.22
195,5047.4,2.71,3.35
195.11,5051.2,2.51,3.15
195.31,5058.3,2.45,3.09
195.31,5058.3,2.61,3.25
195.54,5066.3,2.39,3.03
195.73,5073.1,2.45,3.09
195.9,5079.1,2.31,2.95
196.05,5083.9,2.41,3.05
196.2,5091.7,2.34,2.98
196.36,5099.3,2.54,3.18
196.5,5105,2.58,3.22
196.68,5112.4,2.29,2.93
196.81,5117.7,2.31,2.95
196.95,5124.6,2.12,2.76
197.1,5132.1,2.48,3.12
197.28,5139.5,2.43,3.07
197.35,5142.3,2.55,3.19
197.4,5144.3,2.43,3.07
197.49,5148,2.31,2.95
198.01,5170.4,2.52,3.16
198.15,5176.6,2.54,3.18
198.3,5183.3,2.48,3.12
198.46,5190.4,2.48,3.12
198.59,5196.2,2.52,3.16
198.75,5202,2.49,3.13
198.9,5205.5,2.57,3.21
199.05,5209,2.57,3.21
199.22,5213.1,2.48,3.12
199.35,5216.1,2.48,3.12
199.5,5219.6,2.37,3.01
199.65,5223.8,2.37,3.01
199.8,5228.6,2.41,3.05
199.95,5234.1,2.39,3.03
200.1,5239.3,2.27,2.91
200.27,5245.1,2.47,3.11
200.4,5249.6,2.67,3.31
200.55,5254.7,2.72,3.36
200.7,5259.3,2.62,3.26
200.85,5263.5,2.49,3.13
200.95,5266.3,2.63,3.27
201,5268,2.48,3.12
201.15,5273.2,2.55,3.19
201.3,5278.7,2.55,3.19
201.45,5284.3,2.61,3.25
201.6,5291.7,2.55,3.19
201.77,5301,2.38,3.02
201.9,5307.5,2.54,3.18
202.05,5313.5,2.24,2.88
202.16,5317.9,2.42,3.06
