label,mbsf,mcd,rmcd,age_ka,d18O,d13C,Reference
"138-849D-5H-6,66",50.16,58.3033,27.161,2032.85,3.92,0.21,"Mix et al., 1995"
"138-849D-5H-6,76",50.26,58.4033,27.2305,2035.81,3.99,-0.07,"Mix et al., 1995"
"138-849D-5H-6,86",50.36,58.5033,27.3,2038.51,3.99,-0.04,"Mix et al., 1995"
"138-849D-5H-6,96",50.46,58.6033,27.3555,2041.21,3.94,-0.18,"Mix et al., 1995"
"138-849D-5H-6,106",50.56,58.7033,27.4053,2043.92,3.89,-0.21,"Mix et al., 1995"
"138-849D-5H-6,116",50.66,58.8033,27.4552,2046.62,3.86,-0.03,"Mix et al., 1995"
"138-849D-5H-6,126",50.76,58.9033,27.505,2049.32,3.86,-0.01,"Mix et al., 1995"
"138-849D-5H-6,136",50.86,59.0033,27.5548,2052.03,3.77,-0.01,"Mix et al., 1995"
"138-849D-5H-6,146",50.96,59.1033,27.6047,2054.73,3.84,-0.41,"Mix et al., 1995"
"138-849D-5H-7,6",51.06,59.2033,27.6545,2057.44,3.74,-0.11,"Mix et al., 1995"
"138-849D-5H-7,16",51.16,59.3033,27.7043,2060.14,3.84,-0.45,"Mix et al., 1995"
"138-849D-5H-7,26",51.26,59.4033,27.7542,2062.84,3.96,-0.44,"Mix et al., 1995"
"138-849D-5H-7,36",51.36,59.5033,27.804,2065.55,3.78,-0.32,"Mix et al., 1995"
"138-849D-5H-7,46",51.46,59.6033,27.8538,2068.25,4.18,-0.6,"Mix et al., 1995"
"138-849C-6H-2,56",50.3,59.6768,27.8904,2070.24,4.23,-0.62,"Mix et al., 1995"
"138-849C-6H-2,66",50.4,59.7768,27.9403,2073.01,4.17,-0.64,"Mix et al., 1995"
"138-849C-6H-2,76",50.5,59.8768,27.9901,2075.82,4.22,-0.69,"Mix et al., 1995"
"138-849C-6H-2,86",50.6,59.9768,28.0399,2078.62,4.29,-0.51,"Mix et al., 1995"
"138-849C-6H-2,96",50.7,60.0768,28.0898,2081.43,4.2,-0.75,"Mix et al., 1995"
"138-849C-6H-2,106",50.8,60.1768,28.1396,2084.23,4.11,-0.54,"Mix et al., 1995"
"138-849C-6H-2,116",50.9,60.2768,28.1895,2087.04,4.09,-0.51,"Mix et al., 1995"
"138-849C-6H-2,126",51,60.3768,28.2404,2089.84,4.08,-0.41,"Mix et al., 1995"
"138-849C-6H-2,136",51.1,60.4768,28.2933,2092.65,3.82,-0.13,"Mix et al., 1995"
"138-849C-6H-2,146",51.2,60.5768,28.3461,2095.45,3.67,-0.21,"Mix et al., 1995"
"138-849C-6H-3,6",51.3,60.6768,28.3989,2098.26,3.25,-0.25,"Mix et al., 1995"
"138-849C-6H-3,16",51.4,60.7768,28.4517,2103.44,3.5,-0.16,"Mix et al., 1995"
"138-849D-6H-1,26",51.76,60.82,28.4745,2105.68,3.66,-0.27,"Mix et al., 1995"
"138-849D-6H-1,36",51.86,60.92,28.5274,2110.86,3.88,-0.04,"Mix et al., 1995"
"138-849D-6H-1,46",51.96,61.02,28.5802,2116.04,3.71,-0.05,"Mix et al., 1995"
"138-849D-6H-1,56",52.06,61.12,28.633,2121.22,3.595,-0.25,"Mix et al., 1995"
"138-849D-6H-1,66",52.16,61.22,28.6858,2126.4,3.77,-0.08,"Mix et al., 1995"
"138-849D-6H-1,76",52.26,61.32,28.7386,2131.59,3.605,0.04,"Mix et al., 1995"
"138-849D-6H-1,86",52.36,61.42,28.7915,2136.77,3.43,-0.14,"Mix et al., 1995"
"138-849D-6H-1,106",52.56,61.62,28.8801,2144.45,3.46,-0.25,"Mix et al., 1995"
"138-849D-6H-1,116",52.66,61.72,28.9156,2148.29,3.99,-0.43,"Mix et al., 1995"
"138-849D-6H-1,126",52.76,61.82,28.9511,2152.13,3.97,-0.48,"Mix et al., 1995"
"138-849D-6H-1,136",52.86,61.92,28.9867,2155.97,4.13,-0.59,"Mix et al., 1995"
"138-849D-6H-1,146",52.96,62.02,29.0222,2161.02,3.84,-0.36,"Mix et al., 1995"
"138-849D-6H-2,6",53.06,62.12,29.0577,2166.06,3.91,-0.3,"Mix et al., 1995"
"138-849D-6H-2,16",53.16,62.22,29.0933,2171.1,3.74,-0.15,"Mix et al., 1995"
"138-849D-6H-2,26",53.26,62.32,29.1288,2176.14,3.43,0.07,"Mix et al., 1995"
"138-849D-6H-2,36",53.36,62.42,29.1644,2181.19,3.47,-0.02,"Mix et al., 1995"
"138-849D-6H-2,46",53.46,62.52,29.1999,2186.23,3.34,0,"Mix et al., 1995"
"138-849D-6H-2,56",53.56,62.62,29.2354,2191.27,3.55,-0.06,"Mix et al., 1995"
"138-849D-6H-2,66",53.66,62.72,29.271,2196.31,3.66,-0.33,"Mix et al., 1995"
"138-849D-6H-2,76",53.76,62.82,29.3065,2201.35,3.75,-0.21,"Mix et al., 1995"
"138-849D-6H-2,86",53.86,62.92,29.3421,2204.91,3.65,-0.14,"Mix et al., 1995"
"138-849D-6H-2,96",53.96,63.02,29.3906,2208.47,3.56,-0.13,"Mix et al., 1995"
"138-849D-6H-2,106",54.06,63.12,29.487,2212.03,3.555,-0.08,"Mix et al., 1995"
"138-849D-6H-2,116",54.16,63.22,29.5833,2215.59,3.48,-0.16,"Mix et al., 1995"
"138-849D-6H-2,126",54.26,63.32,29.6797,2219.14,3.65,-0.14,"Mix et al., 1995"
"138-849D-6H-2,136",54.36,63.42,29.776,2222.7,3.45,-0.19,"Mix et al., 1995"
"138-849D-6H-2,146",54.46,63.52,29.8724,2226.26,3.3,-0.13,"Mix et al., 1995"
"138-849D-6H-3,6",54.56,63.62,29.9687,2229.82,3.46,-0.26,"Mix et al., 1995"
"138-849D-6H-3,16",54.66,63.72,30.0651,2233.37,3.55,-0.16,"Mix et al., 1995"
"138-849D-6H-3,26",54.76,63.82,30.1614,2236.93,3.5,-0.35,"Mix et al., 1995"
"138-849D-6H-3,36",54.86,63.92,30.2263,2240.49,3.98,-0.39,"Mix et al., 1995"
"138-849D-6H-3,46",54.96,64.02,30.2743,2243.72,3.86,-0.31,"Mix et al., 1995"
"138-849D-6H-3,56",55.06,64.12,30.3223,2246.96,3.79,-0.48,"Mix et al., 1995"
"138-849D-6H-3,66",55.16,64.22,30.3704,2250.2,3.28,0.13,"Mix et al., 1995"
"138-849D-6H-3,76",55.26,64.32,30.4184,2253.43,3.36,0,"Mix et al., 1995"
"138-849D-6H-3,96",55.46,64.52,30.5144,2259.9,3.01,0.05,"Mix et al., 1995"
"138-849D-6H-3,116",55.66,64.72,30.5957,2270.61,3.48,-0.12,"Mix et al., 1995"
"138-849D-6H-3,126",55.76,64.82,30.6359,2275.97,4.18,-0.2,"Mix et al., 1995"
"138-849D-6H-3,136",55.86,64.92,30.6761,2281.32,3.78,-0.24,"Mix et al., 1995"
"138-849D-6H-3,146",55.96,65.02,30.7179,2286.37,3.825,-0.59,"Mix et al., 1995"
"138-849D-6H-4,6",56.06,65.12,30.761,2291.42,3.83,-0.21,"Mix et al., 1995"
"138-849D-6H-4,16",56.16,65.22,30.8041,2296.47,3.53,0.05,"Mix et al., 1995"
"138-849D-6H-4,26",56.26,65.32,30.8472,2301.52,3.47,-0.03,"Mix et al., 1995"
"138-849D-6H-4,36",56.36,65.42,30.8903,2306.58,3.535,-0.04,"Mix et al., 1995"
"138-849D-6H-4,46",56.46,65.52,30.9334,2311.63,3.66,-0.16,"Mix et al., 1995"
"138-849D-6H-4,56",56.56,65.62,30.9765,2316.68,3.72,-0.19,"Mix et al., 1995"
"138-849D-6H-4,66",56.66,65.72,31.0196,2321.73,3.69,-0.11,"Mix et al., 1995"
"138-849D-6H-4,76",56.76,65.82,31.0627,2321.73,3.85,-0.05,"Mix et al., 1995"
"138-849D-6H-4,86",56.86,65.92,31.1037,2326.14,3.59,-0.12,"Mix et al., 1995"
"138-849D-6H-4,96",56.96,66.02,31.1386,2330.55,3.65,-0.3,"Mix et al., 1995"
"138-849D-6H-4,106",57.06,66.12,31.1736,2334.96,3.7,-0.11,"Mix et al., 1995"
"138-849D-6H-4,116",57.16,66.22,31.2085,2339.37,3.42,-0.35,"Mix et al., 1995"
"138-849D-6H-4,126",57.26,66.32,31.2434,2348.18,3.35,0,"Mix et al., 1995"
"138-849D-6H-4,136",57.36,66.42,31.2783,2352.59,3.335,0.03,"Mix et al., 1995"
"138-849D-6H-4,146",57.46,66.52,31.3132,2357,3.47,-0.06,"Mix et al., 1995"
"138-849D-6H-5,6",57.56,66.62,31.3481,2361.41,3.79,-0.17,"Mix et al., 1995"
"138-849D-6H-5,16",57.66,66.72,31.383,2365.82,3.89,-0.16,"Mix et al., 1995"
"138-849D-6H-5,26",57.76,66.82,31.4179,2369.2,3.95,-0.42,"Mix et al., 1995"
"138-849D-6H-5,36",57.86,66.92,31.4528,2372.58,3.8,-0.02,"Mix et al., 1995"
"138-849D-6H-5,46",57.96,67.02,31.4877,2375.96,3.46,0.17,"Mix et al., 1995"
"138-849D-6H-5,56",58.06,67.12,31.5226,2379.33,3.59,0.21,"Mix et al., 1995"
"138-849D-6H-5,66",58.16,67.22,31.5576,2382.71,3.41,0.23,"Mix et al., 1995"
"138-849D-6H-5,76",58.26,67.32,31.5925,2386.09,3.41,0.26,"Mix et al., 1995"
"138-849D-6H-5,86",58.36,67.42,31.6274,2389.47,3.46,0.27,"Mix et al., 1995"
"138-849D-6H-5,96",58.46,67.52,31.6623,2392.84,3.57,0.22,"Mix et al., 1995"
"138-849D-6H-5,106",58.56,67.62,31.6972,2396.22,3.63,0.14,"Mix et al., 1995"
"138-849D-6H-5,116",58.66,67.72,31.7321,2399.6,3.39,0.11,"Mix et al., 1995"
"138-849D-6H-5,126",58.76,67.82,31.767,2402.98,3.68,0.28,"Mix et al., 1995"
"138-849D-6H-5,136",58.86,67.92,31.8019,2405.58,3.68,0.15,"Mix et al., 1995"
"138-849D-6H-5,146",58.96,68.02,31.8368,2408.19,3.46,0.28,"Mix et al., 1995"
"138-849D-6H-6,6",59.06,68.12,31.8717,2410.79,3.63,0.35,"Mix et al., 1995"
"138-849D-6H-6,16",59.16,68.22,31.9066,2413.4,3.47,0.15,"Mix et al., 1995"
"138-849D-6H-6,26",59.26,68.32,31.9415,2416,3.37,0.17,"Mix et al., 1995"
"138-849D-6H-6,36",59.36,68.42,31.9765,2418.61,3.61,0.21,"Mix et al., 1995"
"138-849D-6H-6,46",59.46,68.52,32.0114,2421.21,3.75,-0.08,"Mix et al., 1995"
"138-849D-6H-6,56",59.56,68.62,32.0472,2423.82,3.6,-0.1,"Mix et al., 1995"
"138-849D-6H-6,66",59.66,68.72,32.1077,2426.43,4.1,-0.28,"Mix et al., 1995"
"138-849D-6H-6,76",59.76,68.82,32.1683,2429.03,3.79,-0.28,"Mix et al., 1995"
"138-849D-6H-6,86",59.86,68.92,32.2288,2431.64,4.07,-0.24,"Mix et al., 1995"
"138-849D-6H-6,96",59.96,69.02,32.2893,2434.24,4.02,-0.22,"Mix et al., 1995"
"138-849D-6H-6,106",60.06,69.12,32.3499,2436.85,4.03,-0.15,"Mix et al., 1995"
"138-849D-6H-6,116",60.16,69.22,32.4104,2441.96,4.02,-0.33,"Mix et al., 1995"
"138-849D-6H-6,126",60.26,69.32,32.4707,2447.08,4,-0.23,"Mix et al., 1995"
"138-849D-6H-6,136",60.36,69.42,32.5187,2452.19,3.58,-0.02,"Mix et al., 1995"
"138-849D-6H-6,146",60.46,69.52,32.5666,2457.31,3.43,0.17,"Mix et al., 1995"
"138-849D-6H-7,6",60.56,69.62,32.6146,2462.42,3.36,0.25,"Mix et al., 1995"
"138-849D-6H-7,16",60.66,69.72,32.6625,2467.54,3.45,0.21,"Mix et al., 1995"
"138-849C-7H-1,116",59.16,69.8927,32.7454,2476.37,3.42,-0.15,"Mix et al., 1995"
"138-849C-7H-1,126",59.26,69.9927,32.8037,2481.49,3.72,-0.3,"Mix et al., 1995"
"138-849C-7H-1,136",59.36,70.0927,32.8621,2486.6,3.96,-0.48,"Mix et al., 1995"
"138-849C-7H-1,146",59.46,70.1927,32.9205,2491.41,3.89,-0.38,"Mix et al., 1995"
"138-849D-7H-1,36",61.36,70.2904,32.9775,2496.12,3.9,-0.59,"Mix et al., 1995"
"138-849D-7H-1,46",61.46,70.3904,33.0402,2500.93,3.76,-0.52,"Mix et al., 1995"
"138-849D-7H-1,56",61.56,70.4904,33.1145,2505.74,3.54,-0.4,"Mix et al., 1995"
"138-849D-7H-1,67",61.67,70.6004,33.1961,2511.04,4.22,-0.85,"Mix et al., 1995"
"138-849D-7H-1,76",61.76,70.6904,33.2629,2515.37,3.84,-0.45,"Mix et al., 1995"
"138-849D-7H-1,86",61.86,70.7904,33.3372,2520.18,4.17,-0.59,"Mix et al., 1995"
"138-849D-7H-1,96",61.96,70.8904,33.4114,2523.81,3.795,-0.53,"Mix et al., 1995"
"138-849D-7H-1,107",62.07,71.0004,33.4931,2527.8,3.89,-0.22,"Mix et al., 1995"
"138-849D-7H-1,117",62.17,71.1004,33.5795,2531.43,3.74,-0.33,"Mix et al., 1995"
"138-849D-7H-1,127",62.27,71.2004,33.6729,2535.06,3.45,0.07,"Mix et al., 1995"
"138-849D-7H-1,136",62.36,71.2904,33.7569,2538.33,3.26,-0.01,"Mix et al., 1995"
"138-849D-7H-1,146",62.46,71.3904,33.848,2541.96,3.24,-0.04,"Mix et al., 1995"
"138-849D-7H-2,6",62.56,71.4904,33.9003,2545.59,3.22,0.08,"Mix et al., 1995"
"138-849D-7H-2,16",62.66,71.5904,33.9526,2549.22,3.43,-0.01,"Mix et al., 1995"
"138-849D-7H-2,36",62.86,71.7904,34.0573,2556.48,3.02,-0.03,"Mix et al., 1995"
"138-849D-7H-2,46",62.96,71.8904,34.1096,2560.11,3.7,0.01,"Mix et al., 1995"
"138-849D-7H-2,66",63.16,72.0904,34.2142,2568.82,3.62,-0.08,"Mix et al., 1995"
"138-849D-7H-2,76",63.26,72.1904,34.2666,2573.18,3.51,0.01,"Mix et al., 1995"
"138-849D-7H-2,86",63.36,72.2904,34.3189,2577.53,3.39,0.21,"Mix et al., 1995"
"138-849D-7H-2,116",63.66,72.5904,34.4801,2590.6,3.49,-0.14,"Mix et al., 1995"
"138-849D-7H-2,126",63.76,72.6904,34.5379,2594.96,3.82,-0.24,"Mix et al., 1995"
"138-849D-7H-2,136",63.86,72.7904,34.5957,2599.31,3.97,-0.38,"Mix et al., 1995"
"138-849D-7H-2,146",63.96,72.8904,34.6535,2603.67,4.03,-0.31,"Mix et al., 1995"
"138-849D-7H-3,6",64.06,72.9904,34.7112,2608.59,3.74,-0.19,"Mix et al., 1995"
"138-849D-7H-3,16",64.16,73.0904,34.769,2613.52,3.58,0.14,"Mix et al., 1995"
"138-849D-7H-3,26",64.26,73.1904,34.8268,2618.44,3.58,0.14,"Mix et al., 1995"
"138-849D-7H-3,36",64.36,73.2904,34.8846,2623.37,3.5,0.1,"Mix et al., 1995"
"138-849D-7H-3,46",64.46,73.3904,34.9424,2628.3,3.52,0.16,"Mix et al., 1995"
"138-849D-7H-3,56",64.56,73.4904,35.0002,2633.22,3.32,0.03,"Mix et al., 1995"
"138-849D-7H-3,66",64.66,73.5904,35.0543,2638.15,3.54,-0.16,"Mix et al., 1995"
"138-849D-7H-3,76",64.76,73.6904,35.1076,2643.07,3.62,-0.06,"Mix et al., 1995"
"138-849D-7H-3,86",64.86,73.7904,35.1609,2648,3.77,-0.04,"Mix et al., 1995"
"138-849D-7H-3,96",64.96,73.8904,35.2143,2651.14,3.655,-0.3,"Mix et al., 1995"
"138-849D-7H-3,106",65.06,73.9904,35.2676,2654.28,3.63,-0.08,"Mix et al., 1995"
"138-849D-7H-3,116",65.16,74.0904,35.321,2657.42,3.17,-0.15,"Mix et al., 1995"
"138-849D-7H-3,126",65.26,74.1904,35.372,2660.56,3.32,0.05,"Mix et al., 1995"
"138-849D-7H-3,136",65.36,74.2904,35.4169,2663.7,3.29,0.11,"Mix et al., 1995"
"138-849D-7H-3,146",65.46,74.3904,35.4618,2666.84,3.18,0.2,"Mix et al., 1995"
"138-849D-7H-4,6",65.56,74.4904,35.5067,2669.98,3.22,0.3,"Mix et al., 1995"
"138-849D-7H-4,16",65.66,74.5904,35.5516,2673.12,3.37,0.1,"Mix et al., 1995"
"138-849D-7H-4,26",65.76,74.6904,35.5965,2676.26,3.48,0.09,"Mix et al., 1995"
"138-849D-7H-4,36",65.86,74.7904,35.6414,2679.4,3.46,-0.07,"Mix et al., 1995"
"138-849D-7H-4,46",65.96,74.8904,35.6863,2682.54,3.32,-0.17,"Mix et al., 1995"
"138-849D-7H-4,56",66.06,74.9904,35.7312,2685.68,3.79,-0.21,"Mix et al., 1995"
"138-849D-7H-4,66",66.16,75.0904,35.7761,2688.82,3.52,-0.32,"Mix et al., 1995"
"138-849D-7H-4,76",66.26,75.1904,35.821,2691.96,3.68,-0.55,"Mix et al., 1995"
"138-849D-7H-4,86",66.36,75.2904,35.8659,2695.1,3.58,-0.13,"Mix et al., 1995"
"138-849D-7H-4,96",66.46,75.3904,35.9252,2698.24,3.58,-0.11,"Mix et al., 1995"
"138-849D-7H-4,106",66.56,75.4904,35.995,2701.38,3.69,-0.29,"Mix et al., 1995"
"138-849D-7H-4,116",66.66,75.5904,36.0649,2704.51,3.69,-0.52,"Mix et al., 1995"
"138-849D-7H-4,126",66.76,75.6904,36.1347,2707.65,3.75,-0.36,"Mix et al., 1995"
"138-849D-7H-4,146",66.96,75.8904,36.2744,2713.93,3.7,-0.29,"Mix et al., 1995"
"138-849D-7H-5,6",67.06,75.9904,36.3443,2717.07,3.82,-0.33,"Mix et al., 1995"
"138-849D-7H-5,16",67.16,76.0904,36.4141,2720.21,3.73,-0.47,"Mix et al., 1995"
"138-849D-7H-5,26",67.26,76.1904,36.484,2723.35,3.77,-0.31,"Mix et al., 1995"
"138-849D-7H-5,36",67.36,76.2904,36.5555,2728.76,3.23,0.06,"Mix et al., 1995"
"138-849D-7H-5,46",67.46,76.3904,36.627,2734.16,3.07,-0.05,"Mix et al., 1995"
"138-849D-7H-5,56",67.56,76.4904,36.6985,2739.56,3.16,0.02,"Mix et al., 1995"
"138-849D-7H-5,66",67.66,76.5904,36.77,2744.97,3.46,-0.03,"Mix et al., 1995"
"138-849D-7H-5,76",67.76,76.6904,36.8415,2750.37,3.22,0.01,"Mix et al., 1995"
"138-849D-7H-5,86",67.86,76.7904,36.913,2755.77,3.21,0.01,"Mix et al., 1995"
"138-849D-7H-5,96",67.96,76.8904,36.9845,2761.18,3.24,-0.05,"Mix et al., 1995"
"138-849D-7H-5,106",68.06,76.9904,37.056,2766.58,3.41,-0.02,"Mix et al., 1995"
"138-849D-7H-5,116",68.16,77.0904,37.1218,2769.82,2.97,-0.09,"Mix et al., 1995"
"138-849D-7H-5,136",68.36,77.2904,37.2181,2776.3,3.19,0.02,"Mix et al., 1995"
"138-849D-7H-5,146",68.46,77.3904,37.2662,2779.53,3.13,-0.19,"Mix et al., 1995"
"138-849D-7H-6,6",68.56,77.4904,37.3143,2782.77,3.11,0.13,"Mix et al., 1995"
"138-849D-7H-6,16",68.66,77.5904,37.3625,2786.01,3.19,0.15,"Mix et al., 1995"
"138-849D-7H-6,26",68.76,77.6904,37.4106,2789.25,3.28,0.3,"Mix et al., 1995"
"138-849D-7H-6,36",68.86,77.7904,37.4554,2792.49,3.32,0.35,"Mix et al., 1995"
"138-849D-7H-6,46",68.96,77.8904,37.4968,2795.73,3.5,0.09,"Mix et al., 1995"
"138-849D-7H-6,56",69.06,77.9904,37.5382,2798.97,3.21,-0.27,"Mix et al., 1995"
"138-849D-7H-6,66",69.16,78.0904,37.5796,2802.2,3.88,-0.23,"Mix et al., 1995"
"138-849D-7H-6,76",69.26,78.1904,37.621,2805.44,3.73,-0.02,"Mix et al., 1995"
"138-849D-7H-6,86",69.36,78.2904,37.677,2809.2,3.81,-0.11,"Mix et al., 1995"
"138-849D-7H-6,106",69.56,78.4904,37.8039,2816.71,3.48,0.08,"Mix et al., 1995"
"138-849D-7H-6,116",69.66,78.5904,37.8673,2820.46,3.22,0.24,"Mix et al., 1995"
"138-849D-7H-6,126",69.76,78.6904,37.9307,2824.21,3.18,0.16,"Mix et al., 1995"
"138-849D-7H-6,136",69.86,78.7904,37.9845,2827.97,3.42,0.23,"Mix et al., 1995"
"138-849D-7H-6,146",69.96,78.8904,38.0301,2831.72,3.33,0.14,"Mix et al., 1995"
"138-849D-7H-7,6",70.06,78.9904,38.0757,2835.48,3.28,0.04,"Mix et al., 1995"
"138-849D-7H-7,16",70.16,79.0904,38.1213,2839.23,3.64,0.09,"Mix et al., 1995"
"138-849D-7H-7,26",70.26,79.1904,38.1668,2842.98,3.59,0.04,"Mix et al., 1995"
"138-849D-7H-7,36",70.36,79.2904,38.2124,2846.74,3.38,-0.05,"Mix et al., 1995"
"138-849D-7H-7,46",70.46,79.3904,38.258,2850.49,3.37,-0.31,"Mix et al., 1995"
"138-849D-7H-7,56",70.56,79.4904,38.3036,2854.25,3.48,0.07,"Mix et al., 1995"
"138-849D-7H-7,66",70.66,79.5904,38.3492,2858,3.49,0.01,"Mix et al., 1995"
"138-849C-8H-1,76",68.26,79.8261,38.4566,2866.85,3.31,0.12,"Mix et al., 1995"
"138-849C-8H-1,86",68.36,79.9261,38.5022,2870.6,3.29,-0.11,"Mix et al., 1995"
"138-849C-8H-1,96",68.46,80.0261,38.5478,2874.36,3.22,0.05,"Mix et al., 1995"
"138-849C-8H-1,106",68.56,80.1261,38.5933,2878.11,3.3,-0.03,"Mix et al., 1995"
"138-849C-8H-1,116",68.66,80.2261,38.6401,2881.86,3.54,-0.04,"Mix et al., 1995"
"138-849C-8H-1,126",68.76,80.3261,38.6999,2885.62,3.67,-0.07,"Mix et al., 1995"
"138-849C-8H-1,146",68.96,80.5261,38.8195,2892.84,3.49,0.12,"Mix et al., 1995"
"138-849C-8H-2,6",69.06,80.6261,38.8793,2896.45,3.41,-0.1,"Mix et al., 1995"
"138-849C-8H-2,16",69.16,80.7261,38.9391,2900.06,3.28,-0.2,"Mix et al., 1995"
"138-849C-8H-2,26",69.26,80.8261,38.9989,2903.67,3.22,-0.13,"Mix et al., 1995"
"138-849C-8H-2,36",69.36,80.9261,39.0587,2907.28,3.54,0.01,"Mix et al., 1995"
"138-849C-8H-2,46",69.46,81.0261,39.1185,2910.9,3.45,0.04,"Mix et al., 1995"
"138-849C-8H-2,56",69.56,81.1261,39.1793,2914.51,3.52,-0.47,"Mix et al., 1995"
"138-849C-8H-2,66",69.66,81.2261,39.2424,2918.12,3.51,-0.29,"Mix et al., 1995"
"138-849C-8H-2,76",69.76,81.3261,39.3055,2921.73,3.57,-0.42,"Mix et al., 1995"
"138-849C-8H-2,86",69.86,81.4261,39.3686,2925.34,3.63,-0.32,"Mix et al., 1995"
"138-849C-8H-2,96",69.96,81.5261,39.4316,2928.95,3.61,-0.32,"Mix et al., 1995"
"138-849D-8H-1,36",70.86,81.741,39.5524,2936.71,3.71,-0.33,"Mix et al., 1995"
"138-849D-8H-1,46",70.96,81.841,39.6084,2940.32,3.31,-0.46,"Mix et al., 1995"
"138-849D-8H-1,56",71.06,81.941,39.6644,2943.93,3.19,-0.08,"Mix et al., 1995"
"138-849D-8H-1,66",71.16,82.041,39.7204,2947.55,3.06,-0.04,"Mix et al., 1995"
"138-849D-8H-1,76",71.26,82.141,39.7813,2951.47,3.06,-0.06,"Mix et al., 1995"
"138-849D-8H-1,86",71.36,82.241,39.8542,2955.39,3.31,-0.05,"Mix et al., 1995"
"138-849D-8H-1,96",71.46,82.341,39.927,2959.32,3.29,0.19,"Mix et al., 1995"
"138-849D-8H-1,106",71.56,82.441,39.9999,2963.24,3.42,-0.04,"Mix et al., 1995"
"138-849D-8H-1,116",71.66,82.541,40.0727,2967.16,3.56,-0.21,"Mix et al., 1995"
"138-849D-8H-1,126",71.76,82.641,40.1289,2971.09,3.63,-0.17,"Mix et al., 1995"
"138-849D-8H-1,136",71.86,82.741,40.1817,2975.01,3.63,-0.25,"Mix et al., 1995"
"138-849D-8H-1,146",71.96,82.841,40.2346,2978.94,3.49,0.04,"Mix et al., 1995"
"138-849D-8H-2,6",72.06,82.941,40.2874,2982.86,3.26,0.14,"Mix et al., 1995"
"138-849D-8H-2,16",72.16,83.041,40.3402,2986.78,3.32,-0.06,"Mix et al., 1995"
"138-849D-8H-2,26",72.26,83.141,40.3931,2990.71,3.41,-0.1,"Mix et al., 1995"
"138-849D-8H-2,36",72.36,83.241,40.4459,2994.68,3.45,-0.24,"Mix et al., 1995"
"138-849D-8H-2,46",72.46,83.341,40.4987,2998.56,3.44,-0.17,"Mix et al., 1995"
"138-849D-8H-2,56",72.56,83.441,40.5538,3002.5,3.33,-0.29,"Mix et al., 1995"
"138-849D-8H-2,66",72.66,83.541,40.6137,3006.4,3.53,-0.13,"Mix et al., 1995"
"138-849D-8H-2,76",72.76,83.641,40.6736,3010.33,3.42,-0.34,"Mix et al., 1995"
"138-849D-8H-2,86",72.86,83.741,40.7336,3014.9,3.52,-0.47,"Mix et al., 1995"
"138-849D-8H-2,96",72.96,83.841,40.7935,3019.47,3.48,-0.42,"Mix et al., 1995"
"138-849D-8H-2,105",73.05,83.931,40.8474,3023.58,3.32,-0.36,"Mix et al., 1995"
"138-849D-8H-2,116",73.16,84.041,40.9133,3028.6,3.15,-0.24,"Mix et al., 1995"
"138-849D-8H-2,136",73.36,84.241,41.0338,3037.74,3.09,-0.31,"Mix et al., 1995"
"138-849D-8H-2,146",73.46,84.341,41.0941,3042.31,3.2,-0.4,"Mix et al., 1995"
"138-849D-8H-3,6",73.56,84.441,41.1545,3046.88,3.31,-0.27,"Mix et al., 1995"
"138-849D-8H-3,16",73.66,84.541,41.2149,3051.45,3.51,-0.35,"Mix et al., 1995"
"138-849D-8H-3,26",73.76,84.641,41.2753,3055.23,3.37,-0.29,"Mix et al., 1995"
"138-849D-8H-3,36",73.86,84.741,41.3375,3059.02,3.14,-0.04,"Mix et al., 1995"
"138-849D-8H-3,46",73.96,84.841,41.4021,3062.8,2.91,-0.35,"Mix et al., 1995"
"138-849D-8H-3,56",74.06,84.941,41.4668,3066.59,3.21,-0.01,"Mix et al., 1995"
"138-849D-8H-3,66",74.16,85.041,41.5314,3070.38,3.16,-0.02,"Mix et al., 1995"
"138-849D-8H-3,76",74.26,85.141,41.6083,3074.16,3.2,-0.07,"Mix et al., 1995"
"138-849D-8H-3,86",74.36,85.241,41.686,3077.95,3.08,0.08,"Mix et al., 1995"
"138-849D-8H-3,96",74.46,85.341,41.7391,3081.73,3.06,-0.09,"Mix et al., 1995"
"138-849D-8H-3,106",74.56,85.441,41.7812,3085.52,2.99,-0.06,"Mix et al., 1995"
"138-849D-8H-3,116",74.66,85.541,41.8233,3089.3,3.13,0,"Mix et al., 1995"
"138-849D-8H-3,126",74.76,85.641,41.8654,3093.09,3.21,0.03,"Mix et al., 1995"
"138-849D-8H-3,136",74.86,85.741,41.9075,3096.87,3.29,0.16,"Mix et al., 1995"
"138-849D-8H-3,146",74.96,85.841,41.9496,3100.66,3.15,-0.21,"Mix et al., 1995"
"138-849D-8H-4,6",75.06,85.941,41.9947,3104.44,3.07,-0.36,"Mix et al., 1995"
"138-849D-8H-4,16",75.16,86.041,42.0409,3108.23,3.13,-0.3,"Mix et al., 1995"
"138-849D-8H-4,26",75.26,86.141,42.0871,3112.01,3.02,-0.47,"Mix et al., 1995"
"138-849D-8H-4,36",75.36,86.241,42.1333,3115.8,3.22,-0.37,"Mix et al., 1995"
"138-849D-8H-4,46",75.46,86.341,42.1795,3119.58,3.25,-0.35,"Mix et al., 1995"
"138-849D-8H-4,56",75.56,86.441,42.2256,3123.37,3.29,-0.51,"Mix et al., 1995"
