depth,age_ka,d18O
109.76,1757.42,4.09
109.9,1758.99,3.77
110.06,1760.81,3.48
110.21,1762.52,3.81
110.36,1764.22,3.55
110.51,1765.93,3.8
110.66,1767.63,3.8
110.81,1769.34,3.71
110.96,1771.04,3.67
111.11,1772.75,3.64
111.26,1774.45,3.62
111.42,1776.27,3.68
111.56,1777.86,3.6
111.71,1779.56,3.55
111.87,1781.37,3.51
112.01,1782.97,3.47
112.1,1784.01,3.83
112.16,1784.73,3.91
112.25,1785.83,3.23
112.31,1786.55,4.14
112.4,1787.65,3.72
112.55,1789.47,4.28
112.7,1791.29,4.26
112.85,1793.11,3.92
113,1794.93,4.07
113.15,1796.74,3.66
113.3,1798.55,3.7
113.45,1800.37,4.05
113.6,1802.19,3.95
113.75,1804.09,3.82
113.9,1806.36,3.79
114.05,1808.64,3.72
114.2,1810.91,3.78
114.35,1813.18,3.98
114.5,1815.34,3.42
114.65,1817.17,4.14
114.8,1818.99,3.94
114.95,1820.8,3.51
115.1,1822.62,3.98
115.25,1824.43,3.69
115.4,1826.25,4.44
115.55,1828.07,3.62
115.7,1829.89,3.52
115.85,1831.71,3.55
116,1833.53,3.53
116.15,1835.35,3.52
116.3,1837.17,3.49
116.45,1838.98,3.47
116.6,1840.8,3.46
116.75,1842.62,3.44
116.9,1844.44,3.43
117.05,1846.26,3.64
117.2,1848.07,3.51
117.35,1849.89,3.76
117.5,1851.71,3.69
117.8,1855.34,3.93
117.95,1857.17,3.76
118.1,1858.99,3.86
118.25,1860.81,4.23
118.4,1862.62,4.43
118.55,1864.44,4.54
118.7,1866.26,4.34
118.85,1868.07,4.04
119,1869.89,4.02
119.15,1871.71,4.31
119.25,1872.92,3.82
119.3,1873.52,4
119.45,1875.34,3.81
119.65,1877.77,3.69
119.85,1880.2,3.57
120.05,1882.62,3.52
120.25,1885.04,3.51
120.45,1887.47,3.51
120.65,1889.89,3.47
120.85,1892.32,3.53
121.03,1894.5,3.49
121.2,1896.56,3.55
121.4,1898.98,3.72
121.4,1898.98,3.66
121.6,1901.4,4.13
121.8,1903.83,4.11
122,1906.26,3.95
122.2,1908.69,3.9
122.4,1911.11,4.12
122.6,1913.53,3.8
122.8,1915.95,3.79
123,1918.38,3.88
123.2,1920.8,3.63
123.4,1923.23,3.51
123.6,1925.65,3.4
123.8,1928.07,3.42
124,1930.72,3.21
124.2,1933.75,3.42
124.4,1936.78,3.41
124.4,1936.78,3.45
124.6,1940.18,3.6
124.8,1943.96,4.12
125,1947.76,4.1
125.2,1951.55,3.77
125.21,1951.74,3.78
125.42,1955.71,3.99
125.61,1959.31,3.71
125.81,1963.1,3.91
126.01,1966.88,3.72
126.22,1970.85,3.57
126.62,1977.9,3.39
126.62,1977.9,3.44
126.81,1980.78,3.4
127.03,1984.11,3.43
128.01,1999.78,3.69
128.21,2003.57,3.82
128.42,2007.54,4
128.61,2011.14,3.88
128.81,2014.92,3.82
129.01,2018.71,3.79
129.21,2022.49,3.44
129.41,2026.28,3.52
129.63,2030.45,3.49
129.81,2033.87,3.58
130.04,2038.22,3.64
130.21,2041.44,3.7
130.41,2045.23,3.81
130.41,2045.23,3.69
130.41,2045.23,3.71
130.61,2049.02,3.82
130.61,2049.02,3.73
130.8,2052.62,3.89
130.8,2052.62,3.71
131.01,2056.6,3.79
131.39,2062.64,3.97
131.61,2065.62,4.5
131.81,2068.05,4.49
131.81,2068.05,4.4
131.92,2069.38,4.42
131.92,2069.38,4.51
131.92,2069.38,4.47
132.12,2071.65,4.17
132.3,2073.7,3.97
132.47,2075.63,4.29
132.87,2080.17,4.03
133.07,2082.22,3.74
