depth,age_ka,mcd,CaCO3,MAR,label
33.42,738,37.2,7.8,0.17,"145-882A-4H-4,112-113"
33.72,746.3,37.5,9,0.18,"145-882A-4H-4,140-144"
34.01,754.1,37.78,0.2,0,"145-882A-4H-5,19-23"
34.32,762,38.08,0.1,0,"145-882A-4H-5,50-54"
34.62,769.3,38.38,0.1,0,"145-882A-4H-5,80-84"
34.86,775,38.61,0.1,0,"145-882A-4H-5,104-108"
34.92,776.3,38.67,0,0,"145-882A-4H-5,112-113"
35.22,781.5,38.97,0.5,0.02,"145-882A-4H-5,140-144"
35.49,786,39.23,32.5,0.56,"145-882A-4H-6,17-21"
35.82,800.2,39.56,0.2,0,"145-882A-4H-6,50-54"
36.12,812.7,39.85,0.1,0,"145-882A-4H-6,80-84"
36.36,818,40.09,0.1,0,"145-882A-4H-6,104-108"
36.43,819.1,40.15,0,0,"145-882A-4H-6,112-113"
36.72,824.6,40.44,3.1,0.06,"145-882A-4H-6,140-144"
37.02,833.5,40.73,0.1,0,"145-882A-4H-7,20-24"
37.35,838.9,40.9,0,0,"145-882B-5H-3,145-148"
37.9,847.2,41.44,0.1,0.01,"145-882B-5H-4,50-53"
38.15,850.1,41.69,0.1,0,"145-882B-5H-4,75-78"
38.5,855,42.04,0.3,0.01,"145-882B-5H-4,110-113"
38.75,859.8,42.28,0.1,0,"145-882B-5H-4,135-138"
39,864.8,42.53,0.2,0.01,"145-882B-5H-5,10-13"
39.3,870.8,42.83,0.1,0,"145-882B-5H-5,40-43"
39.55,875.1,43.07,0.1,0,"145-882B-5H-5,65-68"
39.62,879.9,43.44,0.1,0.01,"145-882A-5H-2,80-84"
39.86,883.1,43.68,3.8,0.11,"145-882A-5H-2,104-108"
39.93,884,43.75,1.3,0.04,"145-882A-5H-2,113-114"
40.22,890.2,44.04,3.4,0.09,"145-882A-5H-2,140-144"
40.52,896.4,44.34,0.1,0,"145-882A-5H-3,20-24"
40.83,902.4,44.65,0.1,0,"145-882A-5H-3,51-55"
41.12,908.1,44.94,1.7,0.03,"145-882A-5H-3,80-84"
41.36,912.8,45.18,0.1,0,"145-882A-5H-3,104-108"
41.42,914,45.24,0,0,"145-882A-5H-3,112-113"
41.72,919.9,45.54,0.3,0.01,"145-882A-5H-3,140-144"
42.02,925.8,45.84,0.1,0,"145-882A-5H-4,20-24"
42.33,931.7,46.15,0.1,0,"145-882A-5H-4,51-55"
42.62,937.2,46.44,27.4,0.94,"145-882A-5H-4,80-84"
42.86,941.8,46.68,0.1,0,"145-882A-5H-4,104-108"
42.92,942.9,46.74,0.5,0.03,"145-882A-5H-4,112-113"
43.51,950.7,47.33,0.4,0.01,"145-882A-5H-5,19-23"
43.83,954.4,47.65,0.2,0.01,"145-882A-5H-5,51-55"
44.12,958.8,47.94,0.1,0,"145-882A-5H-5,80-84"
44.36,964.8,48.18,0.1,0,"145-882A-5H-5,104-108"
44.42,966.4,48.24,0,0,"145-882A-5H-5,112-113"
44.72,973.9,48.54,0.1,0,"145-882A-5H-5,140-144"
45.01,981.7,48.83,0.3,0,"145-882A-5H-6,19-23"
45.05,997.9,49.38,0.2,0,"145-882B-6H-2,115-117"
45.3,1003.8,49.62,2.6,0.06,"145-882B-6H-2,140-143"
45.43,994.1,49.25,0.1,0,"145-882A-5H-7,19-23"
45.6,1010.3,49.91,0.1,0,"145-882B-6H-3,20-22"
45.9,1017,50.21,0.1,0,"145-882B-6H-3,50-52"
46.15,1022.3,50.45,0.5,0.01,"145-882B-6H-3,75-77"
46.45,1028.8,50.74,0.1,0,"145-882B-6H-3,105-107"
46.7,1034.4,50.99,0.1,0,"145-882B-6H-3,130-132"
47,1040.9,51.28,0,0,"145-882B-6H-4,10-12"
47.25,1046.2,51.52,0.2,0,"145-882B-6H-4,35-37"
47.33,1060.2,52.47,0.1,0,"145-882A-6H-1,51-55"
47.55,1051.6,51.81,0.1,0,"145-882B-6H-4,65-67"
47.62,1064.8,52.75,0.1,0,"145-882A-6H-1,80-84"
47.77,1054.5,52.03,0.1,0,"145-882B-6H-4,87-89"
47.86,1068.8,52.98,0.1,0,"145-882A-6H-1,104-108"
47.95,1070.4,53.07,5.4,0.17,"145-882A-6H-1,115-116"
48.22,1075,53.33,29.7,1.05,"145-882A-6H-1,140-144"
48.51,1080,53.61,29,0.75,"145-882A-6H-2,19-23"
49.12,1096,54.19,0.2,0,"145-882A-6H-2,80-84"
49.36,1102.8,54.42,0.1,0,"145-882A-6H-2,104-108"
49.45,1105.2,54.51,0,0,"145-882A-6H-2,115-116"
50.01,1118.6,55.05,11.3,0.23,"145-882A-6H-3,19-23"
50.33,1126.3,55.36,10.1,0.21,"145-882A-6H-3,51-55"
50.62,1133,55.63,0.4,0.01,"145-882A-6H-3,80-84"
50.86,1140.9,55.86,0.2,0,"145-882A-6H-3,104-108"
50.95,1144.8,55.95,0,0,"145-882A-6H-3,115-116"
51.22,1156.3,56.21,0.1,0,"145-882A-6H-3,140-144"
51.51,1168.7,56.49,0.2,0,"145-882A-6H-4,19-23"
51.83,1180.2,56.8,5.4,0.12,"145-882A-6H-4,51-55"
52.12,1186.4,57.08,0.1,0,"145-882A-6H-4,80-84"
52.36,1191.5,57.31,0.1,0,"145-882A-6H-4,104-108"
52.42,1192.6,57.36,0,0,"145-882A-6H-4,112-113"
52.72,1198.9,57.65,1.7,0.04,"145-882A-6H-4,140-144"
53.01,1205.1,57.93,6.5,0.17,"145-882A-6H-5,19-23"
53.32,1210.4,58.23,13.3,0.44,"145-882A-6H-5,50-54"
53.62,1215.3,58.52,12.3,0.4,"145-882A-6H-5,80-84"
53.86,1219.3,58.75,2,0.06,"145-882A-6H-5,104-108"
53.92,1220.3,58.81,0,0,"145-882A-6H-5,112-113"
54.22,1225.4,59.09,0.2,0,"145-882A-6H-5,140-144"
54.51,1231.9,59.37,0.1,0,"145-882A-6H-6,19-23"
54.82,1238.9,59.67,0.1,0,"145-882A-6H-6,50-54"
54.95,1241.7,59.79,0.1,0,"145-882A-6H-6,65-67"
55.36,1251,60.19,0.2,0,"145-882A-6H-6,104-108"
55.43,1252.6,60.26,0,0,"145-882A-6H-6,113-114"
55.72,1257.8,60.53,0,0,"145-882A-6H-6,140-144"
55.8,1260.8,60.7,0.1,0,"145-882B-7H-3,90-94"
56.02,1264.6,60.91,2.6,0.06,"145-882B-7H-3,112-115"
56.2,1267.8,61.09,9.1,0.23,"145-882B-7H-3,130-134"
56.35,1270.3,61.23,11.3,0.26,"145-882B-7H-3,145-148"
56.55,1274.7,61.43,1.1,0.02,"145-882B-7H-4,15-18"
56.75,1281,61.62,0.6,0.01,"145-882B-7H-4,35-38"
56.86,1289.7,61.88,0.2,0,"145-882A-7H-1,54-58"
57.12,1298,62.13,0.1,0,"145-882A-7H-1,80-84"
57.36,1305.7,62.36,0.1,0,"145-882A-7H-1,104-108"
57.41,1307.3,62.41,0,0,"145-882A-7H-1,111-112"
57.72,1315.2,62.71,0,0,"145-882A-7H-1,140-144"
58.02,1322.8,63,0.1,0,"145-882A-7H-2,20-24"
58.34,1331,63.31,0.1,0,"145-882A-7H-2,52-56"
58.63,1338.1,63.59,0.1,0,"145-882A-7H-2,81-85"
58.86,1343.3,63.82,0.1,0,"145-882A-7H-2,104-108"
59.19,1350.6,64.14,0.1,0,"145-882A-7H-2,137-141"
59.52,1357.8,64.46,0.1,0,"145-882A-7H-3,20-24"
60.12,1385.6,65.04,0.1,0,"145-882A-7H-3,80-84"
60.36,1392.8,65.27,0.1,0,"145-882A-7H-3,104-108"
60.43,1394.5,65.34,0,0,"145-882A-7H-3,113-114"
