Leg,Site,Hole,Core,Type,Section,Top,Bottom,mbsf,age_orig,species,d13C,d18O_unadj,age_lower,age_ka,age_upper
198,1207,A,7,H,1,55.1,55.12,55.1,3167.6,C.wuellerstorfi,-0.13,2.51,3152.7,3157.7,3164.9
198,1207,A,7,H,1,55.15,55.17,55.15,3169.3,C.wuellerstorfi,-0.31,2.54,3154.5,3159.8,3167.1
198,1207,A,7,H,1,55.19,55.21,55.19,3170.8,C.wuellerstorfi,-0.141,2.62,3155.9,3161.9,3169.4
198,1207,A,7,H,1,55.29,55.31,55.29,3174.9,C.wuellerstorfi,-0.092,2.75,3159.5,3166.4,3174.8
198,1207,A,7,H,1,55.39,55.41,55.39,3179,C.wuellerstorfi,0.044,2.78,3162.4,3170.7,3180.9
198,1207,A,7,H,1,55.44,55.46,55.44,3181,C.wuellerstorfi,0.1,2.85,3164,3172.9,3183.8
198,1207,A,7,H,2,55.49,55.51,55.49,3183.1,C.wuellerstorfi,0.021,2.76,3165.6,3175.4,3186.3
198,1207,A,7,H,2,55.63,55.65,55.63,3188.8,C.wuellerstorfi,-0.03,3,3169.6,3182,3193.8
198,1207,A,7,H,2,55.68,55.7,55.68,3190.3,C.wuellerstorfi,-0.06,2.72,3171.5,3184.5,3196.2
198,1207,A,7,H,2,55.73,55.76,55.73,3191.1,C.wuellerstorfi,0.07,2.93,3173.5,3187.1,3198.9
198,1207,A,7,H,2,55.83,55.85,55.83,3192.6,C.wuellerstorfi,0.17,2.68,3177.7,3193,3204.1
198,1207,A,7,H,2,55.88,55.9,55.88,3193.3,C.wuellerstorfi,0.1,2.82,3179.4,3195.3,3207.3
198,1207,A,7,H,2,55.93,55.94,55.93,3194.1,C.wuellerstorfi,0.273,2.67,3181.4,3197.8,3209.5
198,1207,A,7,H,2,55.97,55.99,55.97,3194.7,C.wuellerstorfi,0.2,2.8,3183.1,3199.9,3211.1
198,1207,A,7,H,2,56.07,56.09,56.07,3196.2,C.wuellerstorfi,-0.03,2.78,3186.9,3204.4,3214.5
198,1207,A,7,H,2,56.17,56.19,56.17,3197.7,C.wuellerstorfi,-0.04,2.72,3192,3208.8,3217.6
198,1207,A,7,H,2,56.22,56.24,56.22,3198.4,C.wuellerstorfi,0.12,2.67,3194,3210.9,3219.5
198,1207,A,7,H,2,56.27,56.29,56.27,3199.2,C.wuellerstorfi,-0.05,2.92,3196.2,3213.2,3221.4
198,1207,A,7,H,2,56.32,56.33,56.32,3199.9,C.wuellerstorfi,0.151,2.73,3198.5,3215.6,3223.1
198,1207,A,7,H,2,56.36,56.38,56.36,3200.5,C.wuellerstorfi,0.12,2.63,3200.8,3217.3,3225.2
198,1207,A,7,H,2,56.41,56.43,56.41,3201.3,C.wuellerstorfi,0.06,2.92,3203.4,3219.4,3227.3
198,1207,A,7,H,2,56.46,56.49,56.46,3202,C.wuellerstorfi,0.2,2.92,3206.2,3221.5,3229.6
198,1207,A,7,H,2,56.51,56.54,56.51,3202.8,C.wuellerstorfi,0,2.77,3208.7,3223.8,3231.8
198,1207,A,7,H,2,56.56,56.58,56.56,3203.5,C.wuellerstorfi,0.01,2.83,3210.7,3226.2,3233.7
198,1207,A,7,H,2,56.61,56.63,56.61,3204.3,C.wuellerstorfi,0.064,2.77,3213.4,3228.4,3235.9
198,1207,A,7,H,2,56.66,56.68,56.66,3205,C.wuellerstorfi,-0.07,2.64,3215.3,3230.3,3238.2
198,1207,A,7,H,2,56.75,56.77,56.75,3206.4,C.wuellerstorfi,-0.02,2.67,3218.7,3233.5,3241.8
198,1207,A,7,H,2,56.8,56.82,56.8,3216.4,C.wuellerstorfi,0.04,2.67,3220.6,3235.6,3243.5
198,1207,A,7,H,2,56.85,56.87,56.85,3250.6,C.wuellerstorfi,0.08,2.69,3222.7,3237.7,3245.3
198,1207,A,7,H,2,56.9,56.92,56.9,3252.6,C.wuellerstorfi,0.16,2.83,3225.4,3240,3246.7
198,1207,A,7,H,2,56.95,56.97,56.95,3254.7,C.wuellerstorfi,0.11,2.8,3228.5,3242.2,3248.5
