Sira #,Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Species,d18O,d13C,d18Oadj,d13Cadj,age_ka,MIS,CODE,LiCa,BCa,NaCa,MgCa,AlCa,MnCa,SrCa,CdCa,BaCa,NdCa,UCa,FeCa
,ODP1209,A,4,H,5,28,30,33.48,37.15,CWUEL,3.02,0.01,3.66,0.01,2560.333333,,S5,10.9586244,16.87454249,2.820561046,0.947821318,8.234767676,48.45253143,0.994870865,0.130267914,3.118664485,0.23943134,10.41352159,10.39729431
,ODP1209,A,4,H,5,32,34,33.52,37.19,CWUEL,3.2,-0.28,3.84,-0.28,2561.844444,,S6,11.5425891,15.70071043,2.73962896,1.04479921,4.47256804,46.68884755,1.006397409,0.121932439,2.988860761,0.255080818,12.55645468,9.819213395
S17 3800,ODP1209,A,4,H,5,34,36,33.54,37.21,CWUEL,3.11,-0.06,3.75,-0.06,2562.55105,,B3,10.9556,11.5692,2.7068,0.9768,8.3982,37.2667,1.0067,0.1334,2.8688,0.2191,7.8294,8.8468
,ODP1209,A,4,H,5,37,39,33.57,37.24,CWUEL,3.32,-0.2,3.96,-0.2,2563.609091,,S7/S8,12.1057946,15.0361529,2.795283065,1.007726411,3.918475058,50.16999785,1.021375607,0.122216178,3.28765898,0.320332621,11.61501058,9.839730368
,ODP1209,A,4,H,5,42,44,33.62,37.29,CWUEL,2.99,-0.32,3.63,-0.32,2565.290909,,S9,11.74434343,14.82757856,2.700278547,1.090040165,3.756033023,40.14072113,1.038628867,0.118996564,3.298489492,0.303091632,11.95926498,10.81967801
S17 3801,ODP1209,A,4,H,5,45,47,33.65,37.32,CWUEL,3.35,-0.14,3.99,-0.14,2566.33168,,B4,10.1571,11.2266,2.7004,0.8657,6.0879,27.3167,1.0156,0.1358,3.006,0.2228,7.97,8.217
,ODP1209,A,4,H,5,48,50,33.68,37.35,CWUEL,3.25,-0.16,3.89,-0.16,2567.5,,R1,11.48889251,25.92746489,2.71101223,0.946426857,21.2846315,43.78322025,0.998528482,0.130577173,4.105149485,0.35817765,14.59932882,12.34094694
,ODP1209,A,4,H,5,52,54,33.72,37.39,CWUEL,3.15,-0.29,3.79,-0.29,2569.1,,R2,11.71210182,15.57324235,2.700575119,0.968213805,5.304895812,49.03673622,1.020706605,0.121246088,3.055701572,0.330578059,13.09967259,11.01480494
S17 3802,ODP1209,A,4,H,5,55,57,33.75,37.42,CWUEL,3.09,-0.12,3.73,-0.12,2570.33469,,B5,10.8981,15.5858,2.856,0.9345,15.9841,29.5088,1.0422,0.1383,2.7279,0.2836,10.0365,9.8282
,ODP1209,A,4,H,5,58,60,33.78,37.45,CWUEL,2.96,0.03,3.6,0.03,2571.71,,R3,12.02906412,16.53049036,3.040179801,1.014717103,11.12603926,47.77975243,1.022523122,0.117856358,3.273981148,0.37184863,18.80665692,10.76917749
