age_ka,temp,temp_min1,temp_plus1,temp_min2,temp_plus2,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2
1791.70708,1.15688,-0.34656,2.75215,-1.67486,4.19621,0.3313,-0.0565,0.74249,-0.44434,1.17779
1794.10688,0.71824,-0.61746,2.08572,-1.86602,3.34235,0.24605,-0.09956,0.61962,-0.45206,0.97801
1795.70661,0.40508,-0.93912,1.67008,-2.37087,2.93009,0.17743,-0.17799,0.50965,-0.55308,0.8305
1798.3056,0.22023,-1.12413,1.53277,-2.37112,2.86114,0.03524,-0.3131,0.39665,-0.65842,0.70254
1800.00453,3.62743,0.04987,5.49482,-1.57223,6.96613,0.82651,-0.06227,1.32703,-0.47656,1.70584
1802.80459,4.62591,3.31498,5.99512,1.8563,7.43241,0.93119,0.54014,1.30076,0.18034,1.68277
1804.60442,3.79275,2.29404,5.24818,1.00214,6.73453,0.64385,0.24709,1.013,-0.09557,1.43459
1807.40425,3.08676,1.62841,4.42033,0.33342,5.70631,0.18376,-0.21302,0.60189,-0.54469,0.99698
1811.30383,2.84327,1.44488,4.21349,0.19644,5.59381,0.08891,-0.2965,0.4423,-0.59655,0.81621
1811.70372,2.60182,1.23481,3.92235,-0.06811,5.17916,0.10144,-0.26979,0.46174,-0.5932,0.81258
1814.00351,3.12081,1.79822,4.49557,0.4229,5.81315,0.27551,-0.07485,0.63619,-0.43282,1.01994
1817.40402,3.41792,2.04088,4.64349,0.75748,5.98343,0.50737,0.14607,0.86515,-0.20316,1.22628
1821.40315,3.34587,1.96529,4.60286,0.67165,5.94333,0.56282,0.2267,0.92582,-0.13679,1.24251
1827.60295,NaN,-1.53184,4.837,-2.51205,6.07367,NaN,-0.7703,0.91602,-0.9137,1.27383
1833.30148,1.77429,0.33924,3.06679,-1.04584,4.28487,-0.03107,-0.40059,0.34448,-0.75306,0.64859
1837.1015,2.59024,1.1473,4.04118,-0.3387,5.23714,0.14673,-0.22964,0.52511,-0.61364,0.8721
1841.60128,2.90049,1.58578,4.29419,0.27289,5.54633,0.31132,-0.04114,0.67968,-0.36875,1.00624
1844.70107,2.6381,1.24939,3.9124,-0.01843,5.17745,0.28361,-0.08319,0.63567,-0.41945,0.97282
1848.40091,2.51231,1.20057,3.78472,-0.24224,5.07884,0.17111,-0.20386,0.52171,-0.5739,0.87469
1851.00105,2.02216,0.67509,3.35806,-0.84766,4.72828,0.00087,-0.35398,0.36037,-0.73408,0.73602
1854.70134,1.68368,0.37314,2.98992,-1.0959,4.49438,0.05441,-0.30213,0.42538,-0.6866,0.80019
1857.1015,1.69978,0.36736,3.02802,-1.03183,4.3747,0.11852,-0.22352,0.47259,-0.57346,0.80811
1860.80188,1.7773,0.41031,3.08245,-1.07595,4.36989,0.60968,0.07166,1.06779,-0.3766,1.43298
1863.20247,1.05959,-0.33949,2.46202,-1.73803,3.79285,0.6106,0.25773,1.0026,-0.09699,1.37321
1866.90218,0.73185,-0.59146,2.04227,-1.95141,3.25962,0.25023,-0.17463,0.65126,-0.6095,1.06914
1869.40233,2.56602,0.57296,4.36567,-1.39932,5.68934,0.55667,0.05628,1.00476,-0.46753,1.37003
1872.60253,3.87273,2.3428,5.33954,1.01668,6.69599,0.6642,0.28087,1.0522,-0.07022,1.3819
1878.40293,4.2364,2.80138,5.6579,1.36713,6.94261,0.7001,0.31859,1.08153,-0.04886,1.43491
1879.20299,4.65271,3.30332,5.92767,2.09537,7.26588,0.81109,0.45889,1.15664,0.15447,1.52222
1881.60282,3.79267,2.32644,5.22059,0.92971,6.66023,0.60852,0.2517,0.97953,-0.12882,1.33579
1885.00238,3.36858,1.96116,4.71476,0.68957,5.88163,0.50881,0.13888,0.86807,-0.19709,1.19537
1888.0021,3.2086,1.77289,4.53785,0.79534,5.9116,0.48181,0.10596,0.83309,-0.17294,1.152
1890.20225,3.1258,1.67923,4.47711,0.54203,5.82552,0.3421,-0.03791,0.71182,-0.39213,1.04544
1892.80219,2.85276,1.56525,4.23391,0.17198,5.5541,0.25395,-0.10668,0.62914,-0.45827,0.96646
1896.50233,2.7744,1.53206,4.16653,0.16076,5.44818,0.28128,-0.08881,0.64295,-0.44152,1.00314
1898.30212,3.36974,1.96875,4.76162,0.57237,5.9987,0.47935,0.07577,0.83899,-0.28132,1.15033
1901.20186,3.64481,2.32782,5.0315,0.98556,6.07562,0.74848,0.35259,1.11093,-0.03304,1.45589
1904.10165,3.23993,1.84709,4.62754,0.524,5.8499,0.73476,0.37063,1.10461,0.01299,1.441
1906.10177,3.05361,1.71972,4.3925,0.43155,5.73125,0.49495,0.11242,0.8806,-0.23495,1.2349
1908.00161,4.0949,2.55259,5.73459,1.02847,7.10745,0.6591,0.26033,1.0943,-0.15848,1.41028
1910.60162,4.60058,3.22818,5.97322,1.87753,7.33018,0.74805,0.38956,1.12088,0.0456,1.48468
1912.80123,3.42712,1.79126,5.04517,0.42206,6.55653,0.46682,0.05183,0.874,-0.30481,1.23461
1914.70094,2.84489,1.47653,4.2793,0.22314,5.52103,0.24688,-0.09015,0.63151,-0.4425,0.99576
1916.30078,2.85884,1.53049,4.09965,0.43059,5.27699,0.21599,-0.11457,0.5678,-0.45831,0.88919
1920.20048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1925.00073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1926.70042,NaN,1.81088,8.50011,0.32601,10.6158,NaN,0.21718,1.95404,-0.35579,2.20729
1928.30012,5.93705,4.53974,7.31819,3.1188,8.6918,1.15403,0.78625,1.51231,0.41284,1.85999
1930.99997,NaN,2.87946,9.30717,1.82566,10.02958,NaN,0.32901,1.99694,0.11277,2.2129
1932.09978,6.11692,4.72778,7.60386,3.4646,8.83696,1.02665,0.61592,1.41803,0.27365,1.80998
1934.79964,NaN,2.72004,9.11764,1.73884,10.56796,NaN,-0.00509,1.78808,-0.22893,2.07739
1936.0994,6.0628,4.66681,7.26881,3.21818,8.37475,1.12056,0.74316,1.48456,0.32279,1.8203
1936.99927,5.98542,4.59222,7.20899,3.1444,8.25004,1.18895,0.80462,1.54338,0.38991,1.82938
1939.19909,NaN,2.30634,8.41325,0.72345,10.15161,NaN,0.01216,1.68994,-0.29407,2.15914
1940.49913,5.38033,3.96269,6.70909,2.66354,7.8928,1.06027,0.6683,1.44651,0.27802,1.78945
1941.39916,5.34849,3.70957,6.72169,1.96692,7.93126,1.15671,0.77829,1.53731,0.35396,1.82722
1943.599,NaN,-0.39253,5.77816,-1.50071,7.42641,NaN,-0.16258,1.43742,-0.47572,2.10264
1944.89887,2.66671,1.29282,4.0132,0.08583,5.33555,0.74013,0.36288,1.11308,0.0186,1.41265
1945.7987,2.7882,1.45052,4.20204,0.06539,5.33631,0.8154,0.46025,1.18537,0.09416,1.49727
1947.09847,2.02712,0.36268,3.77052,-1.22954,5.18434,0.68077,0.25354,1.11275,-0.17385,1.50923
1948.99787,1.50302,-0.10585,3.19466,-1.62732,4.95695,0.5652,0.14395,1.01211,-0.22372,1.46517
1949.2978,0.8451,-0.66658,2.18195,-1.8651,3.52666,0.2592,-0.15689,0.62807,-0.48846,0.94537
1950.19778,1.11821,-0.30293,2.42204,-1.6045,3.59358,0.2411,-0.12342,0.60257,-0.46882,0.91076
1951.49752,1.22988,-0.13482,2.54142,-1.35228,3.64254,0.43128,0.06861,0.7929,-0.29348,1.12075
1952.69728,1.4144,0.01828,2.77653,-1.14758,3.9783,0.56263,0.2106,0.92291,-0.12337,1.23018
1953.89734,3.07011,1.39161,4.7409,-0.21392,6.29985,0.84783,0.44277,1.24427,0.05044,1.65413
1956.49814,NaN,0.35455,7.18763,-1.30997,8.7115,NaN,0.1881,1.90776,-0.19151,2.27829
1957.49848,2.52431,0.94076,4.37977,-0.30117,6.2863,0.62621,0.2079,1.10457,-0.17851,1.56401
1959.29857,1.9267,0.54059,3.24764,-0.77314,4.52039,0.48295,0.12502,0.83556,-0.23534,1.18694
1960.49839,1.52137,0.09779,2.83795,-1.29054,4.27894,0.39704,0.00554,0.75989,-0.36182,1.09333
1962.29867,1.2335,-0.08449,2.5837,-1.21071,3.91688,0.18018,-0.17989,0.56116,-0.50544,0.91107
1963.49881,1.27231,-0.03418,2.53681,-1.06729,4.195,0.1076,-0.22751,0.47594,-0.52682,0.87678
1964.49884,NaN,-0.35401,5.81862,-2.1522,7.15447,NaN,-0.41788,1.23111,-0.69177,1.53832
1965.29887,2.67373,1.30546,3.98601,0.15579,5.29377,0.45728,0.11078,0.82818,-0.25264,1.18454
1966.49892,2.34264,0.92239,3.64836,-0.39932,4.97592,0.40685,0.03162,0.76419,-0.30664,1.11346
1968.29915,2.17985,0.91545,3.51867,-0.37325,4.82377,0.25805,-0.09294,0.60664,-0.41789,0.94856
1969.49898,2.73069,1.33201,4.10661,0.10592,5.3797,0.32556,-0.03195,0.68416,-0.36057,1.01915
1971.39869,2.92144,1.56266,4.24462,0.24154,5.5109,0.35566,0.00596,0.71614,-0.33753,1.04598
1972.19857,3.67324,2.16126,5.02296,0.85049,6.44301,0.52107,0.13438,0.90606,-0.22177,1.23277
1974.99834,3.56107,2.1388,5.03953,0.69154,6.29929,0.30843,-0.06877,0.72812,-0.46484,1.11395
1978.19851,3.23387,1.8496,4.69125,0.46456,5.97731,0.20239,-0.15894,0.57431,-0.54831,0.92827
1978.69853,2.80945,1.58474,4.15643,0.36114,5.54048,0.17337,-0.16527,0.53828,-0.52627,0.88853
1980.19878,3.3384,1.96922,4.74871,0.51117,5.99842,0.23507,-0.11979,0.57846,-0.51924,0.91599
1984.4991,NaN,0.30984,6.51395,-0.98876,7.45479,NaN,-0.66921,1.10841,-0.99106,1.34919
1986.29913,3.56059,2.25542,4.87838,1.04618,6.29007,0.28422,-0.06036,0.65582,-0.38846,0.99539
1987.299,1.32802,-0.25613,3.56498,-1.5376,5.46684,-0.06958,-0.57196,0.47943,-0.94299,0.8737
1989.59923,0.77582,-0.51743,2.13075,-1.76846,3.48238,0.09059,-0.44262,0.54599,-0.91579,0.90884
1990.79895,1.84342,0.29095,3.41785,-1.24658,4.67017,0.54941,0.13684,0.95049,-0.27791,1.30404
1992.49876,2.29333,0.91928,3.69594,-0.46699,4.99249,0.72909,0.3623,1.09966,-0.02285,1.42135
1993.69897,1.63463,0.10108,3.16457,-1.29004,4.39222,0.59957,0.16818,0.97169,-0.17975,1.31908
1995.19906,1.35714,-0.03964,2.71398,-1.39327,3.94054,0.35474,-0.02118,0.73303,-0.38748,1.06871
1996.29912,1.26548,-0.12245,2.63884,-1.53427,3.92809,0.29114,-0.09194,0.6432,-0.41828,0.95942
1998.69906,NaN,-2.63449,3.61661,-3.79295,5.1527,NaN,-0.64573,1.11069,-1.15019,1.61769
2000.09913,0.4808,-0.85486,1.75574,-2.06648,3.12112,-0.06844,-0.47988,0.3917,-0.84036,0.82727
2000.99912,0.46048,-0.78858,1.73307,-2.12252,3.15878,-0.22819,-0.58295,0.16024,-0.92846,0.45577
2003.2991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006.49877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007.99897,NaN,-0.17794,5.86198,-1.57191,6.63869,NaN,-0.36308,1.22958,-0.77036,1.40776
2009.39899,NaN,-0.11268,5.93953,-1.57191,6.63869,NaN,-0.37141,1.25705,-0.77036,1.40776
2009.69894,3.04582,1.72898,4.32195,0.30116,5.56767,0.34647,-0.01796,0.7009,-0.37311,1.04454
