depth,age_ka,d18O
155.78,3343.83,3.39
155.81,3344.49,3.39
155.85,3345.4,3.32
155.94,3347.39,3.28
155.96,3347.91,3.46
156.02,3349.28,3.43
156.07,3350.29,3.48
156.15,3352.01,3.18
156.25,3354.25,3.41
156.3,3355.42,3.37
156.34,3356.36,3.41
156.47,3359.21,3.3
156.49,3359.7,3.35
156.7,3364.4,3.34
156.73,3365,3.25
156.95,3368.3,2.91
157.13,3371.09,3.42
157.21,3372.32,3.27
157.26,3373.14,3.08
157.29,3373.53,3.38
157.32,3373.95,3.63
157.37,3374.77,3.73
157.37,3374.82,3.22
157.42,3375.58,3.52
157.48,3376.4,3.57
157.48,3376.45,3.47
157.52,3377.03,3.48
157.53,3377.21,3.8
157.59,3378.03,3.39
157.64,3378.84,3.46
157.67,3379.31,3.56
157.69,3379.65,3.43
157.75,3380.47,3.45
157.8,3381.28,3.21
157.9,3382.82,3.52
157.92,3383.12,3.79
157.99,3384.26,3.44
158.04,3385,3.58
158.08,3385.56,3.59
158.09,3385.74,3.51
158.09,3385.78,3.29
158.1,3385.86,3.63
158.11,3386.02,3.61
158.14,3386.48,3.48
158.15,3386.67,3.36
158.17,3386.93,3.48
158.19,3387.22,3.38
158.24,3387.96,3.39
158.29,3388.74,3.46
158.3,3388.91,3.48
158.31,3389.06,3.52
158.34,3389.44,3.3
158.35,3389.63,3.56
158.36,3389.82,3.3
158.38,3390.18,3.27
158.41,3390.58,3.23
158.43,3390.92,3.32
158.46,3391.35,3.17
158.48,3391.66,3.22
158.5,3391.95,3.3
158.51,3392.11,3.34
158.52,3392.26,3.4
158.53,3392.4,3.17
158.54,3392.59,3.15
158.56,3392.87,3.1
158.61,3393.63,3.39
158.63,3393.89,2.89
158.65,3394.24,3.4
158.68,3394.63,3.16
158.68,3394.66,3.26
158.7,3394.96,3.29
158.7,3395,3.27
158.71,3395.26,3.22
158.76,3396.58,3.25
158.81,3397.89,3.19
158.85,3398.95,3.31
158.86,3399.21,3.46
158.9,3400.26,2.29
158.91,3400.53,3.44
158.96,3401.84,3.31
159.01,3403.16,3.53
159.06,3404.47,3.22
159.08,3405,3.38
159.1,3405.53,3.37
159.11,3405.79,3.48
159.16,3407.11,3.41
159.21,3408.42,3.36
159.26,3409.74,3.18
159.28,3410.26,3.12
159.3,3410.79,3.43
159.31,3411.05,3.07
159.36,3412.37,3.31
159.41,3413.68,3.22
159.46,3415,2.85
159.5,3415.64,3.46
159.51,3415.8,2.92
159.56,3416.6,3.07
159.58,3416.92,3.17
159.6,3417.24,3
159.61,3417.4,2.96
159.71,3418.99,3.49
159.76,3419.79,3.3
159.8,3420.43,3.28
159.81,3420.59,3.18
159.82,3420.75,3.7
159.86,3421.39,3.22
159.91,3422.19,3.06
159.96,3422.99,2.88
160.01,3423.79,3.21
160.02,3423.95,3.13
160.06,3424.58,3.18
160.11,3425.38,3.14
160.16,3426.18,3.27
160.21,3426.98,3.22
160.22,3427.14,3.41
160.26,3427.78,3.23
160.36,3429.38,2.99
160.41,3430.18,3.4
160.42,3430.34,3.58
160.46,3430.97,3.45
160.51,3431.77,3.17
160.56,3432.57,3.32
160.58,3432.89,3.23
160.61,3433.37,3.14
160.66,3434.17,3.01
160.71,3434.97,3.36
160.81,3436.57,3.01
160.82,3436.73,3.39
160.86,3437.36,3.02
160.96,3438.96,2.99
161.01,3439.76,3.05
161.02,3439.92,3.4
161.11,3441.36,2.98
161.16,3442.16,3.11
161.21,3442.96,3.01
161.22,3443.12,2.95
161.26,3443.75,3.17
161.31,3444.55,3.19
161.36,3445.35,3.11
161.41,3446.15,3.08
161.42,3446.31,3.09
161.46,3446.95,3.34
161.51,3447.75,3.05
161.56,3448.55,3.16
161.59,3449.03,3.28
161.61,3449.35,3.33
161.66,3450.14,3.26
161.71,3450.94,2.96
161.76,3451.74,3.23
161.81,3452.54,3.04
161.82,3452.7,3.19
161.86,3453.34,3.23
161.96,3454.94,3.1
162.02,3455.89,3.29
162.21,3458.93,3.57
162.22,3459.09,3.62
162.26,3459.73,3.25
162.42,3462.28,3.52
162.51,3463.72,3.37
162.56,3464.52,3.57
162.59,3465,3.65
162.61,3465.46,3.49
162.66,3466.62,3.55
162.71,3467.78,3.44
162.81,3470.09,3.13
162.82,3470.32,3.56
162.86,3471.25,3.25
162.91,3472.41,3.21
162.96,3473.56,3.28
163.01,3474.72,3.39
163.02,3474.95,3.28
163.06,3475.88,3.35
163.11,3477.04,3.18
163.16,3478.19,3.22
163.21,3479.35,3.21
163.22,3479.58,3.3
163.26,3480.51,3.34
163.31,3481.67,3.21
163.36,3482.82,3.43
163.41,3483.98,3.01
163.42,3484.21,3.17
163.46,3485.14,3.06
163.51,3486.3,3.03
163.56,3487.45,3.11
163.59,3488.15,3.14
163.66,3489.77,3.05
163.71,3490.93,3.26
163.76,3492.08,3.31
163.81,3493.24,3.06
163.82,3493.47,3.17
163.86,3494.4,3.15
163.91,3495.56,3.02
163.96,3496.71,3.2
164.01,3497.87,3.26
164.02,3498.1,3.28
164.06,3499.03,3.15
164.11,3500.19,3.42
164.16,3501.34,3.19
164.21,3502.5,3.18
164.22,3502.73,3.33
164.26,3503.66,3.29
164.31,3504.81,3.21
