Leg,Site,Hole,Core,Type,Section,Top,Bottom,Mid Depth,mbsf,age_ka,U_auth,Mn_excess,Ba_excess,Opal_conc,C_37,CaCO3_conc
198,1208,A,14,H,6,92,94,127.13,126.6678639,2733.923291,0.263195162,545.1311506,1329.327958,10.47092844,1.066377212,56.47
198,1208,A,14,H,6,100,102,127.21,126.7434783,2736.072331,0.184190464,662.1437898,1182.739064,8.297823639,0.935,60.93
198,1208,A,14,H,6,124,126,127.45,126.9703214,2742.519451,0.062887711,771.347891,1090.008233,7.432671042,0.380049282,63.48
198,1208,A,14,H,6,141,143,127.62,127.1310019,2747.086161,0.058769641,885.5225557,1104.889867,7.494506718,0.558919681,60.59
198,1208,A,14,H,7,22,24,127.93,127.4240076,2755.715636,0.051589603,650.9643275,1095.010302,8.48599811,1.023570076,52.36
198,1208,A,14,H,7,32,34,128.03,127.5185255,2759.328322,0.013399427,588.957603,1332.335338,7.635858529,1.737445418,42.2
198,1208,A,14,H,7,52,54,128.23,127.7075614,2766.829748,0.31938615,688.3428045,1061.798023,7.30726721,0.768552914,60.92
198,1208,A,14,H,7,54,56,128.25,127.726465,2767.57989,0.356267707,655.6151487,960.223693,7.680619806,0.796184305,61.87
198,1208,A,15,H,1,93,95,129.14,129.0884688,2823.36583,0.094922454,678.8691754,817.8901949,7.281813254,0.494266647,65.27
198,1208,A,15,H,2,94,96,130.65,130.51569,2856.411755,0.110819523,711.5455903,817.50211,6.628984849,0.798220936,72.6
198,1208,A,15,H,3,92,94,132.13,131.9145558,2890.783266,0.174885672,584.954771,704.8373941,8.442967208,0.917850373,71.17
198,1208,A,15,H,4,94,96,133.65,133.3512287,2926.54357,0.512664584,304.8141823,928.5212621,8.6661957,2.25126132,49.7
198,1208,A,15,H,4,109,111,133.8,133.4930057,2932.148647,0.269708513,250.3012024,1153.22802,9.38866317,3.442939916,49.13
198,1208,A,15,H,4,122,124,133.93,133.615879,2937.117101,0.030391126,341.2715827,1137.699432,8.146216433,1.969911611,39.43
198,1208,A,15,H,5,5,7,134.26,133.9277883,2944.35914,0.189260346,734.7831047,666.1713662,5.804867403,0.45991285,74.36
198,1208,A,15,H,5,18,19,134.385,134.0459357,2947.065641,0.070345418,780.5456417,625.4677494,,0.592826164,69.45
198,1208,A,15,H,5,36,38,134.57,134.220794,2951.071263,0.121937251,817.9187715,804.5859298,5.325496006,0.390730522,76.22
198,1208,A,15,H,5,56,58,134.77,134.4098299,2955.401664,0.075702557,828.8583476,795.4232626,5.395053411,0.653731864,75.26
198,1208,A,15,H,5,76,78,134.97,134.5988658,2959.732066,0.229138783,838.1827037,641.6850683,4.738977303,0.582073939,79.1
198,1208,A,15,H,5,94,96,135.15,134.7689981,2963.658008,0.265811636,736.0707863,625.828699,4.406433514,0.475427826,75.7
198,1208,A,15,H,5,102,104,135.23,134.8446125,2965.570261,0.237455044,806.7116082,661.069666,4.556975983,0.491180657,75.62
198,1208,A,15,H,5,124,125,135.445,135.0478261,2971.831929,0.262210709,666.699503,916.4359506,5.764043762,0.995229679,67.54
198,1208,A,15,H,5,142,144,135.63,135.2226843,2977.286858,0.113659812,538.100964,1037.746552,5.592809407,1.475700406,65.58
198,1208,A,15,H,6,10,11,135.805,135.3880907,2982.357287,0.326559112,678.8698927,935.1558551,6.632941993,1.110510412,66.99
198,1208,A,15,H,6,30,32,136.01,135.5818526,2988.374094,0.231625583,782.2234862,723.3972636,5.671329289,0.481456386,75.21
198,1208,A,15,H,6,49,50,136.195,135.7567108,2993.722063,0.134011707,720.48344,742.2135261,5.801670319,0.471623537,75.25
198,1208,A,15,H,6,72,74,136.43,135.978828,3000.408009,0.286907618,743.8766356,723.033665,5.376246969,0.683093331,76.77
198,1208,A,15,H,6,88,90,136.59,136.1300567,3003.708284,0.309015541,664.7092815,716.9732256,4.625058003,0.93,72.66
198,1208,A,15,H,6,94,96,136.65,136.1867675,3004.959462,0.76018255,648.1049321,692.5377497,5.529617837,0.886363636,65.2
198,1208,A,15,H,6,108,110,136.79,136.3190926,3007.878878,0.686518257,723.5709516,732.4297471,4.620305469,0.929148274,72.27
