lower95_age,age_ka,upper95_age,depth (mcd),Species,d18O_unadj,d18O,d13C
2616.081871,2621.929825,2625.651249,38.29,CWUEL,2.80,3.44,-0.15
2617.012228,2623.923445,2627.511962,38.32,CWUEL,2.82,3.46,0.11
2622.328549,2629.106858,2631.632111,38.41,CWUEL,3.22,3.86,-0.25
2623.657629,2629.63849,2632.429559,38.42,CWUEL,3.02,3.66,-0.02
2626.315789,2630.96757,2633.758639,38.45,CWUEL,3.21,3.85,-0.25
2629.239766,2632.429559,2635.220627,38.49,CWUEL,3.01,3.65,-0.15
2630.701754,2633.625731,2636.815524,38.52,CWUEL,3.15,3.79,-0.25
2632.163743,2634.688995,2638.41042,38.55,CWUEL,3.19,3.83,-0.24
2633.227007,2635.486443,2639.340776,38.57,CWUEL,3.15,3.79,-0.22
2634.290271,2636.283892,2640.40404,38.59,CWUEL,3.05,3.69,-0.05
2635.619351,2637.612972,2641.600213,38.62,CWUEL,3.33,3.97,-0.38
2637.214248,2639.473684,2643.726741,38.67,CWUEL,3.32,3.96,-0.28
2639.872408,2643.062201,2647.581074,38.77,CWUEL,3.26,3.90,-0.34
2641.201489,2644.922913,2649.574694,38.82,CWUEL,3.07,3.71,-0.19
2642.264753,2645.720362,2650.505051,38.84,CWUEL,3.20,3.84,-0.37
2643.726741,2646.916534,2652.365763,38.87,CWUEL,3.23,3.87,-0.18
2644.922913,2647.979798,2653.960659,38.9,CWUEL,3.10,3.74,-0.23
2646.51781,2649.574694,2657.682084,38.94,CWUEL,3.03,3.67,-0.12
2647.713982,2650.637959,2659.542796,38.97,CWUEL,3.28,3.92,-0.09
2649.043062,2651.701223,2661.270601,39,CWUEL,3.07,3.71,-0.06
2650.505051,2653.296119,2663.264221,39.04,CWUEL,3.33,3.97,-0.16
2651.834131,2654.625199,2664.593301,39.07,CWUEL,3.01,3.65,-0.06
2653.030303,2656.485912,2665.922382,39.1,CWUEL,2.99,3.63,-0.10
2654.758107,2659.27698,2667.38437,39.14,CWUEL,3.13,3.77,-0.15
