depth,age_ka,mcd,bSiO2,opal_acc_rate,Siliciclast_percent,silica_acc_rate,label
176.22,3318.6,190.03,40.4,2.38,3.1,0.18,"145-882A-19H-4,140-144"
177.12,3323.9,190.9,39.2,3.42,2.7,0.23,"145-882A-19H-5,80-84"
177.72,3327.4,191.48,22.8,2.52,3.3,0.37,"145-882A-19H-5,140-144"
178.62,3332.6,192.34,38.3,3.16,3.2,0.26,"145-882A-19H-6,80-84"
179.22,3336.1,192.92,49.8,3.27,2.9,0.19,"145-882A-19H-6,140-144"
179.1,3341.5,193.8,57.3,4.23,3.5,0.26,"145-882B-20H-3,70-73"
179.4,3343.2,194.09,52.1,4.13,3.5,0.28,"145-882B-20H-3,100-103"
179.7,3344.9,194.37,51.5,3.66,2.9,0.21,"145-882B-20H-3,130-133"
180.3,3349.4,194.94,40.3,2.17,4.5,0.24,"145-882B-20H-4,40-43"
180.62,3356.2,195.58,37.4,1.51,3,0.12,"145-882A-20H-1,80-84"
181.22,3363.5,196.18,50,1.38,1.4,0.04,"145-882A-20H-1,140-144"
182.12,3375.3,197.08,38.5,1.25,3.9,0.13,"145-882A-20H-2,80-84"
182.72,3383.2,197.68,35.5,1.14,4,0.13,"145-882A-20H-2,140-144"
183.62,3393.1,198.58,31.4,2.34,3.3,0.24,"145-882A-20H-3,80-84"
184.22,3397.3,199.18,39.6,2.62,3.4,0.22,"145-882A-20H-3,140-144"
185.12,3403.4,200.08,25.4,2.15,3.8,0.32,"145-882A-20H-4,80-84"
185.72,3407.6,200.68,36.6,3.14,2.9,0.25,"145-882A-20H-4,140-144"
186.62,3414.2,201.58,27.5,1.77,5.5,0.35,"145-882A-20H-5,80-84"
187.22,3419,202.18,37.1,2.93,2.8,0.22,"145-882A-20H-5,140-144"
188.12,3426.2,203.08,19.7,1.47,2.9,0.21,"145-882A-20H-6,80-84"
188.72,3431,203.68,29.9,2.21,6.1,0.45,"145-882A-20H-6,140-144"
188.3,3433.2,203.95,46.7,2.54,20.4,1.11,"145-882B-21H-3,40-43"
188.6,3435.4,204.24,35.6,2.18,27.2,1.66,"145-882B-21H-3,70-73"
189.52,3438.1,204.58,32,1.92,3.8,0.23,"145-882A-21H-1,20-24"
189.82,3440.3,204.86,37.5,2.77,5.5,0.4,"145-882A-21H-1,50-54"
190.36,3444.7,205.37,29.3,1.98,2.8,0.19,"145-882A-21H-1,104-108"
190.72,3448,205.71,21.9,1.3,17.2,1.02,"145-882A-21H-1,140-144"
191.02,3450.8,205.99,54.6,2.4,2.9,0.13,"145-882A-21H-2,20-24"
191.32,3453.6,206.28,33.6,1.42,4.3,0.18,"145-882A-21H-2,50-54"
191.62,3456.4,206.56,30.2,1.28,5.9,0.25,"145-882A-21H-2,80-84"
191.86,3458.6,206.79,37.2,1.57,5,0.21,"145-882A-21H-2,104-108"
192.22,3461.9,207.13,27.1,1.13,2.7,0.11,"145-882A-21H-2,140-144"
192.52,3464.5,207.41,26.9,2.17,6,0.49,"145-882A-21H-3,20-24"
192.82,3466.6,207.7,25,1.92,3.6,0.28,"145-882A-21H-3,50-54"
193.12,3468.7,207.98,27,1.89,5.2,0.37,"145-882A-21H-3,80-84"
193.36,3470.4,208.21,35.8,2.35,5.1,0.33,"145-882A-21H-3,104-108"
193.72,3472.9,208.55,38.1,2.48,4.3,0.28,"145-882A-21H-3,140-144"
194.02,3474.9,208.83,56.4,2.87,1.9,0.1,"145-882A-21H-4,20-24"
194.32,3477.1,209.12,44.2,2.64,3.6,0.22,"145-882A-21H-4,50-54"
194.62,3479.2,209.4,33.6,1.85,7.1,0.39,"145-882A-21H-4,80-84"
194.86,3480.9,209.63,44.2,2.73,3.5,0.22,"145-882A-21H-4,104-108"
195.22,3483.5,209.97,36.8,2.52,8.3,0.57,"145-882A-21H-4,140-144"
195.52,3485.6,210.25,37.1,2.37,4.1,0.26,"145-882A-21H-5,20-24"
195.82,3487.8,210.54,54.1,2.62,2.2,0.1,"145-882A-21H-5,50-54"
196.12,3489.9,210.82,36.7,1.94,3.7,0.19,"145-882A-21H-5,80-84"
196.36,3491.6,211.05,40.8,2.25,2.7,0.15,"145-882A-21H-5,104-108"
196.67,3493.8,211.34,68.5,3.47,3.2,0.16,"145-882A-21H-5,135-137"
196.72,3494.2,211.39,49.5,2.51,2.9,0.15,"145-882A-21H-5,140-144"
197.02,3496.3,211.67,56,3.09,1.1,0.06,"145-882A-21H-6,20-24"
197.32,3498.5,211.96,73.7,3.9,1.6,0.08,"145-882A-21H-6,50-54"
197.62,3500.6,212.24,66.4,4.27,3.5,0.22,"145-882A-21H-6,80-84"
197.86,3502.3,212.47,75.5,4.33,2.2,0.12,"145-882A-21H-6,104-108"
196.9,3506.8,213.09,61.6,4.35,4,0.28,"145-882B-22H-2,100-103"
197.2,3508.7,213.38,60.3,4.11,5.1,0.35,"145-882B-22H-2,130-133"
197.5,3510.4,213.66,61.4,4.01,6.5,0.43,"145-882B-22H-3,10-13"
197.7,3511.7,213.85,65.3,4.26,8.8,0.57,"145-882B-22H-3,30-33"
198,3513.5,214.14,67.9,4.26,4.5,0.28,"145-882B-22H-3,60-63"
198.6,3517.1,214.71,69.7,4.36,6,0.37,"145-882B-22H-3,120-123"
198.95,3519.2,215.04,69.1,4.51,4,0.26,"145-882B-22H-4,5-8"
199.25,3521.1,215.33,77.3,4.64,3.8,0.23,"145-882B-22H-4,35-38"
199.55,3522.9,215.62,73.1,4.19,3.8,0.22,"145-882B-22H-4,65-68"
200.15,3526.7,216.19,72.2,3.32,4,0.19,"145-882B-22H-4,125-128"
200.45,3529.2,216.47,70.8,3.17,5.8,0.26,"145-882B-22H-5,5-8"
200.75,3531.8,216.76,68.2,3.31,6.4,0.31,"145-882B-22H-5,35-38"
201.05,3534.3,217.04,71.4,3.34,4.9,0.23,"145-882B-22H-5,65-68"
201.35,3536.8,217.33,67.3,3.4,10.8,0.54,"145-882B-22H-5,95-98"
201.65,3539.4,217.62,65.8,2.95,4.6,0.21,"145-882B-22H-5,125-128"
202.25,3544.5,218.19,77.9,3.35,4.7,0.2,"145-882B-22H-6,35-38"
202.55,3546.9,218.47,68.8,3.06,4.5,0.2,"145-882B-22H-6,65-68"
202.85,3549.3,218.76,69.5,3.42,4.1,0.2,"145-882B-22H-6,95-98"
203.15,3551.6,219.04,66,3.88,3.9,0.23,"145-882B-22H-6,125-128"
203.44,3553.8,219.32,56.8,2.74,4.5,0.22,"145-882B-22H-7,4-7"
199.01,3557.9,219.85,73,3.85,2.8,0.15,"145-882A-22H-1,19-23"
199.32,3560.2,220.13,76.9,3.88,0.9,0.04,"145-882A-22H-1,50-54"
199.62,3562.3,220.4,72.7,3.57,2.2,0.11,"145-882A-22H-1,80-84"
199.86,3564,220.62,75.1,3.47,1,0.04,"145-882A-22H-1,104-108"
200.22,3566.5,220.94,70.7,3.41,2.1,0.1,"145-882A-22H-1,140-144"
200.51,3568.7,221.21,69.9,3.21,3.7,0.17,"145-882A-22H-2,19-23"
200.82,3570.9,221.49,73.4,3.25,3.2,0.14,"145-882A-22H-2,50-54"
201.12,3573,221.76,70.4,3.43,1.6,0.08,"145-882A-22H-2,80-84"
201.36,3574.7,221.98,67.4,3.27,3.5,0.17,"145-882A-22H-2,104-108"
201.72,3577.3,222.3,66.9,3,3.4,0.15,"145-882A-22H-2,140-144"
202.01,3579.2,222.56,68.5,7,2,0.21,"145-882A-22H-3,19-23"
202.32,3580.9,222.84,67.3,5.98,1.8,0.16,"145-882A-22H-3,50-54"
202.86,3583.8,223.33,73.4,5.7,2.5,0.19,"145-882A-22H-3,104-108"
203.22,3585.8,223.66,71,6.11,1.6,0.14,"145-882A-22H-3,140-144"
203.51,3587.4,223.92,61.5,4.44,2.2,0.16,"145-882A-22H-4,19-23"
203.82,3589.1,224.2,58.9,4.57,1.3,0.1,"145-882A-22H-4,50-54"
204.12,3590.7,224.47,64.9,5.4,1.4,0.11,"145-882A-22H-4,80-84"
204.36,3592,224.69,64.4,5.54,2.8,0.24,"145-882A-22H-4,104-108"
204.72,3594,225.02,76.5,6.45,1.1,0.09,"145-882A-22H-4,140-144"
205.01,3595.5,225.28,80.8,5.87,1.7,0.13,"145-882A-22H-5,19-23"
205.32,3597.2,225.56,71,5.2,1.5,0.11,"145-882A-22H-5,50-54"
205.62,3598.8,225.83,67.8,5.08,4.2,0.31,"145-882A-22H-5,80-84"
205.86,3600.1,226.05,76.2,4.94,1.2,0.08,"145-882A-22H-5,104-108"
206.22,3602.1,226.38,78.8,5.11,2.6,0.17,"145-882A-22H-5,140-144"
206.51,3603.6,226.64,65.7,4.38,2.8,0.18,"145-882A-22H-6,19-23"
206.82,3605.1,226.92,73.6,5.64,1.4,0.11,"145-882A-22H-6,50-54"
207.12,3606.5,227.19,72.9,5.59,1.2,0.09,"145-882A-22H-6,80-84"
207.36,3607.6,227.41,70.3,5.16,2,0.15,"145-882A-22H-6,104-108"
205.8,3609.2,227.73,67.7,4.44,4.4,0.29,"145-882B-23H-2,40-43"
206.1,3610.7,228.02,72.3,5.94,4,0.33,"145-882B-23H-2,70-73"
206.4,3612.1,228.3,69.6,5.48,7,0.55,"145-882B-23H-2,100-102"
206.7,3613.6,228.59,73.4,5.29,4.1,0.3,"145-882B-23H-2,130-132"
207.3,3616.4,229.16,73.6,5.56,4.5,0.34,"145-882B-23H-3,40-42"
207.6,3617.8,229.44,70.5,4.85,4.9,0.34,"145-882B-23H-3,70-72"
208.82,3620.5,229.96,73.4,5.56,1.7,0.13,"145-882A-23H-1,50-54"
209.12,3621.9,230.24,74.6,5.37,3,0.22,"145-882A-23H-1,80-84"
209.36,3623,230.47,70.4,6.28,3.4,0.3,"145-882A-23H-1,104-108"
209.72,3624.9,230.81,70.8,5.62,1.7,0.13,"145-882A-23H-1,140-144"
210.02,3626.4,231.09,69.6,4.8,1.6,0.11,"145-882A-23H-2,20-24"
210.32,3628,231.37,71.5,5.16,1.2,0.09,"145-882A-23H-2,50-54"
210.62,3629.6,231.66,69.7,4.91,2.3,0.16,"145-882A-23H-2,80-84"
210.86,3630.9,231.88,63.3,4.84,3,0.23,"145-882A-23H-2,104-108"
211.22,3632.9,232.23,65.3,4.8,4,0.3,"145-882A-23H-2,140-144"
211.52,3634.4,232.51,75.9,5.87,1.6,0.12,"145-882A-23H-3,20-24"
211.82,3636,232.79,71.3,5.37,2.9,0.22,"145-882A-23H-3,50-54"
212.36,3638.9,233.3,58.9,4.5,2.2,0.17,"145-882A-23H-3,104-108"
213.02,3642.4,233.93,72.6,4.12,1.5,0.09,"145-882A-23H-4,20-24"
213.32,3644.6,234.21,73.7,3.62,1.3,0.07,"145-882A-23H-4,50-54"
213.62,3647.2,234.49,69,3.04,2.1,0.09,"145-882A-23H-4,80-84"
214.22,3652.3,235.06,71.9,3.82,1.6,0.08,"145-882A-23H-4,140-144"
214.52,3654.9,235.35,72.3,3.64,2.2,0.11,"145-882A-23H-5,20-24"
214.82,3657.5,235.63,59.4,2.73,3.3,0.15,"145-882A-23H-5,50-54"
215.07,3659.6,235.86,71.1,3.35,1.5,0.07,"145-882A-23H-5,75-77"
215.12,3660,235.91,58.9,2.8,3.6,0.17,"145-882A-23H-5,80-84"
215.36,3662.1,236.14,75.7,3.61,2,0.09,"145-882A-23H-5,104-108"
215.72,3665.2,236.48,53.5,2.93,6,0.33,"145-882A-23H-5,140-144"
216.62,3672.9,237.33,67.7,3.23,3.9,0.18,"145-882A-23H-6,80-84"
217.22,3678,237.9,64.7,3.04,7.4,0.35,"145-882A-23H-6,140-144"
217.52,3680.1,238.18,73,4.64,2.1,0.13,"145-882A-23H-7,20-24"
217.82,3682,238.46,72.1,3.64,1,0.05,"145-882A-23H-7,50-54"
218.07,3683.6,238.71,63.4,3.69,2.9,0.17,"145-882A-23H-7,75-77"
213.6,3685.1,238.94,60.6,3.68,4.8,0.29,"145-882B-24H-1,20-23"
213.9,3687.2,239.26,69.8,4.77,5.2,0.35,"145-882B-24H-1,50-53"
214.2,3689.4,239.59,77.6,5.21,4.9,0.33,"145-882B-24H-1,80-83"
214.53,3691.6,239.94,68.5,4.77,12.3,0.86,"145-882B-24H-1,113-116"
214.8,3693.5,240.23,73,4.99,5.2,0.35,"145-882B-24H-1,140-143"
215.1,3695.6,240.55,71.3,4.51,4.7,0.3,"145-882B-24H-2,20-23"
215.4,3697.7,240.87,69.1,4.63,4.4,0.29,"145-882B-24H-2,50-53"
215.7,3699.8,241.19,71.9,4.55,4.6,0.29,"145-882B-24H-2,80-83"
216.2,3703.2,241.73,69.9,4.42,5.2,0.33,"145-882B-24H-2,112-115"
216.3,3703.8,241.83,72.1,4.76,5,0.33,"145-882B-24H-2,140-143"
216.6,3705.8,242.15,68.6,4.34,4.6,0.29,"145-882B-24H-3,20-23"
216.9,3707.9,242.48,72.5,4.59,6,0.38,"145-882B-24H-3,50-53"
218.62,3710.5,242.9,59.2,4.06,18.9,1.3,"145-882A-24H-1,80-84"
218.86,3712,243.13,62.5,4.46,5.6,0.4,"145-882A-24H-1,104-108"
219.22,3714.1,243.47,64.7,4.42,2.7,0.19,"145-882A-24H-1,140-144"
219.82,3717.7,244.04,59,3.43,3.7,0.22,"145-882A-24H-2,50-54"
220.12,3719.4,244.32,61.3,2.93,4.4,0.21,"145-882A-24H-2,80-84"
220.36,3721.2,244.55,71.5,3.1,3.6,0.16,"145-882A-24H-2,104-108"
220.72,3724,244.89,58.3,2.87,4.8,0.24,"145-882A-24H-2,140-144"
221.02,3726.4,245.18,73.7,4.11,2.5,0.14,"145-882A-24H-3,20-24"
221.62,3731.2,245.75,48,2.58,5.5,0.29,"145-882A-24H-3,80-84"
222.82,3740.7,246.89,57.4,2.93,5.9,0.3,"145-882A-24H-4,50-54"
223.12,3742.9,247.17,47.6,2.92,8.8,0.54,"145-882A-24H-4,80-84"
223.36,3744.8,247.4,62.3,3.4,7.6,0.41,"145-882A-24H-4,104-108"
224.02,3749.9,248.03,47.4,2.79,2.8,0.16,"145-882A-24H-5,20-24"
224.62,3754.4,248.6,51.7,3.66,3.6,0.26,"145-882A-24H-5,80-84"
224.86,3756.3,248.83,55,3.96,4,0.29,"145-882A-24H-5,104-108"
225.22,3759,249.17,69.5,3.58,5.1,0.26,"145-882A-24H-5,140-144"
226.12,3766.4,250.02,66.5,2.91,3.4,0.15,"145-882A-24H-6,80-84"
226.36,3768.9,250.25,56.5,2.56,3.2,0.14,"145-882A-24H-6,104-108"
226.72,3772.5,250.59,60.5,2.36,5.5,0.21,"145-882A-24H-6,140-144"
223.95,3778.5,251.15,69.6,2.94,4.9,0.2,"145-882B-25H-1,105-108"
224.25,3781.5,251.44,64.6,2.67,4.9,0.2,"145-882B-25H-1,135-138"
224.55,3784.5,251.72,64.6,2.52,5.6,0.22,"145-882B-25H-2,15-18"
225.15,3790.6,252.29,72.6,2.77,4.1,0.16,"145-882B-25H-2,75-78"
225.45,3793.3,252.58,68.1,2.79,5.1,0.21,"145-882B-25H-2,105-108"
225.75,3796,252.87,63.9,3.11,6.4,0.31,"145-882B-25H-2,135-138"
226.35,3801.1,253.43,64.3,3.02,4.2,0.19,"145-882B-25H-3,45-48"
226.65,3803.8,253.72,58.1,2.94,4.8,0.24,"145-882B-25H-3,75-78"
226.95,3806.5,254.01,66.2,3.22,5.2,0.25,"145-882B-25H-3,105-108"
228.12,3810.7,254.47,39.8,1.8,2.7,0.12,"145-882A-25H-1,80-84"
228.72,3815.7,255.04,38.7,1.92,2.3,0.11,"145-882A-25H-1,140-144"
229.62,3823.1,255.91,27.5,1.57,5,0.28,"145-882A-25H-2,80-84"
231.72,3839.6,257.93,36.8,1.98,2.4,0.13,"145-882A-25H-3,140-144"
233.22,3850.5,259.37,35.4,1.63,1.4,0.06,"145-882A-25H-4,140-144"
234.72,3861.3,260.82,37.5,1.75,2.5,0.12,"145-882A-25H-5,140-144"
235.62,3867.7,261.68,36.2,1.71,1.4,0.06,"145-882A-25H-6,80-84"
236.22,3872.1,262.26,39.4,2.07,2.4,0.13,"145-882A-25H-6,140-144"
236.8,3876.2,262.81,54,3.37,7.1,0.44,"145-882B-26H-3,140-142"
237.62,3880.2,263.36,23.1,1.58,24.7,1.68,"145-882A-26H-1,80-84"
238.22,3885,263.93,49.7,1.45,4.1,0.12,"145-882A-26H-1,140-144"
239.12,3893.5,264.79,48.2,2.02,16.1,0.68,"145-882A-26H-2,80-84"
239.72,3897.8,265.36,57.8,3.18,5,0.27,"145-882A-26H-2,140-144"
240.62,3903.5,266.21,56,3.53,4.5,0.28,"145-882A-26H-3,80-84"
241.22,3907.3,266.78,51.8,3.4,3.8,0.25,"145-882A-26H-3,140-144"
242.72,3916.9,268.21,39.1,2.54,2.9,0.19,"145-882A-26H-4,140-144"
243.62,3922.7,269.08,48.5,3.37,4.4,0.31,"145-882A-26H-5,80-84"
244.22,3926.4,269.63,56.1,3.67,3.1,0.2,"145-882A-26H-5,140-144"
245.12,3932.2,270.49,58.8,3.61,4,0.24,"145-882A-26H-6,80-84"
245.72,3936.1,271.06,56.2,3.56,5.9,0.38,"145-882A-26H-6,140-144"
245.05,3942,271.91,64.2,3.41,6.5,0.34,"145-882B-27H-3,15-17"
245.35,3944,272.2,58.9,3.56,6.8,0.41,"145-882B-27H-3,45-47"
245.65,3946,272.5,57.3,3.39,7.5,0.44,"145-882B-27H-3,75-77"
245.95,3948.1,272.8,59.3,3.73,11.8,0.74,"145-882B-27H-3,105-107"
246.25,3950.1,273.1,59.2,3.43,5.9,0.34,"145-882B-27H-3,135-137"
246.85,3954.2,273.69,65.1,3.85,5.4,0.32,"145-882B-27H-4,45-47"
247.15,3956.3,273.99,68.8,3.65,5,0.27,"145-882B-27H-4,75-77"
247.72,3963.1,274.99,51.6,2.74,13.2,0.7,"145-882A-27H-1,140-144"
248.62,3970.1,275.86,65.3,2.44,3.9,0.14,"145-882A-27H-2,80-84"
249.22,3975.5,276.44,36.5,1.7,2,0.09,"145-882A-27H-2,140-144"
250.12,3983.3,277.3,65.2,2.8,3.7,0.16,"145-882A-27H-3,80-84"
250.72,3988.7,277.88,61,2.76,4.3,0.19,"145-882A-27H-3,140-144"
252.22,4001.9,279.32,57.9,2.31,4.7,0.19,"145-882A-27H-4,140-144"
253.12,4009.9,280.19,65.2,2.49,3.5,0.14,"145-882A-27H-5,80-84"
253.72,4015.2,280.77,64.7,2.87,3.5,0.16,"145-882A-27H-5,140-144"
254.62,4023.1,281.63,62.8,2.5,4.2,0.17,"145-882A-27H-6,80-84"
255.22,4028.4,282.21,65.6,3.2,3.5,0.17,"145-882A-27H-6,140-144"
255.2,4036.1,283.05,71.9,3.12,3.4,0.15,"145-882B-28H-3,80-83"
255.8,4041.4,283.63,73.7,3.73,3.8,0.19,"145-882B-28H-3,140-143"
256.1,4044.1,283.92,73.4,3.32,4.4,0.2,"145-882B-28H-4,20-23"
256.4,4046.8,284.22,70.8,3.26,4.8,0.22,"145-882B-28H-4,50-53"
257.02,4052.3,284.82,68.6,3.35,8.9,0.43,"145-882B-28H-4,112-115"
257.6,4057.5,285.38,67.9,3.19,4.7,0.22,"145-882B-28H-5,20-23"
257.9,4060.1,285.67,70.9,3.46,4.9,0.24,"145-882B-28H-5,50-53"
258.2,4062.8,285.96,62.9,2.96,3.6,0.17,"145-882B-28H-5,80-83"
258.52,4065.6,286.27,65.1,2.94,4.5,0.2,"145-882B-28H-5,112-115"
258.8,4068.2,286.55,67.9,3.2,4.7,0.22,"145-882B-28H-5,140-143"
259.1,4070.8,286.84,67.1,2.97,6,0.26,"145-882B-28H-6,20-23"
259.4,4073.5,287.13,63.7,2.82,4.9,0.22,"145-882B-28H-6,50-53"
256.08,4080.7,287.91,71.6,3.04,4.4,0.19,"145-882A-28H-1,26-28"
260.2,4080.7,287.91,66.9,3.02,4.6,0.21,"145-882B-28H-6,112-115"
256.86,4087.8,288.69,65.1,2.7,4.9,0.2,"145-882A-28H-1,104-108"
258.07,4098.9,289.9,64.7,2.41,5.4,0.2,"145-882A-28H-2,75-77"
258.72,4104.9,290.55,63.9,2.75,7.6,0.33,"145-882A-28H-2,140-144"
259.08,4108.2,290.91,62.4,2.93,5.3,0.25,"145-882A-28H-3,26-28"
259.86,4115.3,291.69,66.9,3.1,7.6,0.35,"145-882A-28H-3,104-108"
260.22,4118.6,292.05,63.9,2.98,5.7,0.27,"145-882A-28H-3,140-144"
260.52,4121.4,292.35,62.8,2.88,7.7,0.35,"145-882A-28H-4,20-24"
260.82,4124.1,292.65,55.8,2.73,14.5,0.71,"145-882A-28H-4,50-54"
261.36,4129.1,293.19,58,2.62,4.3,0.19,"145-882A-28H-4,104-108"
262.32,4137.9,294.15,57.7,2.55,6,0.26,"145-882A-28H-5,50-54"
262.86,4142.9,294.69,61.1,2.93,6.6,0.32,"145-882A-28H-5,104-108"
263.22,4146.2,295.05,40.6,2.11,5.2,0.27,"145-882A-28H-5,140-144"
263.52,4148.9,295.35,57.9,2.7,5.2,0.24,"145-882A-28H-6,20-24"
264.08,4154,295.91,38.9,2.29,26.7,1.57,"145-882A-28H-6,75-77"
264.72,4159.9,296.55,61,2.84,4.6,0.21,"145-882A-28H-6,140-144"
265.02,4162.7,296.85,57.4,2.73,2.8,0.13,"145-882A-28H-7,20-24"
265.32,4165.4,297.15,62.4,2.22,4.5,0.16,"145-882A-28H-7,50-54"
265.82,4170,297.65,59.2,2.89,6.5,0.32,"145-882A-29H-1,50-54"
266.36,4175,298.19,42.2,2.3,5,0.27,"145-882A-29H-1,104-108"
266.72,4178.3,298.55,57.4,2.71,7.2,0.34,"145-882A-29H-1,140-144"
267.62,4188.2,299.45,61.2,2.31,4.2,0.16,"145-882A-29H-2,80-84"
268.22,4195.2,300.05,50.9,2.04,3.9,0.15,"145-882A-29H-2,140-144"
269.12,4205.6,300.95,49.1,1.96,5.1,0.2,"145-882A-29H-3,80-84"
269.36,4208.4,301.19,54.1,1.98,4.1,0.15,"145-882A-29H-3,104-108"
269.72,4212.5,301.55,51.2,2.14,4.5,0.19,"145-882A-29H-3,140-144"
271.22,4229.9,303.05,52.6,2.34,5.5,0.24,"145-882A-29H-4,140-144"
272.12,4240.3,303.95,52.8,2.16,6.6,0.27,"145-882A-29H-5,80-84"
272.72,4247.2,304.55,51.5,2.23,5.4,0.24,"145-882A-29H-5,140-144"
273.62,4257.6,305.45,49.6,2.3,5.8,0.27,"145-882A-29H-6,80-84"
274.22,4264.6,306.05,48.3,1.87,7.4,0.29,"145-882A-29H-6,140-144"
275.07,4274.4,306.9,46.1,1.78,5.3,0.21,"145-882A-29H-7,75-77"
278.62,4315.5,310.45,43.2,1.6,5.2,0.19,"145-882A-30H-3,80-84"
278.86,4318.3,310.69,44.3,1.92,4.2,0.18,"145-882A-30H-3,104-108"
279.22,4321.5,311.05,43.1,2.13,4.3,0.21,"145-882A-30H-3,140-144"
280.12,4327.8,311.95,42.2,2.35,6.7,0.37,"145-882A-30H-4,80-84"
281.62,4338.3,313.45,55.8,3.62,7,0.45,"145-882A-30H-5,80-84"
282.22,4342.5,314.05,54.2,3.28,6.6,0.4,"145-882A-30H-5,140-144"
282.52,4344.6,314.35,56.3,3.61,4.5,0.29,"145-882A-30H-6,20-24"
282.82,4346.7,314.65,49.2,3.14,4.8,0.31,"145-882A-30H-6,50-54"
283.22,4349.5,315.05,44.8,3.08,4.7,0.33,"145-882A-30H-7,20-24"
283.82,4353.7,315.65,57.8,3.43,5.7,0.34,"145-882A-30H-7,80-84"
284.58,4359,316.41,52.4,3.21,7,0.43,"145-882A-31H-1,26-28"
285.07,4362.5,316.9,47.8,2.6,4.7,0.26,"145-882A-31H-1,75-77"
285.36,4364.5,317.19,46,2.66,4.4,0.25,"145-882A-31H-1,104-108"
286.57,4373,318.4,51.5,3.42,4.2,0.28,"145-882A-31H-2,75-77"
286.08,4376.6,318.91,56.7,3.36,3.2,0.19,"145-882A-31H-2,26-28"
287.22,4377.6,319.05,52.1,3.33,2.9,0.19,"145-882A-31H-2,140-144"
287.82,4381.8,319.65,70.2,4,10.1,0.58,"145-882A-31H-3,50-54"
289.32,4392.3,321.15,56,3.82,8.2,0.56,"145-882A-31H-4,50-54"
290.17,4398.2,322,55.4,3.15,4.3,0.24,"145-882A-31H-4,135-137"
290.82,4402.8,322.65,61.4,3.77,3.5,0.22,"145-882A-31H-5,50-54"
291.72,4409.1,323.55,57.1,2.58,5,0.23,"145-882A-31H-5,140-144"
292.62,4415.4,324.45,58.1,3.13,3.6,0.2,"145-882A-31H-6,80-84"
294.02,4425.2,325.85,56.7,3.01,3,0.16,"145-882A-32H-1,20-24"
294.62,4429.4,326.45,65.7,3.48,2.8,0.15,"145-882A-32H-1,80-84"
295.22,4433.6,327.05,50.9,2.52,2.1,0.1,"145-882A-32H-1,140-144"
296.12,4439.9,327.95,52,3.07,2.9,0.17,"145-882A-32H-2,80-84"
297.62,4450.5,329.45,57.3,3.2,3.2,0.18,"145-882A-32H-3,80-84"
298.22,4454.7,330.05,60.6,3.9,6.8,0.44,"145-882A-32H-3,140-144"
299.12,4461,330.95,57.3,3.41,3.2,0.19,"145-882A-32H-4,80-84"
299.72,4465.2,331.55,55.2,3.53,3.8,0.25,"145-882A-32H-4,140-144"
300.62,4471.5,332.45,60.1,3.78,4.4,0.28,"145-882A-32H-5,80-84"
301.22,4475.7,333.05,54.1,3.71,5.5,0.38,"145-882A-32H-5,140-144"
303.62,4495.1,335.45,60.5,2.6,3.5,0.15,"145-882A-32H-7,80-84"
304.12,4499.2,335.95,62.9,3.04,2.7,0.13,"145-882A-33H-1,80-84"
305.62,4511.5,337.45,63.4,3.26,2.7,0.14,"145-882A-33H-2,80-84"
307.12,4523.9,338.95,57.2,3.13,3,0.17,"145-882A-33H-3,80-84"
308.62,4536.2,340.45,66.8,3.02,4.9,0.22,"145-882A-33H-4,80-84"
309.22,4541.2,341.05,66.3,3.07,3.2,0.15,"145-882A-33H-4,140-144"
310.12,4548.6,341.95,64.6,3.52,2.7,0.15,"145-882A-33H-5,80-84"
310.72,4553.5,342.55,72.7,3.8,3,0.15,"145-882A-33H-5,140-144"
312.22,4565.9,344.05,55.7,3.03,9,0.49,"145-882A-33H-6,140-144"
313.62,4577.4,345.45,54.2,2.51,3.7,0.17,"145-882A-34H-1,80-84"
314.22,4582.3,346.05,52.9,2.34,4.7,0.21,"145-882A-34H-1,140-144"
315.12,4589.8,346.95,53.5,2.79,3.7,0.19,"145-882A-34H-2,80-84"
315.72,4594.7,347.55,42.4,2.02,4.4,0.21,"145-882A-34H-2,140-144"
316.62,4602.1,348.45,48.7,2.68,5.4,0.3,"145-882A-34H-3,80-84"
317.22,4609.5,349.05,54.7,1.74,4.8,0.15,"145-882A-34H-3,140-144"
318.12,4622.9,349.95,52.6,1.87,5.6,0.2,"145-882A-34H-4,80-84"
318.72,4631.8,350.55,45.9,1.35,3.9,0.12,"145-882A-34H-4,140-144"
319.62,4645.2,351.45,56.1,1.91,6.2,0.21,"145-882A-34H-5,80-84"
320.22,4654.2,352.05,58.6,1.7,4,0.11,"145-882A-34H-5,140-144"
321.12,4667.6,352.95,50.2,1.79,5.8,0.21,"145-882A-34H-6,80-84"
321.72,4676.5,353.55,49.4,1.65,7,0.23,"145-882A-34H-6,140-144"
322.52,4688.4,354.35,68.7,1.99,7.8,0.23,"145-882A-35H-1,20-24"
322.82,4692.9,354.65,68.6,2.23,4.2,0.13,"145-882A-35H-1,50-54"
323.12,4697.4,354.95,61.7,1.95,5.3,0.17,"145-882A-35H-1,80-84"
323.72,4706.3,355.55,53.6,1.61,8.1,0.24,"145-882A-35H-1,140-144"
324.02,4710.8,355.85,68.2,1.97,9.1,0.26,"145-882A-35H-2,20-24"
324.32,4715.2,356.15,83.7,2.57,7,0.21,"145-882A-35H-2,50-54"
