mcd,age_ka,MgCa,FeCa,AlCa,notes,
139.3,3080.3,1.02,25,29,1208_16-2 20-22,
139.39,3082.7,1.09,22,19,1208_16-2 30-32,
139.47,3084.7,0.95,21,25,1208_16-2 38-40,
139.58,3087.6,1.05,NaN,148,1208_16-2 50-52,
139.67,3090,0.93,20,10,1208_16-2 60-62,
139.86,3095,0.93,25,18,1208_16-2 80-82,
139.95,3097.5,0.96,40,42,1208_16-2 90-92,
140.05,3100,0.93,33,19,1208_16-2 100-102,
140.14,3102.1,0.96,14,57,1208_16-2 110-112,
140.25,3104.7,0.89,28,36,1208_16-2 122-124,
140.42,3108.7,0.89,20,12,1208_16-2 140-142,
140.63,3113.5,0.76,13,10,1208 16-3 12-14,
140.77,3116.8,0.79,22,12,1208 16-3 27-29,
140.91,3120,0.83,16,4,1208 16_3 42-44,
140.99,3122.1,0.8,16,4,1208 16_3 50-52,
141.1,3125.2,0.82,19,23,1208 16_3 62-64,
141.17,3127.2,0.77,13,7,1208 16_3 70-72,
141.27,3129.8,0.68,27,34,1208 16_3 80-82,
141.83,3145.1,0.8,33,60,1208 16_3 140-142,
142.11,3152.7,0.91,23,28,1208 16_4 20-22,
142.2,3154.9,0.85,26,43,1208 16_4 29-31,
142.43,3161.1,0.94,NaN,23,1208 16_4 54-56,
142.57,3164.8,0.97,43,50,1208 16_4 69-71,
142.77,3170,0.9,38,52,1208 16_4 90-92,
143.35,3184.6,0.79,15,29,1208 16-5 2-4,
143.48,3189.8,0.88,13,41,1208 16-5 15-17,
143.66,3197.2,0.68,10,6,1208 16-5 32-34,
143.71,3199.3,0.84,38,73,1208_16-5 40-42,
143.9,3207.1,0.91,58,114,1208_16-5 60-62,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text)
144.16,3217.5,0.91,16,25,1208 16-5 88-90,
144.18,3218.2,0.89,52,85,1208_16-5 90-92,
144.27,3221.5,0.83,20,21,1208_16-5 100-102,
144.37,3224.9,0.97,11,15,1208_16-5 110-112,
144.37,3224.9,1.07,20,28,1208_16-5 110-112,
144.48,3228.9,0.91,20,104,1208_16-5 122-124,
144.55,3231.6,0.79,15,20,1208_16-5 130-132,
145.21,3250,0.88,64,102,1208_16-6 50-52 sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text),
145.49,3257.5,0.79,18,191,1208_16-6 80-82,
145.78,3265,0.75,8,79,1208_16-6 110-112,
146.24,3277.5,0.84,18,33,1208_16-7 10-12,
146.34,3280,0.8,21,32,1208_16-7 20-22,
146.45,3282.6,0.77,32,447,1208_16-7 32-34,
146.53,3284.4,0.84,14,19,1208_16-7 40-42,
146.62,3286.7,0.77,17,32,1208_16-7 50-52,
146.71,3288.9,0.87,18,29,1208_16-7 60-62,
146.81,3291.1,0.76,11,8,1208_16-7 70-72,
147.32,3303.4,0.89,19,24,1208_17-1 13-15,
147.6,3310,0.71,15,10,1208 17-1 42-44,
147.79,3314.2,0.85,34,48,1208 17-1 63-65,
147.87,3315.9,0.81,129,78,1208 17-1 71-73,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text)
147.87,3315.9,0.79,25,23,1208 17-1 71-73,
