depth,age_ka,label,d18O,d18O_cibs,d13C_u,d13C_cibs
201.86,2530,"167-1014A-23X-3,115",2.71,,-0.46,
203.36,2545,"167-1014A-23X-4,115",2.35,,-0.48,
204.93,2560,"167-1014A-23X-6,35",2.58,,-0.59,
209.04,2585,"167-1014A-24X-2,35",2.53,,-0.24,
210.54,2610,"167-1014A-24X-3,35",2.27,2.34,-0.21,-0.22
212.04,2625,"167-1014A-24X-4,35",2.22,,-0.45,
213.54,2640,"167-1014A-24X-5,35",2.54,2.98,-0.46,-0.57
214.5,2650,"167-1014A-24X-6,35",2.72,,-0.76,
216,2660,"167-1014A-24X-7,35",2.86,2.39,-0.56,-0.26
216.87,2680,"167-1014A-24X-CC,30",2.63,,-0.74,
220.64,2700,"167-1014A-25X-2,114",2.26,2.46,-0.09,0.11
223.6,2720,"167-1014A-25X-4,110",2.28,2.9,-0.09,-0.41
226.85,2730,"167-1014A-26X-3,35",3.34,3.17,-0.17,-0.26
228.05,2740,"167-1014A-27X-1,35",2.78,2.85,-0.45,-0.49
231.11,2750,"167-1014A-27X-3,115",2.17,2.5,-0.23,-0.09
234.21,2755,"167-1014A-27X-5,115",2.26,2.23,-0.32,-0.49
236.1,2760,"167-1014A-27X-CC,30",2.44,2.36,-0.43,-0.49
239.95,2780,"167-1014A-28X-2,115",2.18,2.23,-0.05,-0.16
247.25,2800,"167-1014A-29X-1,35",2.48,2.34,-0.09,-0.17
250.05,2810,"167-1014A-29X-3,15",2.19,2.15,-0.13,-0.14
253.45,2830,"167-1014A-30X-3,35",2.55,2.49,-0.53,-0.54
256.45,2840,"167-1014A-30X-5,35",2.2,2.13,-0.28,-0.28
259.59,2860,"167-1014A-31X-3,113",2.23,1.99,-0.16,-0.11
262.59,2865,"167-1014A-31X-5,113",2.34,2.26,-0.23,-0.41
266.55,2870,"167-1014A-32X-1,35",2.07,2.29,-0.28,-0.56
269.63,2890,"167-1014A-32X-3,115",2.37,2.28,-0.34,-0.4
272.42,2895,"167-1014A-32X-CC,35",2.18,2.16,-0.11,-0.19
278.44,2920,"167-1014A-33X-2,114",2.04,1.71,-0.09,-0.01
281.09,2925,"167-1014A-33X-5,35",2.15,2.01,-0.13,-0.29
286.65,2930,"167-1014A-34X-1,115",2.18,2.12,-0.16,-0.23
289.65,2950,"167-1014A-34X-3,35",2.25,,-0.4,
292.65,2970,"167-1014A-34X-5,115",2.26,2.13,-0.18,-0.22
295.45,2980,"167-1014A-35X-1,35",2.64,,-0.62,
298.53,2990,"167-1014A-35X-3,113",2.53,2.28,-0.37,-0.55
301.53,3000,"167-1014A-35X-5,113",2.2,2.06,-0.27,-0.28
305.15,3010,"167-1014A-36X-1,35",2.16,1.84,-0.15,-0.25
307.83,3015,"167-1014A-36X-3,115",2.4,2.09,-0.4,-0.43
310.63,3030,"167-1014A-36X-5,115",2.13,1.99,-0.24,-0.27
313.63,3040,"167-1014A-36X-7,115",1.94,1.78,-0.34,-0.21
317.45,3050,"167-1014A-37X-3,115",2.25,1.8,-0.3,-0.12
318.05,3060,"167-1014A-37X-4,35",2.07,2.06,-0.03,-0.12
318.95,3070,"167-1014A-37X-4,115",2.02,1.99,0,0.09
319.55,3095,"167-1014A-37X-5,25",2.02,,-0.13,
320.45,3131,"167-1014A-37X-5,115",1.76,1.84,-0.17,-0.05
321.05,3156,"167-1014A-37X-6,25",1.64,,-0.31,
321.95,3193,"167-1014A-37X-6,115",2.28,,-0.06,
322.55,3217,"167-1014A-37X-7,25",2.12,,-0.07,
323.45,3254,"167-1014A-37X-7,115",1.92,1.93,-0.21,-0.27
324.45,3295,"167-1014A-38X-1,35",2.23,,-0.39,
325.23,3327,"167-1014A-38X-1,113",2.24,,-0.22,
325.95,3356,"167-1014A-38X-2,35",2.18,,-0.15,
326.73,3388,"167-1014A-38X-2,113",2.09,1.91,-0.05,-0.07
327.45,3418,"167-1014A-38X-3,35",2.25,,-0.19,
328.23,3450,"167-1014A-38X-3,113",2.05,,-0.17,
328.95,3479,"167-1014A-38X-4,35",2.14,,-0.11,
329.73,3511,"167-1014A-38X-4,113",2.07,2.03,-0.1,-0.1
330.45,3541,"167-1014A-38X-5,35",2.18,,-0.08,
331.23,3572,"167-1014A-38X-5,113",2.1,,-0.23,
331.95,3602,"167-1014A-38X-6,35",2.27,-0.12,0,
332.72,3633,"167-1014A-38X-6,112",2.22,2.26,-0.31,-0.34
334.05,3688,"167-1014A-39X-1,35",2.3,,-0.32,
334.91,3723,"167-1014A-39X-2,35",2.37,,-0.3,
335.71,3756,"167-1014A-39X-2,115",2.13,,-0.13,
336.41,3784,"167-1014A-39X-3,115",1.95,,-0.14,
337.21,3817,"167-1014A-39X-3,115",1.97,,-0.17,
337.91,3846,"167-1014A-39X-4,35",2.04,,-0.34,
338.58,3873,"167-1014A-39X-5,35",2.13,,-0.4,
339.38,3906,"167-1014A-39X-5,115",2.2,2.33,-0.35,-0.37
339.93,3928,"167-1014A-39X-6,35",2.34,,-0.44,
340.73,3961,"167-1014A-39X-6,115",2.35,,-0.41,
341.74,4002,"167-1014A-39X-CC,35",1.94,,-0.13,
343.72,4084,"167-1014A-40X-1,32",2.2,2.13,-0.46,-0.42
344.12,4100,"167-1014A-40X-2,35",2.29,,-0.53,
344.92,4133,"167-1014A-40X-2,115",2.02,,-0.28,
345.62,4161,"167-1014A-40X-3,35",1.87,,-0.32,
346.42,4194,"167-1014A-40X-3,115",1.9,1.95,-0.2,-0.16
347.12,4223,"167-1014A-40X-4,35",1.99,,-0.18,
347.92,4255,"167-1014A-40X-4,115",2.09,,-0.37,
348.62,4284,"167-1014A-40X-5,35",2.14,,-0.15,
349.42,4317,"167-1014A-40X-5,115",1.94,1.9,-0.02,-0.07
350.39,4356,"167-1014A-40X-6,115",2.15,,-0.3,
351.62,4407,"167-1014A-40X-7,35",1.92,,-0.17,
352.42,4439,"167-1014A-40X-7,115",1.98,1.84,-0.37,-0.16
352.87,4458,"167-1014A-40X-CC,35",1.96,,-0.37,
353.11,4468,"167-1014A-41X-1,110",2.13,,-0.53,
354.82,4538,"167-1014A-41X-2,32",1.95,,-0.33,
355.59,4569,"167-1014A-41X-2,109",1.87,1.96,-0.22,-0.35
355.97,4585,"167-1014A-41X-3,32",1.96,1.84,-0.22,-0.28
356.79,4618,"167-1014A-41X-3,114",2.16,,-0.35,
357.48,4647,"167-1014A-41X-4,33",1.88,,-0.26,
358.27,4679,"167-1014A-41X-4,112",1.85,1.83,-0.29,-0.37
358.98,4708,"167-1014A-41X-5,33",2.03,,-0.32,
362.92,4869,"167-1014A-42X-1,32",1.86,,-0.3,
363.74,4903,"167-1014A-42X-1,114",1.85,,-0.24,
364.42,4930,"167-1014A-42X-2,32",1.92,2.41,-0.26,-0.48
365.24,4964,"167-1014A-42X-2,114",2.02,,-0.35,
365.92,4992,"167-1014A-42X-3,32",1.98,,-0.46,
366.74,5025,"167-1014A-42X-3,114",1.86,,-0.23,
367.42,5053,"167-1014A-42X-4,32",1.76,1.76,-0.3,-0.16
368.24,5087,"167-1014A-42X-4,114",1.93,2.03,-0.31,-0.3
