Age_Ma_PLIOVAR,age_ka,temp_min2,temp_min1,temp,temp_plus1,temp_plus2,SST
2.805,2805.393,18.72354922,19.61680753,21.02408956,22.4359757,23.38119254,21.02408956
2.807,2807.096,18.38982709,19.29233391,20.69009791,22.08702178,23.02914765,20.69009791
2.809,2808.8,18.43768753,19.33369757,20.74883029,22.15875824,23.10342983,20.74883029
2.811,2810.503,18.21427389,19.10829518,20.50304641,21.91679782,22.83694013,20.50304641
2.813,2813.229,18.60793445,19.51454127,20.92391002,22.33063956,23.27699648,20.92391002
2.814,2813.57,17.95619574,18.85860109,20.27075281,21.68947815,22.64170991,20.27075281
2.816,2815.614,18.70633274,19.62544586,21.01949327,22.42203201,23.34699459,21.01949327
2.817,2817.317,18.74938595,19.65891529,21.05323153,22.47361293,23.42381474,21.05323153
2.819,2819.021,18.40400219,19.29651782,20.68382696,22.09761867,23.01822165,20.68382696
2.821,2820.76,18.64511557,19.52908618,20.94891484,22.34854942,23.28550012,20.94891484
2.823,2822.5,19.24546546,20.1752567,21.58837116,22.98427536,23.95937806,21.58837116
2.824,2823.943,18.91144826,19.82944482,21.21431547,22.63507902,23.59197628,21.21431547
2.825,2825.386,19.29403041,20.21672353,21.61770033,23.04658017,24.03177946,21.61770033
2.827,2826.86,19.15118252,20.08349469,21.48826553,22.88124611,23.8453686,21.48826553
2.828,2828.335,19.58237573,20.51783376,21.92238068,23.36011491,24.34605593,21.92238068
2.83,2829.809,19.23185545,20.14444435,21.54114393,22.98176062,23.97452093,21.54114393
2.832,2832.168,19.24484972,20.14209275,21.54603695,22.96690579,23.96115647,21.54603695
2.832,2832.463,18.628101,19.54965298,20.92286279,22.33802474,23.2745035,20.92286279
2.834,2834.232,19.06200958,19.97118881,21.37693493,22.79119515,23.78141884,21.37693493
2.836,2835.706,19.00355533,19.92474146,21.3145851,22.74426432,23.70782056,21.3145851
2.837,2837.181,18.96579696,19.87150752,21.25664082,22.67656655,23.64753581,21.25664082
2.839,2838.59,18.56643799,19.47019556,20.87834551,22.27791945,23.21452811,20.87834551
2.84,2840,19.18879185,20.11742238,21.49736927,22.91815275,23.90113967,21.49736927
2.842,2841.81,18.68560967,19.6013136,21.00378234,22.40899876,23.35241425,21.00378234
2.844,2843.545,18.31244357,19.23936818,20.64395569,22.05636923,22.99124,20.64395569
2.845,2845.279,18.54698219,19.43973185,20.83237663,22.24105209,23.17554161,20.83237663
2.848,2847.534,18.42378263,19.34512678,20.74611519,22.15725557,23.0669576,20.74611519
2.849,2848.748,17.89261121,18.80781461,20.20808968,21.61035117,22.52810623,20.20808968
2.85,2850.483,18.00193428,18.91447843,20.31855186,21.69853257,22.65454252,20.31855186
2.852,2852.217,17.75900935,18.690461,20.0523544,21.47449138,22.40311873,20.0523544
2.854,2853.952,18.26552477,19.1852785,20.57985555,21.97103736,22.90082657,20.57985555
2.856,2855.686,18.48194164,19.35818292,20.75908873,22.15751304,23.0985891,20.75908873
2.858,2857.5,18.58905344,19.49607519,20.90284209,22.3146389,23.25284891,20.90284209
2.86,2859.9,18.87244176,19.78198222,21.18326756,22.59808518,23.53763337,21.18326756
2.863,2863.169,18.48118486,19.37916869,20.77474409,22.18646627,23.11085751,20.77474409
2.865,2864.929,18.37474177,19.27884958,20.6847642,22.08380729,23.01960123,20.6847642
2.867,2867.444,18.19104347,19.11784791,20.50646524,21.89136812,22.83300809,20.50646524
2.87,2869.959,18.44336409,19.36426363,20.76205293,22.16901437,23.11135544,20.76205293
2.872,2872.474,18.07612849,18.98713043,20.38885981,21.78140704,22.70830902,20.38885981
2.874,2874.486,18.05048752,18.95565453,20.3558371,21.75583106,22.65720636,20.3558371
2.878,2877.5,18.05723167,18.95998108,20.36777341,21.74769285,22.67503323,20.36777341
2.88,2879.645,17.55608453,18.48204254,19.8789179,21.27960833,22.19813372,19.8789179
2.882,2881.787,17.84638301,18.72348706,20.12185837,21.52438346,22.44490993,20.12185837
2.884,2884.357,17.62110331,18.52652725,19.93530596,21.33856918,22.2668245,19.93530596
2.886,2886.07,17.61260746,18.53195918,19.909261,21.32619572,22.25312,19.909261
2.888,2888.212,17.63378868,18.52906111,19.94256009,21.34472474,22.24868812,19.94256009
2.89,2890.354,17.71068773,18.63458449,20.02402226,21.41449255,22.36645467,20.02402226
2.893,2892.5,18.14362725,19.05291714,20.42842824,21.8113546,22.72892136,20.42842824
2.894,2894.252,18.38923708,19.28276446,20.67923591,22.06324377,22.99250226,20.67923591
2.897,2896.533,18.392435,19.29616955,20.68489821,22.09099884,23.05654391,20.68489821
2.898,2897.762,18.41790437,19.31666002,20.70992329,22.1195786,23.07173725,20.70992329
2.9,2899.517,17.9797797,18.89730666,20.29281433,21.68722215,22.62812709,20.29281433
2.901,2901.272,18.07209845,18.98389626,20.38332151,21.79062633,22.68973617,20.38332151
2.903,2903.027,17.91601254,18.84064878,20.24878695,21.65043379,22.56878169,20.24878695
2.905,2904.783,18.02540613,18.93731772,20.35070217,21.78140316,22.70024534,20.35070217
2.907,2906.538,17.80300745,18.70839683,20.08351335,21.48927389,22.42969392,20.08351335
2.908,2908.293,17.9760173,18.88553678,20.28455083,21.69701457,22.61940021,20.28455083
2.91,2910,17.64103087,18.56344142,19.95131995,21.34637245,22.26850793,19.95131995
2.914,2913.839,17.27067484,18.18498427,19.59598698,20.9888937,21.90677225,19.59598698
2.918,2917.575,16.79823328,17.70022446,19.08227731,20.48401645,21.41560888,19.08227731
2.921,2921.312,16.92672317,17.82102094,19.19925495,20.58537737,21.50184291,19.19925495
2.925,2925.049,15.84705963,16.74366824,18.14424956,19.53307145,20.46731075,18.14424956
2.929,2928.786,16.25192715,17.14955118,18.55999322,19.95638468,20.86530529,18.55999322
2.933,2932.522,16.63481807,17.54919249,18.94711716,20.33922417,21.25368781,18.94711716
2.937,2937.5,17.51682498,18.43085979,19.80339154,21.20393426,22.13698153,19.80339154
2.939,2938.946,17.47218783,18.36241945,19.74633311,21.14768021,22.05521044,19.74633311
2.941,2941.111,17.40018138,18.30210336,19.69732785,21.10920986,22.01126246,19.69732785
2.943,2943.277,16.97595082,17.86785235,19.27165666,20.66532512,21.59016725,19.27165666
2.945,2945.442,16.77967452,17.66763708,19.06543636,20.46015111,21.36817041,19.06543636
2.947,2947.174,17.242797,18.16583049,19.5526864,20.96535523,21.87521771,19.5526864
2.95,2949.772,17.48522926,18.40651963,19.8096057,21.22918986,22.13761374,19.8096057
2.952,2951.937,17.26893894,18.17515746,19.58120387,20.98908829,21.91873456,19.58120387
2.954,2954.103,18.26649478,19.16732368,20.55822388,21.96591463,22.89313155,20.55822388
2.956,2956.268,18.06619765,18.98414448,20.37943698,21.75861411,22.66021353,20.37943698
2.958,2958.433,17.85186353,18.75117617,20.15221297,21.58106869,22.47490053,20.15221297
