age_ka,SST,temp_min2,temp_min1,temp,temp_plus1,temp_plus2
2300,24.9,21.94189514,22.88987965,24.39156011,26.23508074,27.75504199
2302.87,24.8,21.84329029,22.77294246,24.30865962,26.10872289,27.59484214
2305.85,24.7,21.69473343,22.65398687,24.16023536,25.92466806,27.37372139
2307.35,24.9,21.89779626,22.8622478,24.39675531,26.24938229,27.80088297
2309.14,24.7,21.70692152,22.65274552,24.15936618,25.92537377,27.34330376
2310.33,24.8,21.8072769,22.75947156,24.27494287,26.06977383,27.55736091
2311.83,24.5,21.50049545,22.46356446,23.94005424,25.65636636,27.07659781
2313.32,24.6,21.5803947,22.5347759,24.0350355,25.78523113,27.20797868
2314.81,24.1,21.10527176,22.00279103,23.47101492,25.07133294,26.32015754
2316.31,24.4,21.39459922,22.34220799,23.81784178,25.48337567,26.84620129
2319.29,24.3,21.26694455,22.23002014,23.70723441,25.37388714,26.67599752
2321.84,24.3,21.28483881,22.23728669,23.72035523,25.35627964,26.62815337
2323.86,24.4,21.3689324,22.32093342,23.80215131,25.48064692,26.83687974
2325.6,24.7,21.70077116,22.61584612,24.15442013,25.94061701,27.37797734
2327.76,24.4,21.41682521,22.35406538,23.82245921,25.49527671,26.82487236
2329.73,24.4,21.4053913,22.35067019,23.82386908,25.47250647,26.85211559
2330.02,23.8,20.77226769,21.69916527,23.13964537,24.7060279,25.90077536
2331.69,24,20.95008778,21.88802146,23.35530311,24.94296427,26.19165072
2332.77,23.6,20.57501771,21.50230751,22.93212764,24.47744087,25.62415071
2333.67,24,20.97934497,21.89935266,23.35829659,24.95690338,26.23148425
2335.61,23.7,20.68460815,21.61834001,23.04158816,24.57853858,25.76248597
2335.71,23.5,20.45288108,21.38698123,22.8181134,24.31352496,25.4442469
2337.81,24,20.95370583,21.89332429,23.34096922,24.96114399,26.18330336
2338.23,24,20.98122296,21.92491461,23.35417419,24.93919159,26.18954379
2340.76,24.4,21.39703456,22.33701215,23.8115217,25.47118552,26.81017388
2343.23,25,22.02201659,23.00186839,24.53607329,26.38721909,27.9268138
2345.61,24.5,21.51073341,22.43234536,23.91597204,25.62056958,26.99015393
2347.77,24.5,21.5142095,22.43432635,23.92781557,25.63803164,27.00986434
2350.57,24.5,21.48982212,22.44283919,23.92917717,25.65997093,27.05772053
2352.95,24.1,21.06316742,22.01793091,23.47965789,25.08211224,26.34169724
2355.59,24.2,21.18826612,22.11689569,23.5835617,25.24319863,26.5082002
2358.22,24.1,21.077317,22.00937828,23.4934645,25.11128123,26.38386605
2360.6,24.5,21.51848023,22.44593463,23.92308978,25.61659745,26.99512012
2363.23,24.5,21.50410927,22.43039448,23.93199744,25.62747682,26.99239357
2365.6,24.6,21.60507878,22.56057383,24.05577615,25.78133939,27.22670627
2367.92,24.4,21.35600659,22.31272482,23.81151034,25.49825152,26.89180587
2370.16,24.7,21.71438498,22.65860993,24.18347288,25.9561125,27.42500516
2372.51,24.4,21.39986655,22.33696891,23.82617614,25.50471594,26.81042731
2374.62,24.7,21.69776317,22.64743567,24.17546104,25.92427973,27.37562575
2377.17,24.8,21.80225934,22.75891471,24.29775771,26.08212206,27.57993703
2379.13,24.9,21.90971114,22.86355705,24.41368615,26.26945154,27.78641944
2381,25.1,22.14467072,23.1033923,24.67491935,26.54990003,28.19454084
2383.07,24.9,21.92115625,22.87834888,24.4138844,26.22229246,27.73044847
2384.94,25,22.00913423,22.97124739,24.53558977,26.40158952,27.99301217
2386.83,25,22.02540423,22.98110006,24.57490023,26.39671651,27.98034775
2388.88,24.6,21.58662298,22.54475983,24.04347407,25.77727219,27.17803631
2390.57,24.5,21.51587547,22.45139737,23.93772279,25.66738026,27.07100016
2392.45,24.2,21.17788095,22.10219314,23.59408911,25.21870376,26.51349748
2394.62,24.3,21.31038906,22.24835664,23.72315485,25.35146735,26.65342778
2396.93,24.3,21.29818012,22.22888785,23.70185262,25.35374006,26.64315533
2399.26,24.4,21.39475036,22.31732767,23.8234253,25.51070423,26.81165699
2401.55,24.6,21.60655082,22.55373527,24.06273643,25.80269717,27.19755204
2403.82,24.8,21.81430839,22.77587966,24.30495836,26.1107867,27.62544129
2406.08,24.4,21.39951897,22.33295016,23.82479554,25.51126226,26.8363471
2408.35,25,22.01196804,22.96418073,24.53054766,26.41011413,28.03824801
2410.62,25.2,22.23026684,23.22152441,24.80697134,26.70261406,28.38032352
2412.89,25.1,22.15138123,23.10967107,24.66908652,26.55426497,28.12603033
2415.16,25.1,22.16560509,23.07898807,24.65962205,26.56507674,28.18524492
2417.43,25.4,22.45968939,23.44584557,25.0608517,27.0860863,28.85118095
2419.69,25.1,22.13392773,23.09433214,24.63689968,26.49451034,28.10469956
2421.6,24.5,21.48384604,22.43261502,23.93885547,25.64364604,27.02360884
2423.57,23.6,20.57796709,21.48961139,22.93511794,24.45356356,25.58016518
2425.59,22.6,19.53359736,20.46172434,21.88093484,23.32146433,24.3135581
2427.6,22.8,19.75880556,20.69375496,22.0889963,23.52470466,24.55702819
2429.82,22.8,19.72449624,20.66458253,22.09730224,23.50814641,24.5556367
2431.88,23.3,20.24756191,21.15734958,22.59815471,24.09841694,25.17571503
2434.22,22.9,19.85411702,20.78100954,22.18138806,23.6588096,24.73291507
2436.64,22.8,19.76935874,20.68966693,22.07876037,23.51043107,24.50828819
2439.05,22.8,19.77382631,20.66904578,22.09802279,23.51370041,24.52823636
2441.47,22.7,19.65894475,20.54561106,21.96948327,23.40944707,24.4358838
2443.49,22.9,19.87020782,20.7840082,22.1980545,23.65116172,24.71976712
2445.68,23.1,20.01274819,20.95785299,22.38941846,23.85811349,24.92823275
2447.73,23.3,20.25106665,21.17492285,22.60859158,24.09008828,25.19784653
2449.74,23.7,20.69470693,21.59444885,23.01643407,24.55531043,25.72059442
2451.56,23.9,20.88008303,21.81365203,23.25237765,24.78983561,26.03683472
2453.57,23.8,20.76120956,21.69879156,23.13985504,24.6979178,25.9134611
2455.67,24.2,21.2049194,22.15064074,23.57977937,25.23203467,26.52016449
2458.15,23.8,20.75451682,21.67014365,23.13868058,24.73041239,25.92177491
2460.99,25,22.0165369,22.95409958,24.54108035,26.42822129,28.01625134
2463.57,25,22.00514155,23.00108201,24.54523078,26.38717469,27.97820967
2466.15,25.2,22.2329737,23.20572784,24.77182168,26.69198308,28.33795215
2469.13,25.3,22.35143456,23.34138294,24.92501497,26.92241102,28.65649443
2472.26,25.2,22.26049282,23.21310164,24.79006638,26.69259614,28.40263669
2475.47,24.8,21.81757924,22.75562299,24.29540126,26.07884721,27.58047335
2478.64,24.8,21.79392858,22.7669168,24.29524883,26.06547301,27.54301724
2481.31,24.7,21.70374426,22.65597459,24.18107765,25.93315511,27.38400287
2483.24,24.4,21.38572961,22.33987436,23.80621805,25.46619302,26.78473283
2485.26,24.2,21.17903934,22.11901675,23.59247242,25.24839384,26.5092705
2487.09,24.1,21.1131724,22.03076644,23.4812366,25.10588984,26.32604963
2488.92,24.2,21.17815766,22.11862334,23.56781753,25.18438302,26.4665278
2491.02,23.6,20.55190061,21.47619787,22.91652637,24.4442765,25.59429064
2493.32,23.8,20.76738283,21.69840747,23.13577491,24.70276267,25.86583441
2495.68,24.1,21.08210907,22.02620318,23.47526742,25.10863293,26.36530495
2497.98,24.5,21.49607637,22.43505826,23.93630614,25.64043684,26.99940291
2500.31,24.9,21.89308133,22.85481704,24.4002764,26.26376874,27.83827698
2502.08,25.5,22.5778588,23.56191519,25.18811717,27.23429139,28.98658925
2502.62,25.3,22.35037782,23.32045402,24.90718419,26.87652217,28.63855902
2504.52,25.5,22.54063368,23.53569573,25.16184817,27.22656989,29.02194842
2504.91,25.2,22.24977343,23.22312451,24.7966183,26.74514153,28.3863256
2506.96,25.1,22.11540519,23.09115846,24.66389553,26.55716143,28.16289629
2507.18,24.5,21.49212567,22.43225961,23.93438126,25.62707374,27.01148131
2509.4,24.6,21.57732104,22.54952453,24.04846506,25.80426107,27.28902171
2509.49,23,19.94500433,20.89488273,22.30084282,23.73769264,24.80461975
