Leg ,Hole,Sample ID,Depth (mbsf),Age (Ma),age_ka,Species,d13C,d18O,,,,,,,,
198,1209A,"7H-1, 77-79",56.47,3.523,3523.072,Gs. obliquus,0.96,-0.21,,,,,,,,
198,1209A,"7H-1, 105-107",56.76,3.537,3536.629,Both,0.67,0.25,,,,,,,,
198,1209A,"7H-1, 127-129",56.97,3.546,3546.446,Gs. obliquus,1.41,-0.64,,,,,,,,
198,1209A,"7H-2, 15-17",57.36,3.565,3564.678,Gs. obliquus,1.10,-0.84,,,,,,,,
198,1209A,"7H-2, 27-29",57.47,3.570,3569.821,Gs. obliquus,1.18,-1.15,,,,,,,,
198,1209A,"7H-2, 45-47",57.66,3.579,3578.703,Gs. obliquus,1.12,-0.75,,,,,,,,
198,1209A,"7H-2, 60-62",57.81,3.586,3585.715,Gs. obliquus,1.03,0.50,,,,,,,,
198,1209A,"7H-2, 77-79",57.97,3.593,3593.195,Gs. obliquus,0.48,-0.80,,,,,,,,
198,1209A,"7H-2, 105-107",58.26,3.613,3612.597,Gs. obliquus,1.26,-0.50,,,,,,,,
198,1209A,"7H-2, 127-129",58.47,3.628,3627.751,Gs. obliquus,0.97,-0.55,,,,,,,,
198,1209A,"7H-3, 15-17",58.86,3.656,3655.894,Gs. obliquus,0.90,0.09,,,,,,,,
198,1209A,"7H-3, 27-29",58.97,3.664,3663.832,Gs. obliquus,0.94,0.03,,,,,,,,
198,1209A,"7H-3, 45-47",59.16,3.678,3677.542,Gs. obliquus,0.95,0.27,,,,,,,,
198,1209A,"7H-3, 60-62",59.31,3.688,3688.366,Gs. obliquus,0.95,-0.04,,,,,,,,
198,1209A,"7H-3, 127-129",59.97,3.736,3735.993,Gs. obliquus,1.07,-0.03,,,,,,,,
198,1209A,"7H-3, 145-147",60.16,3.750,3749.703,Gs. obliquus,1.11,-0.42,,,,,,,,
198,1209A,"7H-4, 15-17",60.36,3.764,3764.136,Gs. obliquus,0.52,-0.05,,,,,,,,
198,1209A,"7H-4, 27-29",60.47,3.772,3772.073,Both,0.41,0.21,,,,,,,,
198,1209A,"7H-4, 45-47",60.66,3.786,3785.784,Gs. obliquus,0.11,0.17,,,,,,,,
198,1209A,"7H-4, 60-62",60.81,3.797,3796.608,Gs. obliquus,0.68,-0.24,,,,,,,,
198,1209A,"7H-4, 77-79",60.98,3.809,3808.875,Gs. obliquus,0.99,-0.21,,,,,,,,
198,1209A,"7H-5, 15-17",61.86,3.872,3872.377,Gs. obliquus,0.69,0.08,,,,,,,,
198,1209A,"7H-5, 27-29",61.97,3.880,3880.315,Gs. obliquus,0.92,0.10,,,,,,,,
198,1209A,"7H-5, 45-47",62.16,3.894,3894.026,Gs. obliquus,0.59,0.19,,,,,,,,
198,1209A,"7H-5, 60-62",62.31,3.905,3904.850,Gs. obliquus,0.21,0.16,,,,,,,,
198,1209A,"7H-5, 77-79",62.47,3.916,3916.396,Gs. obliquus,0.75,0.12,,,,,,,,
198,1209A,"7H-5, 145-147",63.16,3.966,3966.187,Gs. obliquus,1.13,-0.43,,,,,,,,
198,1209A,"7H-6, 60-62",63.81,4.013,4013.092,Gs. obliquus,1.02,0.29,,,,,,,,
198,1209A,"7H-6, 127-129",64.47,4.061,4060.718,Gs. obliquus,0.11,0.28,,,,,,,,
198,1209A,"7H-6, 145-147",64.66,4.074,4074.429,Gs. obliquus,0.81,0.23,,,,,,,,
198,1209A,"7H-7, 27-29",64.97,4.097,4096.799,Gs. obliquus,0.81,0.03,,,,,,,,
198,1209A,"8H-1, 105-107",66.26,4.189,4189.249,Gs. obliquus,0.53,-0.18,,,,,,,,
198,1209A,"8H-1, 145-147",66.66,4.212,4211.736,Gs. obliquus,0.97,-0.68,,,,,,,,
198,1209A,"8H-2, 15-17",66.86,4.223,4222.980,Gs. obliquus,0.73,-0.02,,,,,,,,
198,1209A,"8H-2, 60-62",67.31,4.248,4248.279,Gs. obliquus,0.55,0.03,,,,,,,,
198,1209A,"8H-2, 77-79",67.47,4.257,4257.274,Gs. obliquus,0.60,-0.58,,,,,,,,
198,1209A,"8H-2, 105-107",67.76,4.274,4273.577,Gs. obliquus,0.91,-0.79,,,,,,,,
198,1209A,"8H-2, 127-129",67.97,4.285,4285.383,Gs. obliquus,0.09,0.07,,,,,,,,
198,1209A,"8H-3, 15-17",68.36,4.313,4312.948,Gs. obliquus,1.11,-0.38,,,,,,,,
198,1209A,"8H-3, 45-47",68.66,4.343,4342.828,Gs. obliquus,1.08,-0.12,,,,,,,,
198,1209A,"8H-3, 60-62",68.81,4.358,4357.768,Gs. obliquus,0.80,-0.27,,,,,,,,
198,1209A,"8H-3, 77-79",68.97,4.374,4373.705,Gs. obliquus,0.80,0.17,,,,,,,,
198,1209A,"8H-3, 105-107",69.26,4.403,4402.589,Gs. obliquus,0.76,0.00,,,,,,,,
198,1209A,"8H-3, 127-129",69.47,4.424,4423.505,Gs. obliquus,0.73,-0.16,,,,,,,,
198,1209A,"8H-4, 15-17",69.86,4.462,4462.349,Gs. obliquus,1.06,-0.16,,,,,,,,
198,1209A,"8H-4, 27-29",69.97,4.473,4473.305,Gs. obliquus,0.45,0.02,,,,,,,,
198,1209A,8H-4. 45-47,70.16,4.492,4492.230,Gs. obliquus,0.56,-0.26,,,,,,,,
198,1209A,"8H-4, 105-107",70.76,4.552,4551.990,Gs. obliquus,1.31,-0.16,,,,,,,,
198,1209A,"8H-4, 127-129",70.97,4.573,4572.906,Gs. obliquus,0.81,-0.26,,,,,,,,
198,1209A,"8H-5, 15-17",71.36,4.612,4611.751,Gs. obilquus,0.63,-0.41,,,,,,,,
198,1209A,"8H-5, 27-29",71.47,4.623,4622.707,Gs. obliquus,0.97,-0.74,,,,,,,,
198,1209A,"8H-5, 77-79",71.97,4.673,4672.507,Gs. obliquus,1.10,-0.25,,,,,,,,
198,1209A,"8H-5, 105-107",72.26,4.701,4701.391,Gs. obliquus,0.65,-0.39,,,,,,,,
198,1209A,"8H-5, 127-129",72.47,4.722,4722.307,Gs. obliquus,1.29,-0.12,,,,,,,,
198,1209A,"8H-6, 45-47",73.16,4.791,4791.032,Gs. obliquus,0.66,-0.04,,,,,,,,
198,1209A,"8H-6, 60-62",73.31,4.807,4807.083,Gs. obliquus,1.17,-0.56,,,,,,,,
198,1209A,"8H-6, 127-129",73.97,4.883,4883.298,Gs. obliquus,0.74,0.11,,,,,,,,
198,1209A,"9H-1, 127.5-129.5",75.975,5.026,5026.281,Gs. obilquus,0.37,-2.49,,,,,,,,
198,1209A,"9H-2, 27-29",76.475,5.064,5063.820,Gs. obliquus,0.61,-0.04,,,,,,,,
