Leg ,Hole,Sample ID,Depth (mbsf),Age (Ma),age_ka,Species,d13C,d18O,,,,,,,,
198,1207A,"6H-2, 40-42",44.71,2.663,2663.475,Gs. ruber,1.777,-0.502,,,,,,,,
198,1207A,"6H-2, 60-62",44.91,2.674,2673.914,Gs. ruber,1.504,-0.762,,,,,,,,
198,1207A,"6H-2, 100-102",45.31,2.695,2694.794,Gs. ruber,0.824,-0.323,,,,,,,,
198,1207A,"6H-2, 127-129",45.57,2.708,2708.366,Gs. ruber,1.807,0.021,,,,,,,,
198,1207A,"6H-3, 5-7",45.86,2.724,2723.503,Gs. ruber,0.980,0.236,,,,,,,,
198,1207A,"6H-3, 27-29",46.07,2.734,2734.465,Gs. ruber,1.402,-0.395,,,,,,,,
198,1207A,"6H-3, 40-42",46.21,2.742,2741.773,Gs. ruber,1.018,0.102,,,,,,,,
198,1207A,"6H-3, 77-79",46.57,2.761,2760.565,Gs. ruber,1.587,-0.106,,,,,,,,
198,1207A,"6H-3, 100-102",46.81,2.773,2773.093,Gs. ruber,1.144,0.176,,,,,,,,
198,1207A,"6H-3, 127-129",47.07,2.787,2786.664,Gs. ruber,1.322,-0.040,,,,,,,,
198,1207A,"6H-3, 145-147",47.26,2.797,2796.582,Gs. ruber,1.596,-0.558,,,,,,,,
198,1207A,"6H-4, 5-7",47.36,2.802,2801.802,Gs. ruber,1.405,-0.017,,,,,,,,
198,1207A,"6H-4, 27-29",47.57,2.813,2812.764,Gs. ruber,1.886,-0.259,,,,,,,,
198,1207A,"6H-4, 27-29",47.57,2.813,2812.764,Gs. ruber,0.964,0.544,,,,,,,,
198,1207A,"6H-4, 40-42",47.71,2.820,2820.072,Gs. ruber,1.415,-0.100,,,,,,,,
198,1207A,"6H-4, 100-102",48.31,2.851,2851.391,Gs. ruber,1.038,0.315,,,,,,,,
198,1207A,"6H-4, 108-110",48.39,2.856,2855.567,Gs. ruber,1.462,-0.354,,,,,,,,
198,1207A,"6H-4, 120-122",48.51,2.862,2861.831,Gs. ruber,1.034,-0.434,,,,,,,,
198,1207A,"6H-5, 5-7",48.86,2.880,2880.101,Gs. ruber,1.188,-0.004,,,,,,,,
198,1207A,"6H-5, 40-42",49.21,2.898,2898.370,Gs. ruber,1.542,-0.197,,,,,,,,
198,1207A,"6H-5, 60-62",49.41,2.909,2908.810,Gs. ruber,1.724,-0.752,,,,,,,,
198,1207A,"6H-5, 77-79",49.57,2.917,2917.162,Gs. ruber,1.592,-0.519,,,,,,,,
198,1207A,"6H-5, 100-102",49.81,2.930,2929.690,Gs. ruber,1.420,-0.683,,,,,,,,
198,1207A,"6H-5, 127-129",50.07,2.943,2943.262,Gs. ruber,1.820,-0.928,,,,,,,,
198,1207A,"6H-6, 5-7",50.36,2.958,2958.399,Gs. ruber,1.275,-0.040,,,,,,,,
198,1207A,"6H-6, 27-29 ",50.57,2.969,2969.361,Gs. ruber,1.756,-0.497,,,,,,,,
198,1207A,"6H-6, 40-42",50.71,2.977,2976.669,Gs. ruber,1.364,-1.023,,,,,,,,
198,1207A,"6H-6, 77-79",51.07,2.995,2995.461,Gs. ruber,1.450,-0.800,,,,,,,,
198,1207A,"6H-6, 80-82",51.11,2.998,2997.549,Gs. ruber,1.646,-0.642,,,,,,,,
198,1207A,"6H-6, 100-102",51.31,3.008,3007.988,Gs. ruber,1.424,-0.179,,,,,,,,
198,1207A,"6H-6, 145-147",51.76,3.031,3031.478,Gs. ruber,1.340,-0.650,,,,,,,,
198,1207A,"6H-7, 6-8",51.87,3.038,3037.676,Gs. ruber,1.652,0.173,,,,,,,,
198,1207A,"6H-7, 27-29",52.07,3.049,3049.027,Gs. ruber,1.094,-0.366,,,,,,,,
198,1207A,"6H-7, 40-42",52.21,3.057,3056.973,Gs. ruber,1.346,0.245,,,,,,,,
198,1207A,"6H-7, 60-62",52.41,3.068,3068.324,Gs. ruber,0.556,0.215,,,,,,,,
198,1207A,"6H-7, 127-129",52.50,3.073,3073.432,Gs. ruber,1.288,-0.812,,,,,,,,
198,1207A,"7H-1, 40-42",52.71,3.085,3085.351,Gs. ruber,1.158,-0.574,,,,,,,,
198,1207A,"7H-1, 55-57",52.86,3.094,3093.865,Gs. ruber,1.578,-0.749,,,,,,,,
198,1207A,"7H-1, 77-79",53.08,3.106,3106.351,Gs. ruber,1.007,-0.233,,,,,,,,
198,1207A,"6H-7, 127-129",53.08,3.106,3106.351,Gs. ruber,1.288,-0.812,,,,,,,,
198,1207A,"7H-1, 127-129",53.57,3.124,3124.226,Gs. ruber,1.522,-0.074,,,,,,,,
198,1207A,"7H-2, 5-7",53.86,3.132,3131.681,Gs. ruber,1.522,-0.731,,,,,,,,
198,1207A,"7H-2, 27-29",54.07,3.137,3137.079,Gs. ruber,1.109,-0.399,,,,,,,,
198,1207A,"7H-2, 40-42",54.21,3.141,3140.678,Both,1.258,-0.858,,,,,,,,
198,1207A,"7H-2, 60-62",54.41,3.146,3145.819,Gs. ruber,0.663,-0.090,,,,,,,,
198,1207A,"7H-2, 77-79",54.57,3.150,3149.932,Gs. obliquus,0.793,-0.604,,,,,,,,
198,1207A,"7H-3, 127-129",56.57,3.201,3201.345,Gs. ruber,1.640,-0.371,,,,,,,,
198,1207A,"7H-4, 5-7",56.86,3.211,3211.348,Gs. ruber,1.745,-0.802,,,,,,,,
198,1207A,"7H-4, 40-42",57.21,3.233,3233.091,Gs. ruber,1.713,-0.321,,,,,,,,
198,1207A,"7H-4, 60-62",57.41,3.246,3245.515,Gs. ruber,1.586,-1.192,,,,,,,,
198,1207A,"7H-4, 77-79",57.58,3.256,3256.076,Gs. ruber,1.551,-0.689,,,,,,,,
198,1207A,7H-4. 100-102,57.81,3.270,3270.364,Gs. ruber,0.929,-0.647,,,,,,,,
198,1207A,"7H-4, 127-129",58.07,3.287,3286.515,Gs. ruber,1.082,-0.045,,,,,,,,
198,1207A,"7H-5, 5-7",58.36,3.305,3304.530,Gs. ruber,0.994,-0.207,,,,,,,,
198,1207A,"7H-5, 27-29",58.57,3.318,3317.576,Gs. ruber,1.058,-0.663,,,,,,,,
198,1207A,"7H-5, 40-42",58.71,3.326,3326.273,Gs. ruber,0.888,-1.050,,,,,,,,
198,1207A,"7H-5, 60-62",58.91,3.335,3334.575,Gs. ruber,0.869,-0.737,,,,,,,,
198,1207A,"7H-5, 127-129",59.57,3.356,3356.143,Gs. ruber,1.625,-1.187,,,,,,,,
198,1207A,"7H-6, 27-29",60.07,3.372,3372.482,Gs. ruber ,0.064,0.845,,,,,,,,
198,1207A,"7H-6, 40-42",60.21,3.377,3377.057,Gs. ruber,0.601,0.691,,,,,,,,
198,1207A,"7H-6, 60-62",60.41,3.384,3383.592,Gs. ruber,0.414,0.883,,,,,,,,
198,1207A,"7H-6, 100-102",60.81,3.397,3396.663,Gs. ruber,1.363,-0.172,,,,,,,,
198,1207A,"7H-6, 127-129",61.07,3.405,3405.160,Gs. ruber,0.762,-0.429,,,,,,,,
198,1207A,"8H-1, 6-8",61.87,3.431,3431.302,Gs. ruber,1.053,-0.021,,,,,,,,
198,1207A,"8H-1, 100-102",62.81,3.462,3462.020,Gs. ruber,1.201,-0.644,,,,,,,,
198,1207A,"8H-1, 127-129",63.07,3.471,3470.516,Gs. ruber,1.154,-0.871,,,,,,,,
198,1207A,"8H-2, 60-62",63.91,3.498,3497.966,Gs. ruber,1.008,-0.159,,,,,,,,
198,1207A,"8H-2, 77-79",64.07,3.503,3503.194,Gs. ruber,2.109,-1.713,,,,,,,,
198,1207A,"8H-2, 100-102",64.31,3.511,3511.037,Gs. ruber,1.121,-0.225,,,,,,,,
198,1207A,"8H-3, 6-8",64.87,3.529,3529.337,Both,1.127,-0.825,,,,,,,,
198,1207A,"8H-3, 40-42",65.21,3.540,3540.447,Gs. ruber,1.338,-1.128,,,,,,,,
198,1207A,"8H-3, 58-60",65.39,3.546,3546.329,Gs. ruber,1.034,-0.478,,,,,,,,
198,1207A,"8H-4, 5-7",66.36,3.578,3578.027,Gs. ruber,1.455,-1.021,,,,,,,,
198,1207A,"8H-4, 100-102",67.31,3.614,3613.748,Both,1.482,-1.066,,,,,,,,
198,1207A,"8H-4, 127-129",67.57,3.625,3625.284,Gs. obliquus,1.697,-1.192,,,,,,,,
198,1207A,"8H-5, 60-62",68.41,3.663,3662.554,Gs. ruber,1.057,0.271,,,,,,,,
198,1207A,"8H-5, 127-129",69.07,3.692,3691.838,Gs. obliquus,1.211,-0.592,,,,,,,,
198,1207A,"8H-6, 6-8",69.37,3.705,3705.149,Gs. obliquus,1.376,-0.756,,,,,,,,
198,1207A,"8H-6, 27-29",69.57,3.714,3714.023,Gs. obliquus,1.145,-0.449,,,,,,,,
198,1207A,"8H-6, 40-42",69.71,3.720,3720.234,Gs. obliquus,1.221,-0.470,,,,,,,,
198,1207A,"8H-6, 77-79",70.07,3.736,3736.207,Gs. obliquus,1.610,-1.270,,,,,,,,
198,1207A,"8H-6, 100-102",70.31,3.747,3746.856,Gs. obliquus,1.839,-0.653,,,,,,,,
198,1207A,"8H-6, 127-129",70.57,3.758,3758.392,Both,0.967,-0.487,,,,,,,,
198,1207A,"8H-7, 27-29",71.07,3.781,3780.577,Gs. obliquus,1.239,-0.715,,,,,,,,
198,1207A,"8H-7, 53-55",71.34,3.793,3792.556,Gs. obliquus,1.669,-0.919,,,,,,,,
198,1207A,"9H-1, 6-8",71.37,3.794,3793.887,Gs. ruber,0.709,0.067,,,,,,,,
198,1207A,"9H-1, 27-29",71.57,3.803,3802.761,Gs. obliquus,1.504,-0.912,,,,,,,,
198,1207A,"9H-1, 40-42",71.71,3.809,3808.973,Gs. obliquus,1.351,-0.386,,,,,,,,
198,1207A,"9H-1, 100-102",72.31,3.836,3835.595,Gs. obliquus,0.666,-0.253,,,,,,,,
198,1207A,"9H-1, 127-129",72.57,3.847,3847.131,Gs. obliquus,1.422,-0.922,,,,,,,,
198,1207A,"9H-2, 5-7",72.86,3.860,3859.998,Gs. obliquus,0.772,-0.720,,,,,,,,
198,1207A,"9H-2, 27-29",73.07,3.869,3869.315,Gs. obliquus,1.212,-0.806,,,,,,,,
198,1207A,"9H-2, 40-42",73.21,3.876,3875.527,Gs. obliquus,0.825,-1.099,,,,,,,,
198,1207A,"9H-2, 60-62",73.41,3.884,3884.401,Gs. obliquus,1.390,-0.571,,,,,,,,
198,1207A,"9H-2, 100-102",73.81,3.902,3902.149,Gs. obliquus,1.445,-1.297,,,,,,,,
198,1207A,"9H-2, 127-129",74.07,3.914,3913.685,Gs. obliquus,1.650,-0.822,,,,,,,,
198,1207A,"9H-3, 6-8",74.37,3.927,3926.996,Gs. obliquus,1.259,-0.787,,,,,,,,
198,1207A,"9H-3, 27-29",74.57,3.936,3935.869,Both,1.222,-0.719,,,,,,,,
198,1207A,"9H-3, 40-42",74.71,3.942,3942.081,Gs. ruber,1.368,-0.191,,,,,,,,
198,1207A,"9H-3, 60-62",74.91,3.951,3950.955,Gs. obliquus,0.591,-0.758,,,,,,,,
198,1207A,"9H-3, 77-79",75.07,3.958,3958.054,Gs. obliquus,1.283,-0.025,,,,,,,,
198,1207A,"9H-3, 100-102",75.31,3.969,3968.703,Gs. obliquus,1.097,-0.403,,,,,,,,
198,1207A,"9H-3, 127-129",75.57,3.980,3980.239,Gs. obliquus,1.340,-0.934,,,,,,,,
198,1207A,"9H-4, 6-8",75.87,3.994,3993.550,Gs. obliquus,1.506,-1.002,,,,,,,,
198,1207A,"9H-4, 27-29",76.07,4.002,4002.423,Gs. obliquus,1.135,-0.772,,,,,,,,
198,1207A,"9H-4, 40-42",76.21,4.009,4008.635,Gs. obliquus,1.592,-0.228,,,,,,,,
198,1207A,"9H-4, 100-102",76.81,4.035,4035.257,Gs. obliquus,1.269,-1.371,,,,,,,,
198,1207A,"9H-5, 5-7",77.36,4.060,4059.660,Gs. obliquus,0.890,-0.861,,,,,,,,
198,1207A,"9H-5, 27-29",77.57,4.069,4068.977,Gs. obliquus,1.204,-0.812,,,,,,,,
198,1207A,"9H-5, 40-42",77.71,4.075,4075.189,Gs. obliquus,1.158,0.309,,,,,,,,
198,1207A,"9H-5, 100-102",78.31,4.102,4101.811,Gs. obliquus,1.487,-0.878,,,,,,,,
198,1207A,"9H-5, 127-129",78.57,4.113,4113.347,Gs. obliquus,1.439,-0.622,,,,,,,,
198,1207A,"9H-6, 5-7",78.86,4.126,4126.214,Gs. obliquus,1.293,-0.477,,,,,,,,
198,1207A,"9H-6, 60-62",79.41,4.151,4150.617,Gs. obliquus,0.916,0.126,,,,,,,,
198,1207A,"9H-6, 77-79",79.57,4.158,4157.716,Gs. obliquus,1.009,0.267,,,,,,,,
198,1207A,"9H-6, 100-102",79.81,4.168,4168.365,Gs. obliquus,1.416,-0.724,,,,,,,,
198,1207A,"9H-6, 127-129",80.07,4.180,4179.901,Gs. obliquus,1.344,-1.035,,,,,,,,
198,1207A,"9H-7, 5-7",80.36,4.192,4191.723,Gs. obliquus,1.237,-0.862,,,,,,,,
198,1207A,"9H-7, 38-40",80.69,4.204,4203.714,Gs. obliquus,1.370,-0.513,,,,,,,,
198,1207A,"10H-1, 5-7",80.86,4.210,4209.891,Gs. obliquus,1.199,-0.654,,,,,,,,
198,1207A,"9H-7, 60-62",80.91,4.212,4211.707,Gs. obliquus,1.058,-0.996,,,,,,,,
198,1207A,"10H-1, 127-129",81.07,4.218,4217.521,Gs. obliquus,0.714,0.033,,,,,,,,
198,1207A,"10H-1, 40-42",81.21,4.223,4222.608,Gs. obliquus,0.959,-0.932,,,,,,,,
198,1207A,"10H-1, 60-62",81.41,4.230,4229.875,Gs. obliquus,1.099,-0.321,,,,,,,,
198,1207A,"10H-1, 100-102",81.81,4.244,4244.408,Gs. obliquus,1.094,-0.633,,,,,,,,
198,1207A,"10H-1, 127-129",82.07,4.254,4253.855,Gs. obliquus,0.995,-0.372,,,,,,,,
198,1207A,"10H-2, 27-29",82.57,4.272,4272.023,Gs. obliquus,1.732,-1.181,,,,,,,,
198,1207A,"10H-2, 40-42",82.71,4.277,4277.109,Gs. obliquus,0.933,-0.822,,,,,,,,
198,1207A,"10-2, 127-129",83.57,4.312,4311.530,Gs. obliquus,1.829,-1.448,,,,,,,,
198,1207A,"10H-3, 27-29",84.07,4.337,4336.595,Gs. obliquus,1.519,-1.044,,,,,,,,
198,1207A,"10H-3, 100-102",84.81,4.374,4373.691,Gs. obliquus,1.477,-0.264,,,,,,,,
198,1207A,"10H-4, 5-7",85.36,4.401,4401.262,Gs. obliquus,1.343,-0.849,,,,,,,,
198,1207A,"10H-4, 27-29",85.57,4.412,4411.790,Gs. obliquus,1.830,-0.533,,,,,,,,
198,1207A,"10H-4, 40-42",85.71,4.419,4418.808,Gs.  obliquus,1.625,-0.424,,,,,,,,
198,1207A,"10H-4, 77-79",86.07,4.437,4436.855,Gs. obliquus,1.022,-0.407,,,,,,,,
198,1207A,"10H-4, 100-102",86.31,4.449,4448.886,Gs. obliquus,1.472,-0.707,,,,,,,,
198,1207A,"10H-4, 114-116",86.45,4.456,4455.904,Gs. obliquus,1.199,-0.647,,,,,,,,
198,1207A,"10H-5, 60-62",87.41,4.502,4502.284,Gs. obliquus,1.187,-1.003,,,,,,,,
198,1207A,"10H-5, 77-79",87.57,4.509,4509.037,Gs. obliquus,1.170,-0.408,,,,,,,,
198,1207A,"10H-5, 100-102",87.81,4.519,4519.165,Gs. obliquus,1.203,-0.420,,,,,,,,
198,1207A,"10H-6, 27-29",88.57,4.551,4551.239,Gs. obliquus,0.505,-0.753,,,,,,,,
198,1207A,"10H-7, 40-42",90.21,4.620,4620.450,Gs. obliquus,1.008,-0.800,,,,,,,,
198,1207A,"11H-1, 127-129",91.57,4.728,4727.622,Gs. obliquus,1.114,-0.246,,,,,,,,
198,1207A,"11H-2, 40-42",92.21,4.783,4783.332,Gs. obliquus,1.656,-1.244,,,,,,,,
198,1207A,"11H-2, 127-129",93.07,4.833,4833.176,Gs. obliquus,1.254,-0.433,,,,,,,,
198,1207A,"11H-3, 27-29",93.57,4.858,4858.306,Gs. obliquus,0.733,-0.886,,,,,,,,
198,1207A,"11H-3, 100-102",94.31,4.895,4895.497,Gs. obliquus,1.547,-1.138,,,,,,,,
198,1207A,"11H-4, 5-7",94.86,4.918,4917.643,Gs. obliquus,1.236,-1.163,,,,,,,,
198,1207A,"11H-4, 40-42",95.21,4.932,4931.671,Gs. obliquus,0.632,-1.438,,,,,,,,
198,1207A,"11H-4, 100-102",95.81,4.956,4955.718,Gs. obliquus,1.129,-0.955,,,,,,,,
198,1207A,"11H-5, 5-7",96.36,4.978,4977.762,Gs. obliquus,1.078,-0.683,,,,,,,,
198,1207A,"11H-5, 77-79",97.07,5.015,5014.601,Gs. obliquus,1.170,-0.408,,,,,,,,
198,1207A,"11H-6, 27-29",98.07,5.091,5091.129,Gs. obliquus,1.466,-0.303,,,,,,,,
198,1207A,"11H-6, 127-129",99.07,5.168,5167.656,Gs. obliquus,0.897,-0.262,,,,,,,,
