depth_m,age_ka,d18O,ship_depth,coretop,core_recov,notes
98.07,2067.2,-0.89,98.5,90.2,105.4,11 6 80-82cm
98.17,2069,0.03,98.6,90.2,105.4,11 6 90-92cm
98.26,2070.9,-0.44,98.7,90.2,105.4,11 6 100-102cm
98.36,2072.7,-0.97,98.8,90.2,105.4,11 6 110-112cm
98.48,2075.1,-0.91,98.93,90.2,105.4,11 6 123-125cm
98.55,2076.3,-0.05,99,90.2,105.4,11 6 130-132cm
98.64,2078.2,0.36,99.1,90.2,105.4,11 6 140-142cm
98.74,2080,-0.95,99.2,90.2,105.4,11 7 0-2cm
98.83,2083.2,,99.3,90.2,105.4,11 7 10-12cm
98.93,2086.5,-0.62,99.4,90.2,105.4,11 7 20-22cm
99.02,2089.8,-0.76,99.5,90.2,105.4,11 7 30-32cm
99.12,2093,-0.99,99.6,90.2,105.4,11 7 40-42cm
99.21,2096.3,-1.51,99.7,90.2,105.4,11 7 50-52cm
99.31,2099.6,-1.17,99.8,90.2,105.4,11 7 60-62cm
99.4,2102.9,-1.35,99.9,90.2,105.4,11 7 70-72cm
99.42,2103.5,-0.03,99.92,90.2,105.4,11 CC 0-2cm
99.52,2106.8,-1.34,100.02,90.2,105.4,11 CC 10-12cm
99.61,2110,-0.25,100.12,90.2,105.4,11 CC 20-22cm
99.73,2113,-1.23,99.73,99.7,103.7,12 1 3-5cm
99.8,2114.7,-999,99.8,99.7,103.7,12 1 10-12cm
99.92,2117.8,-0.43,99.93,99.7,103.7,12 1 23-25cm
99.99,2119.5,-0.92,100,99.7,103.7,12 1 30-32cm
100.09,2121.9,-0.23,100.1,99.7,103.7,12 1 40-42cm
100.18,2124.3,-0.57,100.2,99.7,103.7,12 1 50-52cm
100.31,2127.5,-0.6,100.33,99.7,103.7,12 1 63-65cm
100.38,2129.6,-0.79,100.4,99.7,103.7,12 1 70-72cm
100.47,2132.7,-1.42,100.5,99.7,103.7,12 1 80-82cm
100.57,2135.9,-0.75,100.6,99.7,103.7,12 1 90-92cm
100.66,2139,-0.52,100.7,99.7,103.7,12 1 100-102cm
100.76,2142.1,-0.99,100.8,99.7,103.7,12 1 110-112cm
100.88,2146,-0.44,100.92,99.7,103.7,12 1 122-124cm
100.95,2147.5,-1.01,101,99.7,103.7,12 1 130-132cm
101.05,2149.4,-0.86,101.1,99.7,103.7,12 1 140-142cm
101.18,2152,-0.01,101.23,99.7,103.7,12 2 3-5cm
101.24,2153.3,0.05,101.3,99.7,103.7,12 2 10-12cm
101.34,2155.3,-999,101.4,99.7,103.7,12 2 20-22cm
101.44,2157.2,-0.34,101.5,99.7,103.7,12 2 30-32cm
101.55,2159.6,-0.38,101.62,99.7,103.7,12 2 42-44cm
101.63,2161.1,-0.49,101.7,99.7,103.7,12 2 50-52cm
101.73,2163.1,0.46,101.8,99.7,103.7,12 2 60-62cm
101.82,2165,-0.97,101.9,99.7,103.7,12 2 70-72cm
101.92,2166.9,-0.19,102,99.7,103.7,12 2 80-82cm
102.01,2168.7,-0.4,102.1,99.7,103.7,12 2 90-92cm
102.11,2170.5,-1.05,102.2,99.7,103.7,12 2 100-102cm
102.21,2172.3,-0.03,102.3,99.7,103.7,12 2 110-112cm
102.33,2174.7,-0.49,102.43,99.7,103.7,12 2 123-125cm
