age_ka,d18O,MgCa,temp,temp_min1,temp_plus1,temp_min2,temp_plus2,salinity,sal_min1,sal_plus1,sal_min2,sal_plus2,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2
2486,3.72,1.28,6.5353,5.4035,7.4499,4.2364,8.2315,44.569,42.951,45.949,40.913,47.132,2.0754,1.8327,2.2823,1.5269,2.4598
2523,3.96,1.34,7.5968,6.289,9.0254,4.9805,10.141,45.211,43.62,46.766,41.8,48.121,2.1717,1.9331,2.405,1.66,2.6081
2560,3.75,1.34,7.431,6.4225,8.3168,5.3352,9.0183,45.978,44.048,47.417,42.011,48.574,2.2867,1.9972,2.5025,1.6916,2.6761
2565,3.96,1.61,8.6583,7.4233,9.6433,6.2239,10.493,45.498,44.123,46.921,42.706,48.226,2.2147,2.0084,2.4282,1.7959,2.6239
2576,3.43,1.68,8.3602,6.7402,9.963,5.461,10.943,45.06,43.403,46.68,41.546,48.061,2.149,1.9005,2.392,1.6219,2.5991
2601,4.1,1.5,8.5133,6.8998,10.128,5.6555,11.037,44.778,43.09,46.367,41.244,47.852,2.1067,1.8536,2.345,1.5766,2.5678
2609,3.42,1.43,9.4121,7.9829,10.439,6.5037,11.205,44.656,43.192,46.008,41.375,47.03,2.0884,1.8687,2.2913,1.5963,2.4445
2612,3.27,1.82,8.3972,7.2204,9.5541,5.806,10.633,43.33,41.005,45.104,38.729,46.413,1.8895,1.5408,2.1556,1.1994,2.352
2696,3.3,1.47,7.9655,6.7469,8.9592,5.3694,9.8128,41.73,39.857,43.717,37.771,45.246,1.6496,1.3686,1.9476,1.0556,2.1769
2704,3.12,1.22,8.1467,7.0716,9.0539,5.7016,9.885,43.272,40.875,44.951,38.446,46.165,1.8808,1.5213,2.1327,1.1568,2.3148
2721,3.43,1.51,9.3484,8.1314,10.264,6.8675,11.011,44.915,43.454,46.117,41.962,47.1,2.1272,1.9081,2.3075,1.6842,2.455
2739,3.32,1.8,9.4963,8.5869,10.315,7.6665,11.034,43.179,41.25,45.093,39.558,46.474,1.8669,1.5775,2.1539,1.3237,2.3611
2780,3.18,1.61,9.4758,8.5313,10.324,7.5435,11.071,42.3,40.703,43.925,39.191,45.313,1.735,1.4955,1.9788,1.2687,2.187
2783,2.81,1.48,9.082,8.1507,9.963,7.1083,10.71,43.02,41.498,44.339,39.848,45.555,1.843,1.6147,2.0408,1.3672,2.2232
2859,3.26,1.54,8.9371,8.0582,9.8655,6.9461,10.537,42.921,41.512,44.152,40.013,45.413,1.8282,1.6169,2.0128,1.3919,2.2019
2867,3.06,1.49,9.1208,8.1684,9.9532,7.1751,10.628,43.156,41.812,44.41,40.086,45.364,1.8634,1.6618,2.0515,1.4029,2.1946
2877,3.17,1.55,9.5262,8.5204,10.321,7.5193,11.062,43.056,41.789,44.253,40.324,45.273,1.8485,1.6583,2.028,1.4387,2.1809
2941,2.97,1.59,10.344,9.338,11.312,8.3184,12.099,43.378,41.96,44.749,40.409,45.891,1.8966,1.684,2.1024,1.4513,2.2737
2997,2.97,1.69,10.093,9.2353,10.823,8.3153,11.482,44.235,42.903,45.367,41.34,46.392,2.0253,1.8255,2.1951,1.5909,2.3488
3000,3.14,1.79,10.871,9.9321,11.732,8.8222,12.479,44.289,43.167,45.339,41.973,46.238,2.0334,1.865,2.1908,1.686,2.3257
3004,2.83,1.92,10.968,10.189,11.72,9.3442,12.368,43.196,41.932,44.422,40.645,45.565,1.8694,1.6798,2.0533,1.4868,2.2248
3009,2.71,1.75,10.2,9.145,11.113,8.2023,11.86,42.447,41.185,43.601,39.84,44.696,1.757,1.5677,1.9302,1.3659,2.0944
3022,2.85,1.56,10.568,9.5728,11.471,8.5555,12.206,42.261,41.031,43.33,39.665,44.286,1.7291,1.5446,1.8895,1.3397,2.033
3046,2.69,1.63,10.841,9.9241,11.638,9.0237,12.308,42.309,41.068,43.324,39.726,44.293,1.7363,1.5502,1.8886,1.3488,2.034
3053,2.62,1.73,11.078,10.251,11.799,9.3808,12.506,42.236,41.107,43.286,39.81,44.269,1.7253,1.556,1.8829,1.3615,2.0303
3060,2.57,1.71,10.712,9.9692,11.558,8.9769,12.222,43.079,41.687,44.28,40.25,45.251,1.8518,1.643,2.0319,1.4275,2.1777
3074,2.88,1.75,11.197,10.289,11.987,9.2736,12.674,43.711,42.676,44.755,41.402,45.708,1.9466,1.7914,2.1033,1.6003,2.2462
3089,2.75,1.93,11.455,10.701,12.161,9.7958,12.797,43.825,42.848,44.831,41.451,45.787,1.9638,1.8172,2.1146,1.6076,2.2581
