age_ka,d18O,MgCa,temp,temp_min1,temp_plus1,temp_min2,temp_plus2,salinity,sal_min1,sal_plus1,sal_min2,sal_plus2,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2
2657.5,3.19,0.96,7.2237,5.4724,8.634,3.3716,9.8215,38.769,37.33,40.01,35.665,40.954,1.5876,1.1991,1.9228,0.7496,2.1775
2661,3.09,1.21,7.2781,5.6706,8.6748,3.714,9.8032,39.106,37.762,40.213,36.241,41.191,1.6786,1.3157,1.9775,0.90516,2.2414
2663.2,3.25,1.2,6.9653,5.3173,8.3841,3.2061,9.6331,38.797,37.457,39.977,35.897,40.96,1.5951,1.2333,1.9137,0.81215,2.1792
2665.3,2.97,0.99,5.2082,2.5524,7.2434,-0.57143,8.8669,39.807,37.959,41.274,35.921,42.466,1.868,1.369,2.264,0.81857,2.5857
2665.3,3.24,0.99,4.2523,1.7935,6.2665,-1.23,7.8543,40.047,38.271,41.431,35.966,42.472,1.9327,1.4533,2.3063,0.83094,2.5873
2669.5,3.28,1.04,3.88,1.5752,5.7612,-1.5468,7.1726,39.898,38.173,41.408,35.753,42.437,1.8925,1.4266,2.3003,0.7733,2.578
2671.6,3.36,1.08,4.6021,2.4511,6.2784,-0.37929,7.5012,40.32,38.655,41.608,36.576,42.635,2.0064,1.5567,2.3543,0.99545,2.6314
2675.8,3.28,1.01,4.9854,2.9697,6.5595,0.54942,7.8811,40.293,38.741,41.563,36.718,42.528,1.9992,1.5801,2.3421,1.0338,2.6025
2682.9,4.01,1.04,5.178,3.3098,6.7397,0.89078,7.9679,40.245,38.794,41.532,36.969,42.451,1.9862,1.5943,2.3335,1.1016,2.5816
2686.2,4.24,0.8,5.7627,3.8934,7.2512,1.6639,8.5409,39.947,38.585,41.207,36.901,42.172,1.9057,1.538,2.246,1.0832,2.5064
2687.2,4.26,0.88,4.1767,1.6273,6.136,-1.5144,7.8109,39.547,37.717,40.88,35.357,41.945,1.7976,1.3036,2.1575,0.66642,2.4452
2688.6,4.19,0.91,3.6222,1.1057,5.537,-2.0403,7.0639,39.364,37.479,40.809,34.923,41.909,1.7483,1.2393,2.1385,0.5493,2.4356
2690,4.11,0.95,3.2024,0.74799,4.9949,-2.2951,6.5158,39.19,37.328,40.726,34.785,41.869,1.7012,1.1986,2.1161,0.51202,2.4247
2693.1,4.07,0.97,3.6654,1.5391,5.4987,-1.3783,7.0284,39.615,37.913,40.997,35.685,42.155,1.8159,1.3565,2.1891,0.75489,2.5018
2696.1,3.8,1.01,5.2244,2.9926,7.028,0.12787,8.6445,38.957,37.441,40.518,35.232,41.736,1.6385,1.229,2.0598,0.63261,2.3887
2708.2,3.98,0.92,5.768,3.5942,7.4538,0.93924,8.8396,38.226,36.589,39.602,34.489,40.782,1.441,0.99905,1.8126,0.43199,2.1312
2712,4.2,0.76,6.168,3.954,7.8291,1.6223,9.0561,38.396,36.72,39.724,34.724,40.828,1.4868,1.0344,1.8454,0.49536,2.1436
2713.2,4.22,0.77,5.7799,3.6964,7.476,1.2534,8.7452,38.387,36.767,39.665,34.812,40.742,1.4844,1.0471,1.8296,0.5192,2.1204
2717.7,4.19,0.84,5.4797,3.4484,7.0797,0.74578,8.4063,38.738,37.096,40.073,35.084,41.091,1.5794,1.1359,1.9397,0.59257,2.2146
2717.7,4.23,0.84,5.2468,3.2455,6.83,0.05071,8.1419,38.649,36.97,39.979,34.549,40.98,1.5552,1.1018,1.9143,0.44834,2.1847
2728,3.57,0.93,5.4481,3.4562,6.9842,0.18274,8.3246,39.02,37.35,40.299,34.995,41.331,1.6553,1.2045,2.0008,0.56861,2.2793
2728,3.44,0.93,5.6257,3.5329,7.3009,1.194,8.6201,38.641,36.999,40.025,35.226,41.152,1.5532,1.1096,1.9267,0.63097,2.2309
2728,3.56,0.93,6.5575,4.5341,8.0616,2.3459,9.3623,39.021,37.52,40.301,35.861,41.172,1.6556,1.2504,2.0012,0.80245,2.2366
2742.3,3.41,0.83,7.3312,5.5858,8.6811,3.7863,9.7214,39.64,38.283,40.718,36.831,41.628,1.8228,1.4565,2.1138,1.0644,2.3595
2742.3,3.34,0.83,6.6555,4.7276,8.2382,2.2443,9.5613,38.933,37.356,40.205,35.243,41.263,1.632,1.2062,1.9753,0.6355,2.2611
2742.3,3.27,0.83,5.7827,3.6538,7.5275,0.97344,8.8254,38.18,36.475,39.549,34.563,40.608,1.4286,0.96824,1.7982,0.45188,2.0842
2744.1,3.41,1,5.9918,4.0348,7.5398,1.5909,8.889,38.379,36.897,39.652,34.857,40.74,1.4824,1.0823,1.8261,0.53141,2.1198
2744.1,3.37,1,5.6871,3.4941,7.3119,0.88892,8.7032,38.119,36.456,39.521,34.461,40.619,1.4121,0.96308,1.7908,0.42444,2.0871
2746.8,3.5,0.85,6.3704,4.3057,8.0568,1.7863,9.5148,38.56,36.944,39.87,35.087,40.848,1.5311,1.0949,1.885,0.59336,2.1489
