,mcd_x,age_ka,MgCa_raw,MgCa_adj,spec,BWT,MgCa_merged,mcd_y,d18O,d13C
151,2964.5,728,1.44,,C. wuellerstorfi,1.87,1.44,,,
152,2980.0,731,1.5,,C. wuellerstorfi,2.27,1.5,,,
153,2995.0,735,1.5,,C. wuellerstorfi,2.27,1.5,,,
154,3010.0,737,1.39,,C. wuellerstorfi,1.53,1.39,,,
155,3025.0,741,1.44,,C. wuellerstorfi,1.87,1.44,,,
156,3056.0,746,1.1,,C. wuellerstorfi,-0.4,1.1,,,
157,3056.0,746,1.24,1.08,O. umbonatus,-0.53,1.08,,,
158,3085.0,754,1.15,,C. wuellerstorfi,-0.07,1.15,,,
159,3085.0,754,1.35,1.19,O. umbonatus,0.2,1.19,,,
160,3099.0,757,1.22,,C. wuellerstorfi,0.4,1.22,,,
161,3114.0,763,1.19,,C. wuellerstorfi,0.2,1.19,,,
162,3258.8,802,1.43,1.27,O. umbonatus,0.73,1.27,,,
163,3273.8,806,1.17,,C. wuellerstorfi,0.07,1.17,,,
164,3303.9,813,1.21,,C. wuellerstorfi,0.33,1.21,,,
165,3333.9,822,1.3,,C. wuellerstorfi,0.93,1.3,,,
166,3348.9,826,1.29,,C. wuellerstorfi,0.87,1.29,,,
167,3363.9,834,1.49,,C. wuellerstorfi,2.2,1.49,,,
168,3393.9,846,1.54,1.38,O. umbonatus,1.47,1.38,,,
169,3408.9,850,1.26,,C. wuellerstorfi,0.67,1.26,,,
170,3444.9,864,1.43,1.27,O. umbonatus,0.73,1.27,,,
171,3469.9,869,1.65,,C. wuellerstorfi,3.27,1.65,,,
172,3484.9,874,1.25,,C. wuellerstorfi,0.6,1.25,,,
173,3514.9,881,1.26,,C. wuellerstorfi,0.67,1.26,,,
174,3544.0,889,1.06,,C. wuellerstorfi,-0.67,1.06,,,
175,3604.0,903,1.64,,C. wuellerstorfi,3.2,1.64,,,
176,3634.0,908,1.35,,C. wuellerstorfi,1.27,1.35,,,
177,3634.0,908,1.53,1.37,O. umbonatus,1.4,1.37,,,
178,3664.0,913,1.45,,C. wuellerstorfi,1.93,1.45,,,
179,3679.0,915,1.24,,C. wuellerstorfi,0.53,1.24,,,
180,3724.0,925,1.09,,C. wuellerstorfi,-0.47,1.09,,,
181,3739.0,927,1.07,,C. wuellerstorfi,-0.6,1.07,,,
182,3755.0,931,1.14,,C. wuellerstorfi,-0.13,1.14,,,
183,3755.0,931,1.34,1.18,O. umbonatus,0.13,1.18,,,
184,3770.0,935,1.29,,C. wuellerstorfi,0.87,1.29,,,
185,3785.1,938,1.14,,C. wuellerstorfi,-0.13,1.14,,,
186,3785.1,938,1.4,1.24,O. umbonatus,0.53,1.24,,,
187,3800.1,942,1.62,1.46,O. umbonatus,2.0,1.46,,,
188,3815.1,944,1.44,,C. wuellerstorfi,1.87,1.44,,,
189,3815.1,944,1.6,1.44,O. umbonatus,1.87,1.44,,,
190,3829.1,947,1.45,,C. wuellerstorfi,1.93,1.45,,,
191,3859.1,954,1.52,,C. wuellerstorfi,2.4,1.52,,,
192,3891.1,963,1.32,,C. wuellerstorfi,1.07,1.32,,,
193,3891.1,963,1.56,1.4,O. umbonatus,1.6,1.4,,,
194,3906.1,966,1.31,,C. wuellerstorfi,1.0,1.31,,,
195,3921.1,970,1.41,,C. wuellerstorfi,1.67,1.41,,,
196,3939.1,974,1.39,,C. wuellerstorfi,1.53,1.39,,,
197,3954.1,978,1.37,,C. wuellerstorfi,1.4,1.37,,,
198,3969.1,981,1.3,,C. wuellerstorfi,0.93,1.3,,,
199,3969.1,981,1.57,1.41,O. umbonatus,1.67,1.41,,,
200,3983.1,985,1.42,,C. wuellerstorfi,1.73,1.42,,,
201,3995.1,987,1.25,,C. wuellerstorfi,0.6,1.25,,,
202,3995.1,987,1.39,1.23,O. umbonatus,0.47,1.23,,,
203,4009.1,990,1.36,1.2,O. umbonatus,0.27,1.2,,,
204,4025.2,993,1.54,,C. wuellerstorfi,2.53,1.54,,,
205,4025.2,993,1.75,1.59,O. umbonatus,2.87,1.59,,,
206,4055.6,998,1.5,,C. wuellerstorfi,2.27,1.5,,,
207,4071.6,1003,1.32,,C. wuellerstorfi,1.07,1.32,,,
208,4086.6,1007,1.3,,C. wuellerstorfi,0.93,1.3,,,
209,4100.6,1011,1.31,,C. wuellerstorfi,1.0,1.31,,,
210,4115.6,1014,1.4,,C. wuellerstorfi,1.6,1.4,,,
211,4130.6,1017,1.56,1.4,O. umbonatus,1.6,1.4,,,
212,4178.2,1026,1.56,,C. wuellerstorfi,2.67,1.56,,,
213,4193.2,1030,1.65,,C. wuellerstorfi,3.27,1.65,,,
214,4208.2,1032,1.39,,C. wuellerstorfi,1.53,1.39,,,
215,4223.2,1036,1.47,,C. wuellerstorfi,2.07,1.47,,,
216,4238.2,1038,1.76,,C. wuellerstorfi,4.0,1.76,,,
217,4253.2,1042,1.47,,C. wuellerstorfi,2.07,1.47,,,
218,4268.2,1044,1.49,,C. wuellerstorfi,2.2,1.49,,,
219,4283.2,1048,1.44,1.28,O. umbonatus,0.8,1.28,,,
220,4311.6,1054,1.31,,C. wuellerstorfi,1.0,1.31,,,
221,4326.6,1056,1.41,,C. wuellerstorfi,1.67,1.41,,,
