mcd,age_ka,d13C_uvi,d18O_uvi,Notes
130.94,2867.5,-0.92,3.26,1208 15-2 140-142 U
131.04,2870,-0.78,3.32,1208 15-3 0-2U
131.13,2872.5,-0.92,3.41,1208 15-3 10-12U
131.21,2874.5,-0.83,3.53,1208 15-3 18-20U
131.41,2879.6,-0.84,3.73,1208 15-3 40-42U
131.51,2881.8,-0.66,3.8,1208 15-3 50-52U
131.62,2884.4,-0.81,3.76,1208 15-3 62-64U
131.7,2886.1,-0.83,3.77,1208 15-3 70-72U
131.79,2888.2,-0.8,3.87,1208 15-3 80-82U
131.89,2890.4,-0.47,3.43,1208 15-3 91-92U
131.98,2892.5,-0.84,3.51,1208 15-3 100-102U
132.08,2894.3,-0.83,3.5,1208 15-3 110-112U
132.2,2896.5,-0.93,3.28,1208 15-3 123-125U
132.26,2897.7,-0.73,3.46,1208 15-3 130-132U
132.36,2899.5,-0.83,3.41,1208 15-3 140-142U
132.45,2901.2,-0.72,3.33,1208 15-4 0-2U
132.55,2903,-0.82,3.42,1208 15-4 10-12U
132.64,2904.7,-1.05,3.47,1208 15-4 20-22U
132.74,2906.4,-0.98,3.53,1208 15-4 30-32U
132.81,2907.8,-1.4,3.27,1208 15-4 38-40U
132.93,2910,-1.01,3.55,1208 15-4 50-52U
133.02,2913.6,-1.04,3.5,1208 15-4 60-62U
133.21,2921.1,-1.1,3.8,1208 15-4 80-82U
133.3,2924.9,-1.21,3.66,1208 15-4 90-92U
133.4,2928.7,-1.02,3.66,1208 15-4 100-102U
133.49,2932.4,-1.18,3.64,1208 15-4 110-112U
133.62,2937.5,-1.16,3.57,1208 15-4 123-125U
133.68,2938.9,-0.92,3.46,1208 15-4 130-132U
133.76,2941,-0.66,3.16,1208 15-4 138-140U
133.78,2941.1,-0.73,3.03,1208 15-4 140-142U
133.9,2943.9,-0.47,3.38,1208 15-5 3-5 U
134.08,2948.1,-0.77,3.46,1208-15-5-22-24-U
134.17,2950.2,-0.5,3.2,1208-15-5-32-34-U
134.28,2952.6,-0.67,3.54,1208-15-5-43-45-U
134.34,2954.1,-0.69,3.41,1208 15-5 50-52U
134.44,2956.3,-0.95,3.52,1208 15-5 60-62U
134.63,2960.6,-0.89,3.47,1208 15-5 80-82U
134.72,2962.7,-0.83,3.73,1208 15-5 90-92U
134.91,2967.8,-0.87,3.72,1208 15-5 110-112U
135.03,2971.7,-1.06,3.72,1208 15-5 123-125U
135.1,2973.7,-1.08,3.65,1208 15-5 130-132U
135.19,2976.7,-1.13,3.73,1208 15-5 140-142U
135.38,2982.5,-0.98,3.12,1208 15-6 10-12U
135.48,2985.5,-0.75,3.35,1208 15-6 20-22U
135.67,2991.3,-0.75,3.22,1208 15-6 40-42U
135.76,2994.2,-0.99,3.31,1208 15-6 50-52U
135.86,2997.1,-0.95,3.21,1208 15-6 60-62U
135.95,3000,-1.06,3.42,1208 15-6 70-72U
