mcd,age_ka,MgCa_raw,MgCa_adj,spec,BWT,MgCa_merged
3739,927.8,1.07,,C. wuellerstorfi,-0.6,1.07
3755,931,1.14,,C. wuellerstorfi,-0.13,1.14
3755,931,1.34,1.18,O. umbonatus,0.13,1.18
3770,935.8,1.29,,C. wuellerstorfi,0.87,1.29
3785.1,938.3,1.14,,C. wuellerstorfi,-0.13,1.14
3785.1,938.3,1.4,1.24,O. umbonatus,0.53,1.24
3800.1,942.2,1.62,1.46,O. umbonatus,2,1.46
3815.1,944.5,1.44,,C. wuellerstorfi,1.87,1.44
3815.1,944.5,1.6,1.44,O. umbonatus,1.87,1.44
3829.1,947.9,1.45,,C. wuellerstorfi,1.93,1.45
3859.1,954.2,1.52,,C. wuellerstorfi,2.4,1.52
3891.1,963.5,1.32,,C. wuellerstorfi,1.07,1.32
3891.1,963.5,1.56,1.4,O. umbonatus,1.6,1.4
3906.1,966.3,1.31,,C. wuellerstorfi,1,1.31
3921.1,970.7,1.41,,C. wuellerstorfi,1.67,1.41
3939.1,974.4,1.39,,C. wuellerstorfi,1.53,1.39
3954.1,978.9,1.37,,C. wuellerstorfi,1.4,1.37
3969.1,981.5,1.3,,C. wuellerstorfi,0.93,1.3
3969.1,981.5,1.57,1.41,O. umbonatus,1.67,1.41
3983.1,985.3,1.42,,C. wuellerstorfi,1.73,1.42
3995.1,987,1.25,,C. wuellerstorfi,0.6,1.25
3995.1,987,1.39,1.23,O. umbonatus,0.47,1.23
4009.1,990.5,1.36,1.2,O. umbonatus,0.27,1.2
4025.2,993.2,1.54,,C. wuellerstorfi,2.53,1.54
4025.2,993.2,1.75,1.59,O. umbonatus,2.87,1.59
4055.6,998.8,1.5,,C. wuellerstorfi,2.27,1.5
4071.6,1003.9,1.32,,C. wuellerstorfi,1.07,1.32
4086.6,1007,1.3,,C. wuellerstorfi,0.93,1.3
4100.6,1011.4,1.31,,C. wuellerstorfi,1,1.31
4115.6,1014,1.4,,C. wuellerstorfi,1.6,1.4
4130.6,1017.9,1.56,1.4,O. umbonatus,1.6,1.4
4178.2,1026.5,1.56,,C. wuellerstorfi,2.67,1.56
4193.2,1030.4,1.65,,C. wuellerstorfi,3.27,1.65
4208.2,1032.6,1.39,,C. wuellerstorfi,1.53,1.39
4223.2,1036.5,1.47,,C. wuellerstorfi,2.07,1.47
4238.2,1038.7,1.76,,C. wuellerstorfi,4,1.76
4253.2,1042.5,1.47,,C. wuellerstorfi,2.07,1.47
4268.2,1044.8,1.49,,C. wuellerstorfi,2.2,1.49
4283.2,1048.7,1.44,1.28,O. umbonatus,0.8,1.28
4311.6,1054.1,1.31,,C. wuellerstorfi,1,1.31
4326.6,1056.4,1.41,,C. wuellerstorfi,1.67,1.41
4326.6,1056.4,1.61,1.45,O. umbonatus,1.93,1.45
4338.1,1058.8,1.31,,C. wuellerstorfi,1,1.31
4371.6,1067.4,1.59,,C. wuellerstorfi,2.87,1.59
4384.2,1071.3,1.87,1.71,O. umbonatus,3.67,1.71
4404,1076.3,1.91,1.75,O. umbonatus,3.93,1.75
4416,1078.2,1.74,1.58,O. umbonatus,2.8,1.58
4430.5,1083,1.64,,C. wuellerstorfi,3.2,1.64
4461,1091.4,1.79,,C. wuellerstorfi,4.2,1.79
4461,1091.4,1.65,1.49,O. umbonatus,2.2,1.49
4476,1094.6,1.34,,C. wuellerstorfi,1.2,1.34
4489,1098.8,1.57,,C. wuellerstorfi,2.73,1.57
4489,1098.8,1.66,1.5,O. umbonatus,2.27,1.5
4508.5,1104.1,1.43,1.27,O. umbonatus,0.73,1.27
4521,1107.2,1.52,1.36,O. umbonatus,1.33,1.36
4536,1109.4,1.48,,C. wuellerstorfi,2.13,1.48
4552.5,1113.7,1.71,,C. wuellerstorfi,3.67,1.71
4552.5,1113.7,1.6,1.44,O. umbonatus,1.87,1.44
4566,1115.9,1.7,,C. wuellerstorfi,3.6,1.7
4566,1115.9,1.63,1.47,O. umbonatus,2.07,1.47
4581,1120.7,1.54,1.38,O. umbonatus,1.47,1.38
4596,1124,1.48,,C. wuellerstorfi,2.13,1.48
4612,1130.4,1.34,,C. wuellerstorfi,1.2,1.34
4627,1133.9,1.35,,C. wuellerstorfi,1.27,1.35
4627,1133.9,1.61,1.45,O. umbonatus,1.93,1.45
4639,1137.9,1.36,,C. wuellerstorfi,1.33,1.36
4639,1137.9,1.47,1.31,O. umbonatus,1,1.31
4671.5,1148.7,1.54,1.38,O. umbonatus,1.47,1.38
4686,1151.8,1.44,,C. wuellerstorfi,1.87,1.44
4686,1151.8,1.52,1.36,O. umbonatus,1.33,1.36
4701.5,1157.2,2.03,1.87,O. umbonatus,4.73,1.87
4776,1173.6,1.86,,C. wuellerstorfi,4.67,1.86
