,age_ka,d18O,MgCa
155,2149.3333333333335,3.393333333333333,
156,2151.3333333333335,3.5,
157,2153.3333333333335,3.5866666666666664,
158,2155.0,3.596666666666667,
159,2157.3333333333335,3.5400000000000005,
160,2159.3333333333335,3.4266666666666663,
161,2161.3333333333335,3.35,
162,2163.0,3.3000000000000003,
163,2165.0,3.16,
164,2167.0,3.0766666666666667,
165,2169.0,2.936666666666667,
166,2170.6666666666665,3.033333333333333,
167,2172.6666666666665,2.9633333333333334,
168,2174.3333333333335,2.983333333333334,
169,2176.3333333333335,2.8466666666666662,
170,2178.0,2.8000000000000003,
171,2179.6666666666665,2.7466666666666666,
172,2181.3333333333335,2.78,
173,2183.0,2.78,
174,2185.0,2.8033333333333332,
175,2187.0,2.8433333333333333,
176,2189.0,2.91,
177,2191.0,2.9299999999999997,
