mcd,age_ka,MgCa_raw,MgCa_adj,spec,BWT
3815.1,944.5,1.60,1.44,O. umbonatus,1.87
3829.1,947.9,1.45,,C. wuellerstorfi,1.93
3859.1,954.2,1.52,,C. wuellerstorfi,2.40
3891.1,963.5,1.32,,C. wuellerstorfi,1.07
3891.1,963.5,1.56,1.40,O. umbonatus,1.60
3906.1,966.3,1.31,,C. wuellerstorfi,1.00
3921.1,970.7,1.41,,C. wuellerstorfi,1.67
3939.1,974.4,1.39,,C. wuellerstorfi,1.53
3954.1,978.9,1.37,,C. wuellerstorfi,1.40
3969.1,981.5,1.30,,C. wuellerstorfi,0.93
3969.1,981.5,1.57,1.41,O. umbonatus,1.67
3983.1,985.3,1.42,,C. wuellerstorfi,1.73
3995.1,987,1.25,,C. wuellerstorfi,0.60
3995.1,987,1.39,1.23,O. umbonatus,0.47
4009.1,990.5,1.36,1.20,O. umbonatus,0.27
4025.2,993.2,1.54,,C. wuellerstorfi,2.53
4025.2,993.2,1.75,1.59,O. umbonatus,2.87
4055.6,998.8,1.50,,C. wuellerstorfi,2.27
4071.6,1003.9,1.32,,C. wuellerstorfi,1.07
4086.6,1007,1.30,,C. wuellerstorfi,0.93
4100.6,1011.4,1.31,,C. wuellerstorfi,1.00
4115.6,1014,1.40,,C. wuellerstorfi,1.60
4130.6,1017.9,1.56,1.40,O. umbonatus,1.60
4178.2,1026.5,1.56,,C. wuellerstorfi,2.67
4193.2,1030.4,1.65,,C. wuellerstorfi,3.27
4208.2,1032.6,1.39,,C. wuellerstorfi,1.53
4223.2,1036.5,1.47,,C. wuellerstorfi,2.07
4238.2,1038.7,1.76,,C. wuellerstorfi,4.00
4253.2,1042.5,1.47,,C. wuellerstorfi,2.07
4268.2,1044.8,1.49,,C. wuellerstorfi,2.20
4283.2,1048.7,1.44,1.28,O. umbonatus,0.80
4311.6,1054.1,1.31,,C. wuellerstorfi,1.00
4326.6,1056.4,1.41,,C. wuellerstorfi,1.67
4326.6,1056.4,1.61,1.45,O. umbonatus,1.93
4338.1,1058.8,1.31,,C. wuellerstorfi,1.00
4371.6,1067.4,1.59,,C. wuellerstorfi,2.87
4384.2,1071.3,1.87,1.71,O. umbonatus,3.67
4404.0,1076.3,1.91,1.75,O. umbonatus,3.93
4416.0,1078.2,1.74,1.58,O. umbonatus,2.80
4430.5,1083,1.64,,C. wuellerstorfi,3.20
4461.0,1091.4,1.79,,C. wuellerstorfi,4.20
4461.0,1091.4,1.65,1.49,O. umbonatus,2.20
4476.0,1094.6,1.34,,C. wuellerstorfi,1.20
4489.0,1098.8,1.57,,C. wuellerstorfi,2.73
4489.0,1098.8,1.66,1.50,O. umbonatus,2.27
4508.5,1104.1,1.43,1.27,O. umbonatus,0.73
4521.0,1107.2,1.52,1.36,O. umbonatus,1.33
4536.0,1109.4,1.48,,C. wuellerstorfi,2.13
4552.5,1113.7,1.71,,C. wuellerstorfi,3.67
4552.5,1113.7,1.60,1.44,O. umbonatus,1.87
4566.0,1115.9,1.70,,C. wuellerstorfi,3.60
4566.0,1115.9,1.63,1.47,O. umbonatus,2.07
4581.0,1120.7,1.54,1.38,O. umbonatus,1.47
4596.0,1124,1.48,,C. wuellerstorfi,2.13
4612.0,1130.4,1.34,,C. wuellerstorfi,1.20
4627.0,1133.9,1.35,,C. wuellerstorfi,1.27
4627.0,1133.9,1.61,1.45,O. umbonatus,1.93
4639.0,1137.9,1.36,,C. wuellerstorfi,1.33
4639.0,1137.9,1.47,1.31,O. umbonatus,1.00
4671.5,1148.7,1.54,1.38,O. umbonatus,1.47
4686.0,1151.8,1.44,,C. wuellerstorfi,1.87
4686.0,1151.8,1.52,1.36,O. umbonatus,1.33
4701.5,1157.2,2.03,1.87,O. umbonatus,4.73
4776.0,1173.6,1.86,,C. wuellerstorfi,4.67
4798.0,1178.1,1.68,,C. wuellerstorfi,3.47
4821.0,1182.7,1.89,1.73,O. umbonatus,3.80
4836.0,1184.8,1.52,,C. wuellerstorfi,2.40
4836.0,1184.8,1.68,1.52,O. umbonatus,2.40
4852.0,1189,1.60,,C. wuellerstorfi,2.93
4896.0,1197.6,1.26,,C. wuellerstorfi,0.67
4941.0,1208.4,1.30,,C. wuellerstorfi,0.93
4971.0,1217.2,1.60,,C. wuellerstorfi,2.93
5003.0,1228.1,1.62,,C. wuellerstorfi,3.07
5003.0,1228.1,1.56,1.40,O. umbonatus,1.60
5016.0,1230.6,1.76,1.60,O. umbonatus,2.93
5031.0,1235.8,1.76,,C. wuellerstorfi,4.00
5046.0,1238.5,1.71,1.55,O. umbonatus,2.60
5061.0,1242.6,1.70,1.54,O. umbonatus,2.53
5076.0,1244.8,1.39,,C. wuellerstorfi,1.53
5076.0,1244.8,1.55,1.39,O. umbonatus,1.53
5120.0,1252.2,1.44,,C. wuellerstorfi,1.87
5136.0,1254,1.64,1.48,O. umbonatus,2.13
5149.5,1255.9,1.68,1.52,O. umbonatus,2.40
5166.0,1257.6,1.47,,C. wuellerstorfi,2.07
5166.0,1257.6,1.55,1.39,O. umbonatus,1.53
5181.0,1259.7,1.55,1.39,O. umbonatus,1.53
5234.2,1266.8,1.65,1.49,O. umbonatus,2.20
5249.2,1268.4,1.49,,C. wuellerstorfi,2.20
5263.7,1271,1.40,,C. wuellerstorfi,1.60
5294.0,1275.5,1.56,,C. wuellerstorfi,2.67
5323.5,1280.9,1.65,,C. wuellerstorfi,3.27
5338.5,1283.5,1.64,,C. wuellerstorfi,3.20
5338.5,1283.5,1.78,1.62,O. umbonatus,3.07
5383.5,1302.1,1.59,1.43,O. umbonatus,1.80
5458.5,1334.1,1.44,1.28,O. umbonatus,0.80
5488.5,1344.7,1.59,1.43,O. umbonatus,1.80
5505.5,1348.3,1.54,,C. wuellerstorfi,2.53
5505.5,1348.3,1.60,1.44,O. umbonatus,1.87
5518.5,1351.7,1.59,,C. wuellerstorfi,2.87
5533.5,1356.1,1.42,,C. wuellerstorfi,1.73
5533.5,1356.1,1.66,1.50,O. umbonatus,2.27
5548.5,1358.5,1.54,,C. wuellerstorfi,2.53
5563.5,1362.3,1.87,,C. wuellerstorfi,4.73
5578.5,1364.5,1.45,,C. wuellerstorfi,1.93
5578.5,1364.5,1.99,1.83,O. umbonatus,4.47
5593.5,1368.1,1.62,,C. wuellerstorfi,3.07
5593.5,1368.1,1.52,1.36,O. umbonatus,1.33
5608.5,1370.2,1.48,1.32,O. umbonatus,1.07
5624.0,1373.9,1.52,1.36,O. umbonatus,1.33
5637.5,1375.7,1.50,1.34,O. umbonatus,1.20
5654.0,1380.2,1.64,1.48,O. umbonatus,2.13
5668.5,1382.7,1.58,1.42,O. umbonatus,1.73
5683.5,1387.7,1.42,,C. wuellerstorfi,1.73
5683.5,1387.7,1.60,1.44,O. umbonatus,1.87
5698.5,1390.9,1.55,,C. wuellerstorfi,2.60
5698.5,1390.9,1.89,1.73,O. umbonatus,3.80
5713.5,1396.8,1.52,,C. wuellerstorfi,2.40
5713.5,1396.8,1.91,1.75,O. umbonatus,3.93
5758.5,1408.6,1.35,1.19,O. umbonatus,0.20
5773.5,1414.1,1.48,1.32,O. umbonatus,1.07
5787.5,1417,1.50,1.34,O. umbonatus,1.20
5801.5,1421.9,1.39,,C. wuellerstorfi,1.53
5801.5,1421.9,1.69,1.53,O. umbonatus,2.47
5818.5,1426.6,1.61,1.45,O. umbonatus,1.93
5833.5,1433.4,1.49,,C. wuellerstorfi,2.20
5833.5,1433.4,1.71,1.55,O. umbonatus,2.60
5848.5,1437.6,1.90,1.74,O. umbonatus,3.87
5863.5,1444.4,1.63,,C. wuellerstorfi,3.13
5878.5,1447.8,1.71,,C. wuellerstorfi,3.67
5893.5,1452.8,1.64,,C. wuellerstorfi,3.20
5893.5,1452.8,1.85,1.69,O. umbonatus,3.53
5922.5,1458.3,1.44,,C. wuellerstorfi,1.87
5953.5,1464.3,1.28,,C. wuellerstorfi,0.80
5953.5,1464.3,1.46,1.30,O. umbonatus,0.93
5968.5,1466.5,1.35,,C. wuellerstorfi,1.27
5998.5,1472.4,1.67,,C. wuellerstorfi,3.40
5998.5,1472.4,1.65,1.49,O. umbonatus,2.20
6013.5,1476.4,1.74,,C. wuellerstorfi,3.87
6013.5,1476.4,1.93,1.77,O. umbonatus,4.07
6028.5,1479.2,1.71,,C. wuellerstorfi,3.67
6028.5,1479.2,1.89,1.73,O. umbonatus,3.80
6043.5,1484.1,1.97,1.81,O. umbonatus,4.33
6058.5,1487.2,1.63,,C. wuellerstorfi,3.13
6058.5,1487.2,1.92,1.76,O. umbonatus,4.00
6086.5,1494.6,1.52,,C. wuellerstorfi,2.40
6102.0,1499.2,1.78,1.62,O. umbonatus,3.07
6118.5,1502,1.60,1.44,O. umbonatus,1.87
6133.5,1506.1,1.44,1.28,O. umbonatus,0.80
6148.5,1508.5,1.63,,C. wuellerstorfi,3.13
6148.5,1508.5,1.67,1.51,O. umbonatus,2.33
6163.5,1513.5,1.73,,C. wuellerstorfi,3.80
6178.5,1516.8,1.79,,C. wuellerstorfi,4.20
6193.5,1522.5,1.67,,C. wuellerstorfi,3.40
6207.0,1525.3,1.84,,C. wuellerstorfi,4.53
6318.0,1547.9,1.57,,C. wuellerstorfi,2.73
6348.5,1553.8,1.37,,C. wuellerstorfi,1.40
6348.5,1553.8,1.53,1.37,O. umbonatus,1.40
6359.5,1556,1.36,1.20,O. umbonatus,0.27
6377.5,1559.2,1.62,,C. wuellerstorfi,3.07
6422.5,1568.3,1.61,,C. wuellerstorfi,3.00
6437.5,1570.3,1.54,1.38,O. umbonatus,1.47
6453.5,1573.5,1.53,,C. wuellerstorfi,2.47
6467.5,1575,1.37,1.21,O. umbonatus,0.33
6497.5,1579.5,1.87,1.71,O. umbonatus,3.67
6527.5,1584.7,1.57,,C. wuellerstorfi,2.73
6542.5,1588.4,1.50,,C. wuellerstorfi,2.27
6587.5,1597,1.72,1.56,O. umbonatus,2.67
6602.5,1601.4,1.61,1.45,O. umbonatus,1.93
6617.5,1604.1,1.64,1.48,O. umbonatus,2.13
6647.5,1611,1.87,1.71,O. umbonatus,3.67
6662.5,1615.6,1.65,1.49,O. umbonatus,2.20
6677.5,1618.3,1.41,,C. wuellerstorfi,1.67
6692.5,1622.7,1.61,,C. wuellerstorfi,3.00
6692.5,1622.7,1.72,1.56,O. umbonatus,2.67
6707.5,1625.4,1.54,,C. wuellerstorfi,2.53
6707.5,1625.4,1.44,1.28,O. umbonatus,0.80
6722.5,1630,1.14,,C. wuellerstorfi,-0.13
6722.5,1630,1.60,1.44,O. umbonatus,1.87
6737.5,1633.2,1.52,,C. wuellerstorfi,2.40
6737.5,1633.2,1.89,1.73,O. umbonatus,3.80
6752.5,1638.5,1.64,,C. wuellerstorfi,3.20
6752.5,1638.5,1.85,1.69,O. umbonatus,3.53
6767.5,1641.5,1.63,,C. wuellerstorfi,3.13
6767.5,1641.5,1.53,1.37,O. umbonatus,1.40
6782.5,1645.9,1.58,,C. wuellerstorfi,2.80
6782.5,1645.9,1.67,1.51,O. umbonatus,2.33
6797.5,1648.5,2.02,1.86,O. umbonatus,4.67
6812.5,1652.4,1.43,,C. wuellerstorfi,1.80
6812.5,1652.4,1.49,1.33,O. umbonatus,1.13
6827.5,1654.7,1.59,,C. wuellerstorfi,2.87
6842.5,1658.7,1.63,,C. wuellerstorfi,3.13
6842.5,1658.7,1.52,1.36,O. umbonatus,1.33
6857.5,1661.3,1.66,,C. wuellerstorfi,3.33
6857.5,1661.3,1.50,1.34,O. umbonatus,1.20
6872.5,1665.6,1.46,,C. wuellerstorfi,2.00
6872.5,1665.6,1.50,1.34,O. umbonatus,1.20
6887.5,1668.1,1.65,,C. wuellerstorfi,3.27
6887.5,1668.1,1.61,1.45,O. umbonatus,1.93
6900.5,1671.3,1.58,,C. wuellerstorfi,2.80
6900.5,1671.3,1.54,1.38,O. umbonatus,1.47
6917.5,1674.3,1.58,,C. wuellerstorfi,2.80
6917.5,1674.3,1.79,1.63,O. umbonatus,3.13
6932.5,1678.2,1.64,,C. wuellerstorfi,3.20
6932.5,1678.2,1.81,1.65,O. umbonatus,3.27
6947.5,1680.6,1.71,,C. wuellerstorfi,3.67
6962.5,1685.1,1.77,,C. wuellerstorfi,4.07
6962.5,1685.1,1.94,1.78,O. umbonatus,4.13
6977.5,1688.4,1.74,,C. wuellerstorfi,3.87
6992.5,1694.3,1.88,,C. wuellerstorfi,4.80
7007.5,1698.8,1.26,,C. wuellerstorfi,0.67
7007.5,1698.8,1.66,1.50,O. umbonatus,2.27
7022.5,1709.4,1.40,,C. wuellerstorfi,1.60
7022.5,1709.4,1.36,1.20,O. umbonatus,0.27
7037.5,1716.3,1.45,1.29,O. umbonatus,0.87
7052.5,1727.6,1.47,,C. wuellerstorfi,2.07
7052.5,1727.6,1.33,1.17,O. umbonatus,0.07
7067.5,1734.2,1.65,,C. wuellerstorfi,3.27
7067.5,1734.2,1.84,1.68,O. umbonatus,3.47
7083.0,1745.1,1.40,,C. wuellerstorfi,1.60
7083.0,1745.1,1.58,1.42,O. umbonatus,1.73
7112.5,1754.7,1.19,,C. wuellerstorfi,0.20
7112.5,1754.7,1.59,1.43,O. umbonatus,1.80
7127.5,1756.8,1.53,,C. wuellerstorfi,2.47
7127.5,1756.8,1.51,1.35,O. umbonatus,1.27
7142.5,1759.7,1.66,,C. wuellerstorfi,3.33
7142.5,1759.7,1.61,1.45,O. umbonatus,1.93
7324.5,1779.9,1.39,,C. wuellerstorfi,1.53
7341.5,1782,1.54,,C. wuellerstorfi,2.53
7354.7,1784.1,1.67,,C. wuellerstorfi,3.40
7354.7,1784.1,1.72,1.56,O. umbonatus,2.67
