age_ka,site,hole,core,section,top,bottom,e_Nd,FeCa,MnCa,MgCa,BWT,BWT_U1313,del_BWT,NCW
2512.62,849,D,7,1,56,58,,0.08,0.91,1.28,2.72,5.8,3.08,100
2515.79,849,D,7,1,62,64,,0.08,0.81,1.6,4.73,5.85,1.13,43.29
2518.11,849,D,7,1,67,69,,0.11,1.23,1.32,3.04,6.8,3.76,100
2520.00,849,D,7,1,71,73,,0.06,1.18,1.32,3.03,4.68,1.64,63.24
2521.90,849,D,7,1,76,78,,0.04,0.78,0.95,0.18,5.34,5.16,100
2523.82,849,D,7,1,78,80,,,,1.77,5.62,4.54,-1.08,
2524.78,849,D,7,1,82,84,-2.99,0.12,0.88,1.12,1.61,5.02,3.4,100
2529.60,849,D,7,1,91,93,,0.1,1,1.51,4.22,4.21,-0.01,0
2530.56,849,D,7,1,93,95,,0.03,0.85,1.14,1.74,5.04,3.3,100
2531.52,849,D,7,1,96,98,,0.07,1.07,1.41,3.6,5.01,1.41,54.33
2534.38,849,D,7,1,101,102,,0.29,0.86,1.41,3.61,6.44,2.83,100
2534.85,849,D,7,1,102,104,,0.2,0.74,1.93,6.38,5.61,-0.77,0
2537.19,849,D,7,1,107,109,,0.04,0.68,1.22,2.33,6.23,3.91,100
2541.30,849,D,7,1,117,118,,0.28,0.88,1.35,3.23,6.43,3.2,100
2541.74,849,D,7,1,118,120,,0.07,0.73,1.21,2.26,6.4,4.14,100
2543.07,849,D,7,1,121,123,,0.02,0.87,1.09,1.33,6.96,5.62,100
2543.94,849,D,7,1,123,125,,0.48,0.98,1.12,1.6,6.33,4.73,100
2546.07,849,D,7,1,127,128,,0.04,0.83,1.2,2.24,6.39,4.15,100
2547.74,849,D,7,1,131,133,,0.03,1,1.27,2.71,7.59,4.88,100
2548.96,849,D,7,1,133,135,,0.16,0.96,1.32,3.05,7.63,4.58,100
2550.95,849,D,7,1,139,140,,0.03,0.92,1.18,2.1,7.52,5.42,100
2552.49,849,D,7,1,143,145,-2.67,0.18,0.91,1.1,1.41,7.44,6.03,100
2553.24,849,D,7,1,147,149,,0.05,0.84,1.27,2.73,6.83,4.1,100
2555.80,849,D,7,2,1,3,,0.05,0.91,1.43,3.73,6.83,3.1,100
2557.20,849,D,7,2,6,8,,0.02,0.95,1.26,2.66,6.78,4.12,100
2557.88,849,D,7,2,8,10,,0.06,1.07,1.29,2.83,7.69,4.87,100
2560.49,849,D,7,2,17,18,,0.09,1.14,1.48,4.08,6.87,2.79,100
2560.80,849,D,7,2,18,20,,0.03,1.16,1.21,2.28,6.84,4.57,100
2562.32,849,D,7,2,21,23,,0.03,1.04,1.14,1.75,6.75,5,100
2562.62,849,D,7,2,23,25,,0.05,1.09,1.13,1.67,6.74,5.07,100
2563.48,849,D,7,2,26,28,,0.05,0.86,1.17,2.01,6.72,4.71,100
2563.77,849,D,7,2,28,30,,0.02,0.89,1.21,2.26,6.76,4.5,100
2565.14,849,D,7,2,31,33,,0.08,0.93,1.23,2.43,7.64,5.22,100
2565.41,849,D,7,2,33,35,,0.08,0.96,1.07,1.22,7.5,6.29,100
2566.21,849,D,7,2,36,38,,0.02,0.83,1.08,1.26,7.41,6.15,100
2567.77,849,D,7,2,41,43,,0.04,0.87,1.12,1.63,7.61,5.98,100
2568.03,849,D,7,2,43,45,,0.07,0.91,1.15,1.89,7.75,5.86,100
2568.79,849,D,7,2,46,48,,0.13,0.9,1.6,4.75,8.18,3.43,100
2569.05,849,D,7,2,48,50,,0.04,1.07,1.2,2.24,8.22,5.98,100
2569.56,849,D,7,2,51,53,,0.19,0.67,1.81,5.83,7.66,1.84,70.61
2570.58,849,D,7,2,53,55,,0.05,0.79,1.24,2.54,6.84,4.29,100
2571.10,849,D,7,2,56,58,,,1,1.37,3.39,6.83,3.44,100
2572.94,849,D,7,2,62,63,,0.04,1.04,1.3,2.94,8.28,5.34,100
2573.21,849,D,7,2,63,65,,0.03,0.92,1.28,2.8,8.16,5.36,100
2573.76,849,D,7,2,66,68,,0.04,0.98,1.16,1.93,7.92,5.99,100
2574.32,849,D,7,2,68,70,,0.05,0.71,1.35,3.28,7.66,4.38,100
2575.75,849,D,7,2,71,73,,0.03,1.16,1.18,2.07,6.96,4.89,100
2576.05,849,D,7,2,73,75,,0.02,1.03,1.22,2.4,7.3,4.89,100
2576.65,849,D,7,2,76,78,,0.03,1.1,1.36,3.35,7.97,4.61,100
2577.89,849,D,7,2,78,80,,0.04,1.04,1.22,2.36,8.37,6.01,100
2578.84,849,D,7,2,81,83,,0.17,1.04,1.35,3.26,8.23,4.97,100
2580.48,849,D,7,2,87,88,,0.15,1.09,1.68,5.19,7.98,2.79,100
2581.83,849,D,7,2,91,93,,0.36,1.35,1.56,4.52,7.78,3.26,100
2583.21,849,D,7,2,96,98,,0.1,1.37,1.38,3.49,7.53,4.04,100
2584.61,849,D,7,2,98,100,,0.07,1.03,1.28,2.82,6.93,4.11,100
2585.31,849,D,7,2,101,103,,0.04,1.44,1.35,3.3,6.76,3.46,100
2585.67,849,D,7,2,103,105,,0.07,1.34,1.43,3.75,6.72,2.97,100
2586.74,849,D,7,2,106,107,,0.04,1.67,1.35,3.3,7.16,3.87,100
2587.45,849,D,7,2,107,109,,0.09,1.27,1.48,4.06,8.47,4.42,100
2589.61,849,D,7,2,113,115,,,,1.24,2.51,9.59,7.08,100
2590.69,849,D,7,2,116,118,,0.04,1.29,1.29,2.86,6.82,3.96,100
2591.41,849,D,7,2,118,120,,0.05,1.05,1.35,3.28,6.32,3.04,100
2592.13,849,D,7,2,121,123,,0.04,1.27,1,0.62,6.68,6.06,100
2593.21,849,D,7,2,123,125,,0.04,0.79,1.28,2.79,6.26,3.47,100
2593.92,849,D,7,2,126,128,,0.06,1.06,1.24,2.52,6.29,3.77,100
2595.68,849,D,7,2,130,132,,0.07,0.86,1.61,4.85,7.59,2.75,100
2596.43,849,D,7,2,132,134,,0.06,0.94,1.68,5.22,6.9,1.68,64.46
2599.83,849,D,7,2,141,143,,0.03,1.08,1.16,1.92,8.92,7,100
2600.98,849,D,7,2,143,145,-3.14,0.04,1,1.17,2.01,8.28,6.27,100
2602.15,849,D,7,2,146,148,,0.05,1.16,1.16,1.99,7.62,5.63,100
2602.54,849,D,7,2,148,149,,0.27,0.97,1.19,2.15,7.12,4.97,100
2604.13,849,D,7,3,1,3,,0.07,0.95,1.41,3.68,5.06,1.38,53.16
2604.94,849,D,7,3,3,5,,0.09,0.74,1.24,2.58,5.26,2.69,100
2605.76,849,D,7,3,6,8,,0.04,1.11,1.45,3.9,5.48,1.58,60.75
2606.18,849,D,7,3,8,10,,0.1,1.16,1.29,2.92,5.59,2.67,100
2614.67,849,D,7,3,26,28,,0.13,1.11,1.8,5.84,6.06,0.22,8.6
2617.66,849,D,7,3,31,33,,0.25,0.93,1.58,4.66,5.59,0.93,35.95
2619.20,849,D,7,3,35,36,-2.86,0.17,0.94,1.9,6.29,5.96,-0.33,0
2622.87,849,D,7,3,41,43,,0.07,1.02,1.04,0.99,5.54,4.55,100
2623.40,849,D,7,3,43,45,,0.12,1.2,1.5,4.21,6.62,2.41,92.88
2624.98,849,D,7,3,46,48,,0.09,1.2,1.96,6.57,6.71,0.13,5.18
2626.04,849,D,7,3,48,50,,0.04,1.19,1.22,2.44,6.76,4.32,100
2628.12,849,D,7,3,51,53,,0.02,1.01,1.36,3.38,7.49,4.11,100
2628.64,849,D,7,3,53,55,,0.37,0.89,1.33,3.19,7.28,4.09,100
2630.17,849,D,7,3,56,58,,0.05,1.18,1.23,2.52,7,4.48,100
2633.61,849,D,7,3,63,65,,0.04,0.97,1.27,2.79,8.72,5.93,100
2636.11,849,D,7,3,68,70,,0.05,0.9,1.7,5.34,7.72,2.38,91.46
2637.20,849,D,7,3,71,73,,0.12,0.73,1.6,4.82,7.36,2.55,97.99
