mcd_x,age_ka,MgCa,FeCa,AlCa,d18O_unadj,d13C,mcd_y,age_ma,d18O
128.67,2808,0.92,27,,,,,,
,2809,,,,3.04,-0.16,133.96,2.808799742,3.68
128.8,2813,0.84,13,25,2.91,-0.11,134.09,2.813228852,3.55
128.86,2815,0.88,19,20,,,,,
,2816,,,,2.9,0.01,134.16,2.815613757,3.54
128.96,2819,0.93,15,56,2.84,0.14,134.26,2.819020764,3.48
129.05,2822,0.81,46,113,,,,,
,2823,,,,2.64,0.15,134.36,2.8225,3.28
129.15,2825,0.9,34,34,2.67,0,134.46,2.825386099,3.31
129.24,2828,0.99,32,32,2.56,0.19,134.56,2.828334709,3.2
129.36,2832,0.96,40,447,2.52,0.1,134.69,2.832167902,3.16
129.43,2834,0.9,31,46,2.82,-0.01,134.76,2.834231929,3.46
129.52,2837,0.77,20,16,2.63,0.06,134.86,2.837180539,3.27
129.62,2840,0.95,17,27,2.7,0.19,134.96,2.84,3.34
129.71,2841,0.86,8,70,,,,,
,2842,,,,2.9,-0.18,135.06,2.841810447,3.54
129.81,2843,1,41,48,,,,,
,2844,,,,2.89,-0.01,135.16,2.843544923,3.53
129.9,2845,0.87,31,37,2.85,-0.03,135.26,2.845279399,3.49
130.02,2847,0.79,19,38,,,,,
130.09,2848,0.88,43,64,2.89,-0.06,135.39,2.847534219,3.53
,2849,,,,2.88,-0.03,135.46,2.848748352,3.52
,2850,,,,2.93,-0.02,135.56,2.850482829,3.57
130.28,2852,0.84,18,16,2.85,,135.66,2.852217305,3.49
130.37,2854,0.93,28,48,2.78,-0.12,135.76,2.853951782,3.42
130.47,2855,1.06,31,98,,,,,
,2856,,,,2.78,-0.24,135.86,2.855686258,3.42
130.56,2857,0.84,21,36,,,,,
,2858,,,,2.67,0,135.96,2.8575,3.31
130.66,2860,0.92,32,773,2.54,0.16,136.06,2.859899879,3.18
130.78,2863,0.8,16,46,2.65,0.05,136.19,2.863169127,3.29
130.85,2865,0.84,15,25,2.62,0.18,136.26,2.864929491,3.26
130.94,2867,0.94,17,45,2.59,,136.36,2.867444297,3.23
131.04,2870,1.03,28,60,2.65,-0.18,136.46,2.869959103,3.29
131.13,2872,0.85,19,46,2.75,-0.03,136.56,2.872473909,3.39
131.13,2872,0.79,14,9,2.75,-0.03,136.56,2.872473909,3.39
131.21,2874,0.99,11,495,2.69,-0.12,136.64,2.874485754,3.33
131.32,2877,0.93,24,2044,,,,,
,2878,,,,2.85,0.03,136.76,2.8775,3.49
131.41,2879,1.02,7,216,,,,,
,2880,,,,2.82,0.06,136.86,2.879644846,3.46
131.51,2881,0.82,23,37,,,,,
,2882,,,,3.01,-0.32,136.96,2.881786693,3.65
131.62,2884,0.96,19,25,2.94,-0.31,137.08,2.88435691,3.58
131.7,2886,1.05,23,54,2.84,-0.02,137.16,2.886070388,3.48
131.79,2888,0.99,18,39,2.93,-0.05,137.26,2.888212236,3.57
,2890,,,,2.84,-0.17,137.36,2.890354083,3.48
131.98,2892,0.89,16,1068,,,,,
,2893,,,,2.81,0.16,137.46,2.8925,3.45
132.08,2894,0.94,29,595,2.67,0.03,137.56,2.89425179,3.31
132.2,2896,0.93,,32,,,,,
132.26,2897,0.9,19,19,2.66,0.02,137.69,2.896533453,3.3
,2898,,,,,0.08,137.76,2.89776204,
132.36,2899,1.02,18,21,,,,,
,2900,,,,2.66,0.12,137.86,2.899517165,3.3
132.45,2901,0.88,25,28,2.67,-0.04,137.96,2.90127229,3.31
132.55,2903,1.03,17,7,2.79,-0.03,138.06,2.903027415,3.43
132.64,2904,0.9,15,17,,,,,
,2905,,,,2.7,-0.18,138.16,2.90478254,3.34
132.74,2906,0.75,12,12,,,,,
,2907,,,,2.6,-0.35,138.26,2.906537665,3.24
,2908,,,,2.7,-0.09,138.36,2.90829279,3.34
,2910,,,,2.75,-0.26,138.46,2.91,3.39
,2914,,,,,-0.26,138.56,2.91383873,
,2918,,,,2.9,-0.38,138.66,2.917575448,3.54
,2921,,,,,,138.76,2.921312165,
,2925,,,,,,138.86,2.925048883,
133.4,2928,0.84,,50,,,,,
133.4,2928,0.83,,74,,,,,
,2929,,,,,-0.31,138.96,2.928785601,
133.49,2932,0.79,16,47,,,,,
,2933,,,,2.84,-0.63,139.06,2.932522318,3.48
133.68,2938,0.88,13,35,2.57,-0.31,139.19,2.9375,3.21
,2939,,,,2.47,,139.26,2.938946138,3.11
,2941,,,,2.47,0.02,139.36,2.941111339,3.11
,2943,,,,2.37,-0.14,139.46,2.943276539,3.01
,2945,,,,2.55,0.1,139.56,2.94544174,3.19
,2947,,,,2.43,-0.1,139.64,2.947173901,3.07
,2950,,,,2.26,0.1,139.76,2.949772142,2.9
,2952,,,,2.23,-0.3,139.86,2.951937343,2.87
,2954,,,,2.64,-0.06,139.96,2.954102544,3.28
,2956,,,,2.54,,140.06,2.956267745,3.18
134.53,2958,0.91,,52,2.68,-0.11,140.16,2.958432946,3.32
,2961,,,,2.74,0.03,140.26,2.960598147,3.38
,2963,,,,2.75,-0.16,140.36,2.962763347,3.39
134.82,2965,0.89,,52,2.54,-0.06,140.46,2.965,3.18
134.91,2967,1.02,16,422,,,,,
,2968,,,,2.87,0,140.56,2.967851306,3.51
135.03,2971,0.92,13,11,,,,,
135.03,2971,0.87,34,16,,,,,
,2972,,,,2.86,0.03,140.69,2.971684499,3.5
135.1,2973,0.97,16,12,,,,,
,2974,,,,3.06,0.01,140.76,2.973748526,3.7
135.19,2976,0.83,16,23,,,,,
,2977,,,,2.91,-0.07,140.86,2.976697136,3.55
,2980,,,,2.71,-0.01,140.96,2.979645746,3.35
135.38,2982,1,16,22,,,,,
,2983,,,,2.78,0.14,141.06,2.9825,3.42
135.48,2985,0.94,26,23,2.38,-0.02,141.16,2.985483299,3.02
135.57,2988,0.97,29,85,2.62,0.05,141.26,2.988374094,3.26
135.67,2991,0.95,33,57,2.39,-0.08,141.36,2.991264888,3.03
135.76,2994,0.9,,37,2.57,-0.06,141.46,2.994155682,3.21
135.86,2997,0.96,20,42,2.64,-0.13,141.56,2.997046476,3.28
135.95,3000,0.88,18,25,2.92,-0.24,141.66,3,3.56
136.04,3002,1,23,33,2.87,-0.26,141.76,3.002040046,3.51
136.14,3004,0.96,21,45,2.94,-0.32,141.86,3.004125343,3.58
136.23,3006,1.04,21,25,2.87,-0.34,141.96,3.00621064,3.51
136.33,3008,0.89,20,44,2.93,-0.45,142.06,3.008295937,3.57
136.45,3011,0.91,23,87,2.84,-0.63,142.19,3.011006823,3.48
136.52,3012,0.83,19,115,2.89,-0.38,142.26,3.012466531,3.53
136.61,3014,0.81,19,16,,,,,
136.61,3014,0.76,26,20,,,,,
,3015,,,,2.93,-0.3,142.36,3.014551828,3.57
136.71,3016,0.91,16,41,,,,,
,3017,,,,2.98,-0.34,142.46,3.016637125,3.62
,3019,,,,2.93,-0.25,142.56,3.018722422,3.57
,3021,,,,2.74,-0.24,142.66,3.020807719,3.38
,3023,,,,3,-0.4,142.76,3.022893016,3.64
137.08,3025,0.89,,44,2.72,-0.45,142.86,3.025,3.36
137.18,3027,0.88,12,10,,,,,
,3028,,,,2.73,-0.31,142.96,3.027778995,3.37
137.27,3030,0.8,28,42,,,,,
,3031,,,,2.39,-0.12,143.06,3.030587195,3.03
137.37,3033,0.8,13,11,2.43,-0.37,143.16,3.033395395,3.07
137.41,3034,0.78,18,28,,,,,
,3035,,,,2.5,-0.46,143.2,3.034518675,3.14
137.5,3037,0.84,22,118,2.44,-0.29,143.3,3.037326874,3.08
137.6,3040,0.88,17,25,2.66,-0.26,143.4,3.04,3.3
137.75,3045,1.01,15,33,2.7,-0.45,143.56,3.045,3.34
137.78,3045,1.05,24,354,2.7,-0.45,143.56,3.045,3.34
,3046,,,,,,143.6,3.045650133,
137.91,3047,1.11,31,110,,,,,
137.91,3047,0.75,20,37,,,,,
,3048,,,,2.73,-0.4,143.73,3.047949922,3.37
137.98,3049,0.95,16,37,2.46,-0.31,143.81,3.049365177,3.1
,3051,,,,2.64,-0.14,143.93,3.051488059,3.28
138.17,3052,0.8,15,35,,,,,
,3053,,,,2.55,-0.14,144.01,3.052903314,3.19
138.28,3055,0.85,31,42,2.49,-0.08,144.13,3.055026196,3.13
138.36,3056,0.93,29,32,2.56,0.1,144.21,3.056441451,3.2
138.44,3058,0.89,64,49,2.23,0.02,144.3,3.058,2.87
138.57,3061,0.9,23,28,2.17,0.02,144.44,3.061466392,2.81
138.64,3063,0.88,38,20,2.34,0.04,144.51,3.063176381,2.98
138.71,3065,1.05,20,15,2.51,0.21,144.59,3.065130654,3.15
138.79,3067,1.12,34,46,2.48,0.25,144.67,3.067084927,3.12
138.92,3070,0.89,25,17,,,,,
,3071,,,,2.62,,144.81,3.070504905,3.26
139.01,3072,1.01,21,8,,,,,
,3073,,,,2.42,,144.91,3.072947746,3.06
139.11,3075,1.05,25,27,2.59,0.1,145.01,3.075390587,3.23
139.2,3077,0.99,21,46,,,,,
,3078,,,,2.49,-0.05,145.11,3.077833429,3.13
139.3,3080,1.02,25,29,2.6,0.22,145.21,3.08027627,3.24
139.39,3082,1.09,22,19,,,,,
,3083,,,,2.45,-0.3,145.31,3.082719111,3.09
139.47,3084,0.95,21,25,,,,,
,3085,,,,2.61,-0.11,145.39,3.084673384,3.25
139.58,3087,1.05,,148,,,,,
,3088,,,,2.62,0.01,145.51,3.087604794,3.26
139.67,3090,0.93,20,10,2.8,0.05,145.61,3.09,3.44
,3093,,,,2.63,0.02,145.71,3.09251915,3.27
139.86,3095,0.93,25,18,2.6,0.14,145.81,3.094990116,3.24
139.95,3097,0.96,40,42,2.85,0.12,145.91,3.097461082,3.49
140.05,3100,0.93,33,19,2.47,0.05,146.01,3.1,3.11
140.14,3102,0.96,14,57,2.56,0.12,146.11,3.102123594,3.2
140.25,3104,0.89,28,36,,,,,
,3105,,,,2.61,0.11,146.23,3.104743968,3.25
,3106,,,,2.66,0.07,146.31,3.106490883,3.3
140.42,3108,0.89,20,12,,,,,
,3109,,,,2.54,0.04,146.41,3.108674528,3.18
,3111,,,,2.7,-0.05,146.51,3.110858172,3.34
140.63,3113,0.76,13,10,2.7,-0.11,146.61,3.113041817,3.34
140.77,3116,0.79,22,12,2.79,-0.08,146.73,3.11566219,3.43
,3117,,,,2.76,-0.45,146.81,3.117409106,3.4
140.91,3120,0.83,16,4,2.69,-0.26,146.93,3.12,3.33
140.99,3122,0.8,16,4,2.8,-0.09,147.01,3.122083227,3.44
141.1,3125,0.82,19,23,2.75,-0.4,147.13,3.12515621,3.39
141.17,3127,0.77,13,7,2.93,-0.21,147.21,3.127204866,3.57
141.27,3129,0.68,27,34,,,,,
,3130,,,,2.75,-0.29,147.31,3.129765685,3.39
,3132,,,,2.94,-0.49,147.39,3.131814341,3.58
,3135,,,,2.95,-0.48,147.51,3.134887324,3.59
,3137,,,,2.96,-0.34,147.61,3.137448143,3.6
,3139,,,,2.81,-0.61,147.69,3.139496799,3.45
,3142,,,,2.96,-0.24,147.8,3.1423137,3.6
141.83,3145,0.8,33,60,,,147.91,3.145130602,
,3148,,,,2.53,,148.01,3.147691421,3.17
,3150,,,,2.56,-0.43,148.1,3.15,3.2
142.11,3152,0.91,23,28,,,,,
,3153,,,,2.52,-0.1,148.21,3.152714356,3.16
142.2,3154,0.85,26,43,,,,,
,3155,,,,2.36,-0.35,148.3,3.154938226,3
,3159,,,,2.4,-0.19,148.45,3.158644675,3.04
142.43,3161,0.94,,23,2.47,-0.11,148.55,3.161115641,3.11
,3163,,,,2.61,-0.13,148.61,3.162598221,3.25
142.57,3164,0.97,43,50,,,,,
,3165,,,,2.41,0.02,148.7,3.16482209,3.05
,3167,,,,2.48,0.06,148.8,3.167293057,3.12
142.77,3170,0.9,38,52,2.68,-0.28,148.91,3.17,3.32
,3172,,,,2.66,0.02,149.01,3.172006793,3.3
,3174,,,,2.76,-0.02,149.11,3.174004595,3.4
,3176,,,,2.69,0.09,149.23,3.176401958,3.33
,3178,,,,2.71,0.21,149.31,3.1780002,3.35
,3180,,,,2.62,0.1,149.41,3.18,3.26
143.35,3184,0.79,15,29,2.47,0.24,149.51,3.183862469,3.11
,3188,,,,2.34,0.23,149.61,3.187728804,2.98
143.48,3189,0.88,13,41,,,,,
,3193,,,,2.63,0.2,149.74,3.19275504,3.27
,3195,,,,2.48,0.24,149.81,3.195461475,3.12
143.66,3197,0.68,10,6,,,,,
