mcd_te,mcd_d18O,age_ka,MgCa,FeCa,AlCa,d13C_uvi,d18O_uvi,Notes,notes
127.02,127.02,2744.00,1.00,36.00,51.00,-0.67,3.37,1208 14-6 130-132 U,1208_14-6 130-132
127.11,127.11,2746.00,0.85,30.00,,-0.99,3.50,1208 14-6 140-142U,1208_14-6 140-142
127.11,127.11,2746.00,0.85,30.00,,-0.75,3.37,1208 14-6 140-142 U,1208_14-6 140-142
127.11,127.11,2746.00,0.85,30.00,,-0.98,3.56,1208 14-6 140-142 U R,1208_14-6 140-142
127.11,127.11,2746.00,0.87,38.00,23.00,-0.99,3.50,1208 14-6 140-142U,1208_14-6 140-142
127.11,127.11,2746.00,0.87,38.00,23.00,-0.75,3.37,1208 14-6 140-142 U,1208_14-6 140-142
127.11,127.11,2746.00,0.87,38.00,23.00,-0.98,3.56,1208 14-6 140-142 U R,1208_14-6 140-142
,127.23,2750.00,,,,-1.16,3.66,1208 14-7 3-5U,
,127.23,2750.00,,,,-1.13,3.39,1208 14-7 3-5 U,
,127.23,2750.00,,,,-0.85,3.19,1208 14-7 3-5 U R,
127.30,127.30,2752.00,0.92,16.00,23.00,-1.13,3.67,1208 14-7 10-12U,1208_14-7 10-12
127.30,127.30,2752.00,0.92,16.00,23.00,-0.93,3.51,1208 14-7 10-12U,1208_14-7 10-12
127.30,127.30,2752.00,0.92,16.00,23.00,-0.72,3.85,1208 14-7 10-12UR,1208_14-7 10-12
127.40,127.40,2755.00,0.85,16.00,24.00,-1.25,3.70,1208 14-7 20-22U,1208_14-7 20-22
127.40,127.40,2755.00,0.85,16.00,24.00,-1.08,3.61,1208 14-7 20-22 U,1208_14-7 20-22
127.40,127.40,2755.00,0.85,16.00,24.00,-1.15,3.53,1208 14-7 20-22 U R,1208_14-7 20-22
127.40,127.40,2755.00,0.85,21.00,25.00,-1.25,3.70,1208 14-7 20-22U,1208_14-7 20-22
127.40,127.40,2755.00,0.85,21.00,25.00,-1.08,3.61,1208 14-7 20-22 U,1208_14-7 20-22
127.40,127.40,2755.00,0.85,21.00,25.00,-1.15,3.53,1208 14-7 20-22 U R,1208_14-7 20-22
127.58,127.58,2762.00,0.93,14.00,527.00,-1.11,3.83,1208 14-7 40-42U,1208_14-7 40-42
127.58,127.58,2762.00,0.93,14.00,527.00,-0.96,3.71,1208 14-7 40-42 U,1208_14-7 40-42
127.58,127.58,2762.00,0.93,14.00,527.00,-0.98,3.59,1208 14-7 40-42UR,1208_14-7 40-42
127.68,127.68,2766.00,0.90,67.00,59.00,-0.80,3.64,1208 14-7 50-52U,1208_14-7 50-52
127.68,127.68,2766.00,0.90,67.00,59.00,-0.74,3.29,1208 14-7 50-52 U,1208_14-7 50-52
127.80,127.80,2771.00,1.05,20.00,107.00,-1.02,3.65,1208 14-7 63-65U,1208_14-7 63-65
127.80,127.80,2771.00,1.05,20.00,107.00,-0.78,3.28,1208 14-7 63-65 U,1208_14-7 63-65
127.87,127.87,2773.00,1.13,16.00,19.00,-0.65,3.55,1208 14-7 70-72U,1208_14-7 70-72
127.87,127.87,2773.00,1.13,16.00,19.00,-0.51,3.33,1208 14-7 70-72 U,1208_14-7 70-72
127.87,127.87,2773.00,1.13,16.00,19.00,-0.76,3.48,1208 14-7 70-72 U R,1208_14-7 70-72
127.93,127.93,2776.00,0.95,25.00,,-0.57,3.49,1208 14-CC 0-2U,1208_14-CC 0-2
127.93,127.93,2776.00,0.95,25.00,,-0.65,3.29,1208 14-CC 0-2 U,1208_14-CC 0-2
128.03,128.03,2780.00,0.87,21.00,25.00,-0.52,3.42,1208 14-CC 10-12U,1208_14-CC 10-12
128.03,128.03,2780.00,0.87,21.00,25.00,-0.79,3.38,1208 14-CC 10-12U,1208_14-CC 10-12
128.12,128.12,2785.00,0.94,27.00,29.00,-0.81,3.35,1208 14-CC 20-22U,1208_14-CC 20-22
128.12,128.12,2785.00,0.94,27.00,29.00,-0.60,3.46,1208 14-CC 20-22U,1208_14-CC 20-22
128.23,128.23,2791.00,0.86,23.00,23.00,-0.78,3.42,1208 15-1 3-5 U,1208_15-1 3-5
128.23,128.23,2791.00,0.86,23.00,23.00,-0.79,3.39,1208 15-1 3-5U,1208_15-1 3-5
128.29,128.29,2795.00,1.01,18.00,26.00,-0.86,3.34,1208 15-1 10-12 U,1208_15-1 10-12
128.29,128.29,2795.00,1.01,18.00,26.00,-1.09,3.39,1208 15-1 10-12U,1208_15-1 10-12
128.41,128.41,2799.00,0.80,16.00,32.00,-1.05,3.95,1208 15-1 22-24 U,1208_15-1 22-24
128.58,128.58,2805.00,0.88,12.00,43.00,-0.92,3.63,1208 15-1 40-42 U,1208_15-1 40-42
128.67,,2808.00,0.92,27.00,,-0.94,3.51,,1208_15-1 50-52
128.80,128.80,2813.00,0.84,13.00,25.00,-0.95,3.39,1208 15-1 63-65 U,1208_15-1 63-65
128.80,128.80,2813.00,0.84,13.00,25.00,-0.87,3.78,1208 15-1 63-65U,1208_15-1 63-65
128.86,128.86,2815.00,0.88,19.00,20.00,-1.01,3.88,1208 15-1 70-72 U,1208_15-1 70-72
128.96,128.96,2819.00,0.93,15.00,56.00,-0.78,3.78,1208 15-1 80-82 U,1208_15-1 80-82
128.96,128.96,2819.00,0.93,15.00,56.00,-0.87,3.60,1208 15-1 80-82U,1208_15-1 80-82
129.05,129.05,2822.00,0.81,46.00,113.00,-0.66,3.33,1208 15-1 90-92 U,1208_15-1 90-92
129.20,129.20,2826.50,0.95,34.00,34.00,-0.74,3.28,1208_15-1 100-112,1208_15-1 100-112
129.36,129.36,2832.00,0.96,40.00,447.00,-0.81,3.22,1208 15-1 123-125 U,1208_15-1 123-125
129.36,129.36,2832.00,0.96,40.00,447.00,-0.83,3.18,1208 15-1 123-125U,1208_15-1 123-125
129.43,129.43,2834.00,0.90,31.00,46.00,-0.50,3.30,1208 15-1 130-132 U,1208_15-1 130-132
129.43,129.43,2834.00,0.90,31.00,46.00,-0.49,3.33,1208 15-1 130-132U,1208_15-1 130-132
129.52,129.52,2837.00,0.77,20.00,16.00,-0.71,3.42,1208 15-1 140-142U,1208_15-1 140-142
