,mcd,d13C,d13C_corr,d18O,d18O_corr,type,comment,age_ka
58,85.08,,,3.52,3.52,OUMB,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984),2702.688888888889
59,85.08,,,3.52,3.52,OUMB,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984),2702.688888888889
60,85.11,,,3.92,,PMURR,d18O no corr; d13C no corr,2703.4555555555557
61,85.11,,,3.92,,PMURR,d18O no corr; d13C no corr,2703.4555555555557
62,85.18,0.2,0.2,3.11,3.75,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2705.2444444444445
63,85.18,0.2,0.2,3.11,3.75,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2705.2444444444445
64,85.21,,,3.45,,PMURR,d18O no corr; d13C no corr,2706.011111111111
65,85.21,,,3.45,,PMURR,d18O no corr; d13C no corr,2706.011111111111
66,85.33,0.07,0.07,3.3,3.94,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2709.0777777777776
67,85.33,0.07,0.07,3.3,3.94,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2709.0777777777776
68,85.44,-0.03,-0.03,3.15,3.79,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2711.8888888888887
69,85.44,-0.03,-0.03,3.15,3.79,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2711.8888888888887
70,85.49,0.63,0.63,2.7,3.34,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995),2713.1666666666665
71,85.49,0.63,0.63,2.7,3.34,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995),2713.1666666666665
72,85.51,,,3.87,,PMURR,d18O no corr; d13C no corr,2713.677777777778
73,85.51,,,3.87,,PMURR,d18O no corr; d13C no corr,2713.677777777778
74,85.61,0.85,0.85,2.83,3.47,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2716.233333333333
75,85.61,0.43,0.43,3.38,4.02,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2716.233333333333
76,85.71,-0.01,-0.01,3.4,4.04,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2719.285714285714
77,85.81,1.08,1.08,3.62,4.26,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2722.5510204081634
78,85.91,0.71,0.71,2.95,3.59,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2725.816326530612
79,86.01,0.33,0.33,2.91,3.55,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2729.081632653061
80,86.21,0.78,0.78,2.62,3.26,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2735.612244897959
81,86.41,0.83,0.83,2.45,3.09,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2742.142857142857
82,86.61,0.91,0.91,2.35,2.99,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2748.673469387755
83,86.81,0.8,0.8,2.68,3.32,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2755.204081632653
84,86.91,,,3.37,,PMURR,d18O no corr; d13C no corr,2758.469387755102
85,87.01,0.7,0.7,,,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2761.7346938775513
86,87.08,0.45,0.45,2.75,3.39,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2764.020408163265
87,87.11,-0.84,-0.84,2.64,3.28,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2765.0
88,87.21,0.29,0.29,2.45,3.09,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2768.5087719298244
89,87.31,1.05,1.05,2.22,2.86,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2772.0175438596493
90,87.41,0.23,0.23,2.12,2.76,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2775.5263157894733
91,87.51,0.94,0.94,2.06,2.7,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2779.035087719298
92,87.61,0.59,0.59,2.27,2.91,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2782.5438596491226
93,87.71,0.57,0.57,2.24,2.88,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2786.131147540983
94,87.81,0.32,0.32,2.78,3.42,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2789.901639344262
95,87.91,0.32,0.32,2.6,3.24,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2793.6721311475408
96,88.01,0.2,0.2,2.94,3.58,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2797.4426229508194
97,88.11,0.41,0.41,2.65,3.29,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2801.213114754098
98,88.21,0.83,0.83,2.66,3.3,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2804.983606557377
99,88.31,0.9,0.9,2.3,2.94,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2809.0212765957444
100,88.41,0.71,0.71,2.28,2.92,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2814.1276595744675
101,88.51,0.39,0.39,2.21,2.85,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2819.2340425531916
102,88.61,0.9,0.9,2.06,2.7,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2824.3404255319147
103,88.71,0.8,0.8,2.29,2.93,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2829.4468085106378
104,88.81,0.66,0.66,2.66,3.3,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2833.5
105,88.89,0.51,0.51,,,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2835.9
106,88.91,0.61,0.61,,,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2836.5
107,89.01,1.33,1.33,,,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2839.5
108,89.11,0.79,0.79,2.42,3.06,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2842.5
109,89.21,0.51,0.51,2.65,3.29,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2845.5
110,89.31,0.65,0.65,2.51,3.15,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2848.5
111,89.41,0.48,0.48,2.77,3.41,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2851.5
112,89.51,0.54,0.54,2.09,2.73,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2855.0000000000005
113,89.61,1.07,1.07,2.46,3.1,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2859.0
114,89.71,1.05,1.05,2.5,3.14,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2863.0
115,89.81,1.06,1.06,2.2,2.84,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2867.0000000000005
116,89.91,0.94,0.94,2.26,2.9,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2871.0
117,90.01,0.74,0.74,2.12,2.76,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2874.6279069767447
118,90.11,0.99,0.99,2.24,2.88,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2877.883720930233
119,90.21,0.11,0.11,,,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2881.139534883721
