d13C,d13C_corr,d18O,d18O_corr,type,mcd,age_ka,Comment
0.8,0.8,2.74,3.38,CWUE,89.1559,2843.88,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.8,0.8,2.58,3.22,CWUE,89.2412,2846.43,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.25,0.25,2.56,3.2,CWUE,89.3264,2848.99,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.32,0.32,2.55,3.19,CWUE,89.4129,2851.59,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.58,0.58,2.39,3.03,CWUE,89.506,2854.84,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
,,3.44,3.44,OUMB,89.599,2858.56,d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984)
0.38,0.38,2.16,2.8,CWUE,89.6735,2861.54,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
,,2.98,2.98,OUMB,89.6921,2862.28,d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984)
,,2.81,2.81,OUMB,89.7851,2866.01,d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984)
,,2.76,2.76,OUMB,89.8782,2869.73,d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984)
,,2.96,2.96,OUMB,89.9713,2873.37,d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984)
1.04,1.04,2.33,2.97,CWUE,90.0643,2876.4,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
,,3.03,3.03,UVIG,90.1574,2879.43,d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995)
0.73,0.73,2.53,3.17,CWUE,90.2505,2882.46,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.61,0.61,2.58,3.22,CWUE,90.3435,2885.49,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.68,0.68,2.49,3.13,CWUE,90.4376,2888.5,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.63,0.63,,,CWUE,90.5132,2890.88,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.62,0.62,2.14,2.78,CWUE,90.532,2891.47,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.06,-0.06,2.15,2.79,CWUE,90.5981,2893.55,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
,,3.08,3.08,OUMB,90.6265,2894.44,d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984)
0.86,0.86,2.44,3.08,CWUE,90.7209,2897.42,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
,,3,,PMURR,90.8153,2900.39,no correction
