d13C,d13C_corr,d18O,d18O_corr,type,mcd,age_ka,Comment
0.83,0.83,3.27,3.91,CWUE,4.15263,109.195,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.79,0.79,3.22,3.86,CWUE,4.23158,111.517,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.27,0.27,3.52,4.16,CWUE,4.31053,113.839,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.63,0.63,3.67,4.17,CSPP,4.38811,116.064,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.69,0.69,3.42,3.92,CSPP,4.46434,118.191,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.79,0.79,3.34,3.98,CWUE,4.54057,120.318,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.92,0.92,2.86,3.36,CSPP,4.6168,122.446,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.09,1.09,3.12,3.76,CWUE,4.6168,122.446,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.97,0.97,2.37,2.87,CSPP,4.69303,124.573,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.21,0.21,2.74,3.38,CWUE,4.76926,126.7,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.88,0.88,2.32,2.96,CWUE,4.815,127.737,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.36,0.36,2.65,3.29,CWUE,4.89731,129.47,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.18,0.18,3.9,4.54,CWUE,5.06192,132.935,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.57,0.57,4.23,4.87,CWUE,5.14423,134.668,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.22,0.22,4.1,4.74,CWUE,5.47165,141.717,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.11,0.11,4.02,4.66,CWUE,5.71496,147.15,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.37,-0.37,3.88,4.52,CWUE,5.79606,148.961,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.23,-0.23,4.01,4.65,CWUE,5.87717,150.772,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.18,0.18,4.03,4.67,CWUE,6.12047,156.205,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.54,0.54,3.7,4.34,CWUE,6.20157,158.016,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.82,0.82,3.73,4.37,CWUE,6.57769,167.083,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.48,0.48,3.55,4.19,CWUE,6.64829,168.899,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.53,0.53,3.54,4.18,CWUE,6.71889,170.714,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.22,0.22,3.87,4.51,CWUE,6.8601,174.345,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.56,0.56,3.76,4.4,CWUE,6.9307,176.161,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.78,0.78,3.6,4.24,CWUE,7.07191,179.792,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.26,0.26,3.81,4.45,CWUE,7.28372,185.238,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.55,0.55,3.57,4.21,CWUE,7.42492,188.869,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.94,0.94,3.01,3.65,CWUE,7.49553,190.685,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.22,-0.22,3.15,3.79,CWUE,7.49553,190.685,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.94,0.94,2.6,3.24,CWUE,7.90313,201.612,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.01,1.01,2.89,3.53,CWUE,8.13393,208.382,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.94,0.94,2.6,3.24,CWUE,8.47321,218.334,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.07,0.07,2.76,3.4,CWUE,8.55607,220.637,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.91,0.91,3.45,4.09,CWUE,8.89417,228.902,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.22,0.22,3.19,3.83,CWUE,9.06321,233.378,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.12,0.12,3.53,4.17,CWUE,9.14774,235.793,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.87,0.87,3.12,3.76,CWUE,9.23312,238.232,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.25,0.25,2.6,3.24,CWUE,9.40563,243.105,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.3,-0.3,2.5,3.14,CWUE,9.40563,243.105,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.3,0.3,3.84,4.48,CWUE,10.0407,255.772,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.74,0.74,3.62,4.26,CWUE,10.1252,257.757,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.68,0.68,3.78,4.42,CWUE,10.2943,261.728,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.18,-0.18,3.72,4.36,CWUE,10.3789,263.713,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.29,-0.29,3.55,4.19,CWUE,10.548,267.684,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.41,-0.41,3.87,4.51,CWUE,10.6326,269.669,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.3,-0.3,3.76,4.4,CWUE,10.8017,273.64,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.97,0.97,3.39,4.03,CWUE,11.2089,284.576,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.98,0.98,3.38,4.02,CWUE,11.2089,284.576,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.35,0.35,3.14,3.78,CWUE,11.3644,289.424,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.81,0.81,2.99,3.49,CSPP,11.4422,291.848,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.14,0.14,3.2,3.84,CWUE,11.52,294.273,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.12,0.12,3.77,4.41,CWUE,11.5978,296.697,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.58,0.58,3.64,4.28,CWUE,11.7533,301.545,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.15,1.15,3.27,3.91,CWUE,11.9852,309.175,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.08,0.08,3.11,3.75,CWUE,12.0624,311.748,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.13,0.13,3.21,3.85,CWUE,12.2168,316.894,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.84,0.84,3.08,3.72,CWUE,12.294,319.466,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.58,0.58,2.87,3.51,CWUE,12.3712,322.039,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.63,0.63,2.84,3.48,CWUE,12.3712,322.039,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.07,1.07,2.49,3.13,CWUE,12.6146,328.62,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.9,0.9,2.3,2.94,CWUE,12.8729,335.669,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.4,0.4,4.26,4.76,CSPP,12.9589,338.388,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.21,-0.21,2.74,3.24,CSPP,13.2973,348.506,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.06,-0.06,4.11,4.75,CWUE,13.3785,350.594,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.33,-0.33,3.67,4.31,CWUE,13.4596,352.683,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.36,0.36,4.01,4.51,CSPP,13.5407,354.771,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.4,0.4,3.73,4.37,CWUE,13.5407,354.771,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.14,-0.14,3.67,4.31,CWUE,13.6218,356.859,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.38,-0.38,3.71,4.35,CWUE,13.6218,356.859,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.33,-0.33,3.79,4.43,CWUE,13.7841,361.036,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.08,-0.08,3.92,4.56,CWUE,13.9463,365.213,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.58,0.58,3.78,4.42,CWUE,14.2708,373.566,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.32,0.32,3.66,4.3,CWUE,14.352,375.655,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.75,0.75,3.41,4.05,CWUE,14.4331,377.743,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.19,0.19,3.48,4.12,CWUE,14.5142,379.831,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.58,0.58,3.4,4.04,CWUE,14.5142,379.831,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.1,1.1,3.11,3.75,CWUE,14.9198,390.273,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.06,1.06,3.24,3.88,CWUE,15.001,392.361,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.3,-0.3,3.23,3.87,CWUE,15.2415,398.716,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.07,-0.07,3.23,3.73,CSPP,15.2415,398.716,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.83,0.83,3.01,3.65,CWUE,15.2772,399.908,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.34,1.34,2.23,2.87,CWUE,15.4203,404.678,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.15,1.15,2.48,3.12,CWUE,15.4203,404.678,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.3,1.3,2.33,2.97,CWUE,15.4919,407.063,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.15,1.15,2.37,3.01,CWUE,15.5634,409.296,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.31,1.31,2.28,2.92,CWUE,15.5634,409.296,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.21,1.21,2.34,2.98,CWUE,15.635,410.87,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.37,-0.37,3.95,4.59,CWUE,15.8497,415.592,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.34,-0.34,4.08,4.72,CWUE,15.9212,417.167,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.25,-0.25,4.32,4.96,CWUE,15.9928,418.741,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.11,-0.11,4.17,4.81,CWUE,16.2207,423.034,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.17,-0.17,4.23,4.87,CWUE,16.3759,425.793,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.21,-0.21,3.89,4.53,CWUE,16.6086,429.931,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.21,0.21,3.94,4.58,CWUE,16.6862,431.31,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.17,0.17,3.93,4.57,CWUE,16.6862,431.31,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.3,0.3,3.65,4.29,CWUE,16.7638,432.69,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.15,-0.15,3.85,4.49,CWUE,16.8414,434.069,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.34,-0.34,3.9,4.54,CWUE,16.919,435.448,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.17,-0.17,3.88,4.52,CWUE,16.9939,437.902,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.37,0.37,3.82,4.46,CWUE,16.9939,437.902,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.02,0.02,4.01,4.65,CWUE,17.0671,441.073,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.53,0.53,3.56,4.2,CWUE,17.1402,444.244,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.01,-0.01,3.77,4.41,CWUE,17.3598,453.756,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.42,0.42,3.87,4.51,CWUE,17.4329,456.927,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.25,0.25,3.71,4.35,CWUE,17.5793,463.268,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.26,0.26,3.55,4.19,CWUE,17.6524,466.439,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.44,0.44,3.76,4.4,CWUE,17.6524,466.439,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.61,0.61,3.39,4.03,CWUE,17.7256,469.61,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.22,1.22,3.42,4.06,CWUE,17.7988,472.78,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.37,1.37,3.04,3.68,CWUE,18.0459,483.161,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.05,1.05,3.11,3.75,CWUE,18.131,486.166,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.17,1.17,2.69,3.33,CWUE,18.2162,488.588,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.06,-0.06,2.77,3.41,CWUE,18.3013,491.01,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.72,0.72,2.63,3.27,CWUE,18.3865,493.432,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.12,1.12,2.92,3.56,CWUE,18.5909,499.244,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.49,1.49,2.83,3.47,CWUE,18.693,502.151,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.26,1.26,3.13,3.77,CWUE,19.0001,510.884,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.48,1.48,3.15,3.79,CWUE,19.0001,510.884,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.44,1.44,3.29,3.93,CWUE,19.0711,512.904,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.5,1.5,3.28,3.92,CWUE,19.1421,514.923,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.52,1.52,3.09,3.73,CWUE,19.2132,517.025,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.49,1.49,3.15,3.79,CWUE,19.2842,519.221,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.42,0.42,3.83,4.47,CWUE,19.701,532.113,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.33,0.33,3.85,4.49,CWUE,19.767,534.156,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.62,0.62,3.79,4.43,CWUE,19.8331,536.198,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.68,0.68,3.73,4.37,CWUE,19.8331,536.198,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.39,0.39,3.84,4.48,CWUE,19.8991,538.241,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.73,0.73,3.86,4.5,CWUE,19.9677,540.363,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.6,0.6,3.72,4.36,CWUE,20.0437,542.712,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.22,0.22,3.7,4.34,CWUE,20.1196,545.06,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.76,0.76,3.56,4.2,CWUE,20.2715,551.925,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
