d13C,d13C_corr,d18O,d18O_corr,type,mcd,age_ka,Comment
0.62,0.62,3.13,3.77,CWUE,3.93539,102.998,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.65,-0.65,3.27,3.91,CWUE,3.93539,102.998,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.89,0.89,3.01,3.65,CWUE,4.02753,105.516,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.1,0.1,3.04,3.68,CWUE,4.11966,108.225,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.77,0.77,3.04,3.68,CWUE,4.2118,110.935,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.61,0.61,3.17,3.81,CWUE,4.2118,110.935,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.22,0.22,3.3,3.94,CWUE,4.30393,113.645,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.29,0.29,3.19,3.83,CWUE,4.39274,116.193,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.53,0.53,3.49,4.13,CCIC,4.56367,120.963,Treat cautiously!! d18O adjusted by +0.64 per mil; d13C adjusted by 0.00 per mil. Inferred from Bickert et al. (Bickert et al 1997)
0.56,0.56,3.12,3.76,CWUE,4.64915,123.348,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.93,0.93,2.8,3.44,CWUE,4.73462,125.733,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.56,0.56,2.49,3.13,CWUE,4.82009,127.844,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1,1,2.43,3.07,CWUE,4.90556,129.643,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.12,0.12,2.46,3.1,CWUE,4.99103,131.443,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.4,-0.4,3.72,4.36,CWUE,5.0765,133.242,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.17,-0.17,4.12,4.76,CWUE,5.16197,135.041,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.53,-0.53,4.09,4.73,CWUE,5.52419,142.89,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.29,-0.29,3.91,4.55,CWUE,5.7004,146.824,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.43,-0.43,3.87,4.51,CWUE,5.7724,148.432,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
3.94,3.94,,,NUMB,5.8444,150.04,d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)
-0.09,-0.09,3.78,4.28,CSPP,5.974,152.934,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.19,-0.19,3.94,4.58,CWUE,6.0532,154.703,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.15,-0.15,3.73,4.37,CWUE,6.1252,156.31,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.03,-0.03,3.76,4.26,CSPP,6.3,160.214,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.09,-0.09,3.82,4.32,CSPP,6.39887,162.485,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.85,-0.85,3.85,4.35,CSPP,6.49319,164.911,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.24,0.24,3.67,4.17,CSPP,6.58752,167.336,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.19,-0.19,3.6,4.24,CWUE,6.68184,169.762,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.15,-0.15,3.77,4.27,CSPP,6.77617,172.187,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.33,-0.33,3.59,4.09,CSPP,6.8705,174.613,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.24,-0.24,3.61,4.25,CWUE,6.96482,177.038,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.06,-0.06,3.77,4.41,CWUE,7.05915,179.464,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.04,0.04,3.82,4.46,CWUE,7.15347,181.889,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.12,-0.12,3.64,4.28,CWUE,7.15347,181.889,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.23,-0.23,3.68,4.32,CWUE,7.34213,186.74,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.57,0.57,3.17,3.67,CSPP,7.53078,191.591,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.28,0.28,3.44,4.08,CWUE,7.53078,191.591,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.32,0.32,3.12,3.76,CWUE,7.62511,194.017,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.46,-0.46,3.09,3.59,CSPP,7.71848,196.418,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.74,0.74,2.74,3.38,CWUE,7.80326,198.682,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.61,0.61,2.9,3.4,CSPP,7.80326,198.682,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.13,-0.13,3.29,3.64,NUMB,7.80326,198.682,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
0.02,0.02,2.8,3.44,CWUE,7.88804,201.169,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.02,0.02,3.14,3.49,NUMB,7.88804,201.169,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
0.74,0.74,2.85,3.49,CWUE,7.88804,201.169,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.53,0.53,2.88,3.52,CWUE,7.97283,203.656,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.85,0.85,3.01,3.65,CWUE,8.35467,214.857,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.63,0.63,2.73,3.37,CWUE,8.35467,214.857,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.83,0.83,3.01,3.65,CWUE,8.45654,217.845,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.57,0.57,2.72,3.36,CWUE,8.55841,220.695,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.56,0.56,2.85,3.49,CWUE,8.66028,223.185,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.38,0.38,2.88,3.52,CWUE,8.76215,225.675,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.19,-0.19,3.59,4.23,CWUE,8.86402,228.165,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.3,0.3,3.66,4.3,CWUE,8.86402,228.165,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.3,-0.3,3.05,3.69,CWUE,9.25694,238.913,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.5,0.5,3.09,3.73,CWUE,9.34061,241.303,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.47,-0.47,3.35,3.99,CWUE,9.34061,241.303,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.1,-0.1,2.75,3.39,CWUE,9.42429,243.455,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.14,0.14,3.2,3.84,CWUE,9.50796,245.024,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.18,-0.18,3.58,4.22,CWUE,9.59163,246.593,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.41,0.41,3.84,4.48,CWUE,9.8767,251.938,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.29,0.29,3.88,4.52,CWUE,9.97211,254.163,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.25,0.25,3.92,4.42,CSPP,10.0675,256.403,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.31,0.31,3.82,4.46,CWUE,10.1629,258.643,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.21,0.21,3.72,4.36,CWUE,10.1629,258.643,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.11,0.11,3.77,4.27,CSPP,10.2583,260.883,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.17,-0.17,3.71,4.35,CWUE,10.3538,263.123,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.07,-0.07,3.75,4.39,CWUE,10.4492,265.363,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.01,-0.01,3.74,4.38,CWUE,10.5446,267.603,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.74,-0.74,4.06,4.41,NUMB,10.64,269.843,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
-0.68,-0.68,4,4.35,NUMB,10.7995,273.588,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
-0.39,-0.39,3.59,4.23,CWUE,10.7995,273.588,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.08,-0.08,3.56,4.2,CWUE,14.3705,376.133,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.38,0.38,3.49,4.13,CWUE,14.4788,378.919,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.29,0.29,3.49,4.13,CWUE,14.6952,384.49,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.21,0.21,3.45,4.09,CWUE,14.6952,384.49,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.52,0.52,3.33,3.97,CWUE,14.8034,387.276,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.94,0.94,3.26,3.9,CWUE,14.923,390.356,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.33,0.33,3.36,3.71,NUMB,15.2535,399.116,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
0.56,0.56,2.95,3.59,CBRA,15.5393,408.643,Treat cautiously!! d18O adjusted by +0.64 per mil; d13C adjusted by 0.00 per mil. Inferred from Bickert et al. (Bickert et al 1997)
0.3,0.3,2.78,3.42,CWUE,15.725,412.85,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.15,-0.15,2.72,3.36,CWUE,15.725,412.85,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.83,0.83,2.4,3.04,CWUE,15.8179,414.893,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.54,0.54,2.89,3.53,CWUE,15.9107,416.936,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.16,0.16,2.65,3.29,CWUE,15.9107,416.936,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.55,-0.55,3.29,3.64,NUMB,16.0036,418.979,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
-0.84,-0.84,4.29,4.64,NUMB,16.1776,422.268,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
-0.36,-0.36,3.34,3.98,CWUE,16.1776,422.268,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.71,-0.71,4.54,4.89,NUMB,16.2626,423.78,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
-0.77,-0.77,4.53,4.88,NUMB,16.3477,425.292,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
-0.67,-0.67,4.42,4.77,NUMB,16.4327,426.804,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
-0.25,-0.25,4.08,4.72,CWUE,16.6879,431.34,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.01,-0.01,3.96,4.6,CWUE,16.7729,432.852,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.45,-0.45,4.29,4.64,NUMB,16.7729,432.852,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
-0.61,-0.61,4.14,4.49,NUMB,16.8579,434.363,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
-0.09,-0.09,4.23,4.58,NUMB,16.943,435.875,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
0.84,0.84,2.85,3.49,CWUE,18.3673,492.887,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.08,1.08,3.07,3.71,CWUE,18.3673,492.887,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.05,1.05,3.16,3.8,CWUE,18.4376,494.885,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.57,0.57,3.52,4.16,CWUE,18.5451,497.943,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.86,0.86,3.45,4.09,CWUE,18.5902,499.226,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.69,0.69,3.5,4.14,CWUE,18.6203,500.081,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.9,0.9,3.46,4.1,CWUE,18.6203,500.081,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.48,0.48,3.12,3.76,CWUE,18.6654,501.364,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.67,0.67,3.53,4.17,CWUE,18.6955,502.219,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.95,0.95,3.45,4.09,CWUE,18.7406,503.502,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.83,0.83,3.37,4.01,CWUE,18.7706,504.357,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.91,0.91,3.42,4.06,CWUE,18.8157,505.64,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.82,0.82,3.42,4.06,CWUE,18.8157,505.64,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.05,1.05,3.36,4,CWUE,18.8458,506.495,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.71,0.71,3.33,3.97,CWUE,18.8909,507.778,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.11,1.11,3.29,3.93,CWUE,18.921,508.633,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.21,1.21,3.18,3.82,CWUE,18.9661,509.916,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.82,0.82,3.32,3.96,CWUE,18.9961,510.771,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.79,0.79,3.15,3.79,CWUE,19.0412,512.054,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.08,1.08,3.25,3.89,CWUE,19.0713,512.909,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.17,1.17,3.1,3.74,CWUE,19.1164,514.192,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.89,0.89,3.18,3.82,CWUE,19.1465,515.047,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
